"zone","state","lga","sector","ea","hhid","indiv","s3cq1","s3cq2","s3cq3","s3cq4","s3cq5a","s3cq5b","s3cq6a","s3cq6b","s3cq7","s3cq8","s3cq9","s3cq9b","s3cq10","s3cq11a","s3cq11b","s3cq12a","s3cq12b","s3cq13","s3cq14","s3cq15","s3cq15b","tracked_obs"
4,1,102,1,1690,10052,1,2,2,1,1,"BUYERS",3416,"BUYING & SELLING",45,6,60,9,,2,,,,,,,,,0
4,1,102,1,1690,10052,2,2,2,1,1,"BUYERS",3416,"BUYING & SELLING",45,6,60,9,,2,,,,,,,,,0
4,1,102,1,1690,10052,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,1690,10052,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,1690,10054,1,2,2,1,1,"BUYING & SELLING",3416,"PROVIOSION STORE",47,6,40,9,,2,,,,,,,,,0
4,1,102,1,1690,10054,2,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,1690,10054,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,1690,10054,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,1690,10054,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,1690,10058,1,2,2,1,1,"DRUG SELLING",3416,"BUYING & SELLING",47,6,60,9,,2,,,,,,,,,0
4,1,102,1,1690,10058,2,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,1690,10058,3,2,2,1,1,"DRUG SELLING",3416,"BUYING & SELLING",47,6,60,9,,2,,,,,,,,,0
4,1,102,1,1690,10058,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,1690,10058,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,102,1,1690,10058,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10062,1,2,1,2,1,"CROP FARMING",9211,"CROP FARMING",1,8,20,9,,2,,,,,,,,,0
4,1,107,2,1044,10062,2,2,1,2,1,"CROP FARMING",9211,"CROP FARMING",1,8,20,10,"UNPAID FAM. WORKER",2,,,,,,,,,0
4,1,107,2,1044,10062,3,2,2,1,1,"BUYING & SELLING",3416,"BUYING & SELLING",47,6,10,9,,2,,,,,,,,,0
4,1,107,2,1044,10063,1,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10063,3,2,2,1,1,"MOTOR CYCLIST",8321,"CYLIST",49,6,24,9,,2,,,,,,,,,0
4,1,107,2,1044,10063,4,2,1,2,1,"FARMLAND & LABOURER",9211,"FARMLAND & LABOURER",1,6,24,9,,2,,,,,,,,,0
4,1,107,2,1044,10063,5,2,2,1,1,"BARBING/HAIR DRESSER",5141,"HAIRDRESSER",96,6,24,9,,2,,,,,,,,,0
4,1,107,2,1044,10067,1,2,1,1,1,"FARMING",9211,"AGRICULTURE",1,7,120,9,,2,,,,,,,,,0
4,1,107,2,1044,10067,2,2,1,2,1,"FARMING",9211,"AGRICULTURE",1,7,120,9,,2,,,,,,,,,0
4,1,107,2,1044,10067,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10067,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10067,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10067,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
4,1,117,2,560,10074,1,2,1,2,1,"FARMLAND & LABOURERS",9211,"AGRICULTURE",1,6,24,9,,2,,,,,,,,,0
4,1,117,2,560,10074,2,2,2,2,2,,,,,,,,,,,,,,,,,,0
