"zone","state","lga","sector","ea","hhid","indiv","s3bq1","s3bq2","s3bq3","s3bq4","s3bq5a","s3bq5b","s3bq6a","s3bq6b","s3bq7","s3bq8","s3bq9","s3bq9b","s3bq10","s3bq11a","s3bq11b","s3bq12a","s3bq12b","s3bq13","s3bq14","s3bq15","s3bq15b","tracked_obs"
2,2,201,2,60,20021,7,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,6,42,9,,2,,,,,,,,,0
2,2,201,2,60,20021,8,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,201,2,60,20021,9,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,201,2,60,20021,11,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,6,42,9,,2,,,,,,,,,0
2,2,201,2,60,20021,12,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,6,42,9,,2,,,,,,,,,0
2,2,216,2,200,20039,1,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,216,2,200,20040,1,2,1,2,1,"CROP PRODUCTION",1311,"AGRICULTURE",1,6,28,9,,2,,,,,,,,,0
2,2,216,2,200,20040,2,2,1,2,1,"CROP PRODUCTION",1311,"AGRICULTURE",1,6,23,9,,2,,,,,,,,,0
2,2,216,2,200,20040,3,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,216,2,200,20040,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,216,2,200,20040,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,216,2,200,20040,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,216,2,200,20040,7,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,216,2,200,20040,8,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,203,2,1224,20049,2,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,4,24,9,,2,,,,,,,,,0
2,2,203,2,1224,20049,3,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,4,24,9,,2,,,,,,,,,0
2,2,203,2,1224,20049,4,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,203,2,1224,20049,5,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,203,2,1224,20049,6,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,203,2,1224,20049,8,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,4,24,9,,2,,,,,,,,,0
2,2,203,2,1224,20049,9,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,4,24,9,,2,,,,,,,,,0
2,2,203,2,1224,20049,10,2,2,2,2,,,,,,,,,,,,,,,,,,0
2,2,203,2,1224,20049,12,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,4,24,9,,2,,,,,,,,,0
2,2,203,2,1224,20049,13,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,4,24,9,,2,,,,,,,,,0
2,2,203,2,1224,20049,14,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,4,24,9,,2,,,,,,,,,0
2,2,203,2,1224,20049,15,2,1,2,1,"FARMING",6111,"AGRICULTURE",1,4,24,9,,2,,,,,,,,,0
