"zone","state","lga","sector","ea","hhid","indiv","s3eq1a","s3eq1b","s3eq1c","s3eq1d","s3eq1e","s3eq2a","s3eq2b","s3eq3a","s3eq3b","s3eq4","s3eq5","s3eq6","s3eq6b","s3eq7","s3eq8a","s3eq8b","s3eq9a","s3eq9b","s3eq10","s3eq11","s3eq12","s3eq12b","tracked_obs"
4,1,102,1,536,10048,2,"BUYING & SELLING",,,,,"BUYING & SELLING",3416,"ROASTING OF YAM",47,6,34,9,,2,,,,,,,,,0
4,1,102,1,536,10048,3,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10048,4,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10048,5,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10048,6,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10048,7,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10048,8,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,536,10049,1,"TAILORING",,,,,"TAILORING",7433,"MANUFACTURING",14,6,20,9,,2,,,,,,,,,0
4,1,102,1,536,10050,1,"CRAYFISH SELLER",,,,,"CRAYFISH SELLER ( TRADER",3416,"BUYING & SELLING",47,6,30,9,,2,,,,,,,,,0
4,1,102,1,1690,10057,1,"BLOCK MOULDING","CROP FARMING",,,,,7129,,32,4,16,10,"WORK FOR PAY",1,"CROP FARMING",9211,"CROP FARMING",1,7,5,9,,0
4,1,102,1,1690,10057,2,"BUYING & SELLING","CROP FARMING",,,,,3416,,47,11,45,9,,1,"CROP FARMING",9211,"CROP FARMING",1,7,10,9,,0
4,1,102,1,1690,10057,3,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,1690,10057,4,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,1690,10057,5,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,1690,10057,6,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,1690,10060,1,"BUYING OF SCRAB",,,,,"BUYING OF SCRB ( IRON )",3416,"BUYING & SELLING",47,6,35,9,,2,,,,,,,,,0
4,1,102,1,1690,10060,2,"BUYING OF VEGETABLE",,,,,"BUYING OF VEGETABLE",3416,"BUYING & SELLING",47,6,35,9,,2,,,,,,,,,0
4,1,102,1,1690,10060,3,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,1690,10060,4,,,,,,,,,,,,,,,,,,,,,,,0
4,1,102,1,1690,10060,5,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10064,1,"FARMING",,,,,"FARMLAND & LABOURERS",9211,"AGRICULTURE",1,6,24,9,,2,,,,,,,,,0
4,1,107,2,1044,10064,2,"FARMING",,,,,"FARMLAND & LABOURERS",9211,"AGRICULTURE",1,6,24,9,,2,,,,,,,,,0
4,1,107,2,1044,10064,3,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10064,4,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10064,5,,,,,,,,,,,,,,,,,,,,,,,0
4,1,107,2,1044,10064,6,,,,,,,,,,,,,,,,,,,,,,,0
4,1,117,2,560,10071,1,"FARMING",,,,,"FARMING",6210,"AGRICULTURE",1,6,16,9,,2,,,,,,,,,0
4,1,117,2,560,10071,2,"FARMING",,,,,"FARMING",6210,"AGRICULTURE",1,6,16,9,,2,,,,,,,,,0
4,1,117,2,560,10071,3,,,,,,,,,,,,,,,,,,,,,,,0
4,1,117,2,560,10071,4,,,,,,,,,,,,,,,,,,,,,,,0
4,1,117,2,560,10071,5,,,,,,,,,,,,,,,,,,,,,,,0
4,1,117,2,560,10075,1,"CROP FARMING",,,,,"CROP FARMING",9211,"AGRIC",1,6,16,9,,2,,,,,,,,,0
4,1,117,2,560,10075,2,,,,,,,,,,,,,,,,,,,,,,,0
4,1,117,2,560,10075,3,"CROP FARMING","TRANSPORTATION",,,,"CROP FARMING",9211,"AGRICULTURE",1,8,24,4,,1,"CYCLIST",8321,"CYCLIST/TRANSPORTATION",49,6,54,4,,0
4,1,117,2,560,10079,1,"SHOE MAKING","FARMING",,,,"SHOE MAKING",7442,"SHOE MAKER",15,6,48,9,,1,"FARMING",6210,"AGRICULTURE",1,3,15,9,,0
