"zone","state","lga","sector","ea","hhid","s9q1a","s9q1b","s9q1c","s9q1d","s9q1e","s9q1f","s9q1g","s9q1h","s9q1i","s9q2a","s9q2b","s9q3","s9q4a","s9q4b","s9q4c","s9q5","s9q6a","s9q6b","s9q6c","s9q6d","s9q6e","s9q6f","s9q7a","s9q7b","s9q7c","s9q7d","tracked_obs"
4,1,110,1,0,10083,,,,,,,,,,,,,,,,,,,,,,,,,,,0
4,1,110,2,76,10084,0,2,1,2,2,3,1,3,2,3,,1,,,,1,5,,,6,,,4,5,7,,0
4,1,110,2,76,10085,0,0,1,1,0,0,0,0,0,3,,1,,,,1,5,,,6,,,3,5,4,,0
4,1,110,2,76,10086,3,3,4,4,2,2,4,4,3,2,3,1,,,,2,,,,,,,,,,,0
4,1,110,2,76,10087,3,3,2,2,1,2,3,3,2,2,,1,,,,2,,,,,,,,,,,0
4,1,110,2,76,10088,4,7,5,4,2,3,3,2,2,2,3,1,,,,2,,,,,,,,,,,0
4,1,110,2,76,10089,5,5,4,2,0,0,0,0,0,3,5,1,,,,1,6,,,6,,,1,2,5,,0
4,1,105,2,638,10091,2,1,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,105,2,638,10092,3,3,3,2,1,0,0,0,0,2,3,1,,,,2,,,,,,,,,,,0
4,1,105,2,638,10094,2,3,3,3,2,0,0,0,0,2,,2,2,2,1,2,,,,,,,,,,,0
4,1,105,2,638,10096,2,2,0,0,0,0,0,0,0,3,,1,,,,1,5,,,,,,10,,,"LACK OF MONEY",0
4,1,105,2,638,10097,0,2,0,0,0,0,0,0,0,2,,1,,,,1,4,,,,,,4,,,,0
4,1,105,2,638,10098,2,2,0,0,0,2,2,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,105,2,638,10099,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,105,2,638,10100,1,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,108,2,904,10101,2,3,4,3,0,5,4,4,4,1,,1,,,,1,8,,,,,,10,4,,"DEATH OF HUSBAND",0
4,1,108,2,904,10102,2,2,1,1,0,0,0,0,0,2,,1,,,,2,,,,,,,,,,,0
4,1,108,2,904,10103,2,1,1,2,0,0,0,0,0,2,,1,,,,2,,,,,,,,,,,0
4,1,108,2,904,10104,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,108,2,904,10105,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,108,2,904,10106,0,0,0,1,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,108,2,904,10107,3,3,2,2,0,0,0,0,0,3,,1,,,,1,6,,,6,,,5,,,,0
4,1,108,2,904,10108,3,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,108,2,904,10109,0,2,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
4,1,108,2,904,10110,2,3,0,0,0,0,0,0,0,2,,1,,,,1,3,,,,,,10,,,"LACK OF MONEY",0
2,2,209,2,1040,20001,0,0,0,1,0,0,0,0,0,,3,1,,,,2,,,,,,,,,,,0
2,2,209,2,1040,20002,7,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,209,2,1040,20003,4,4,2,3,0,0,1,0,0,2,3,1,,,,1,8,,,9,,,5,6,10,,0
2,2,209,2,1040,20004,0,0,0,0,0,0,0,0,0,3,2,1,,,,2,,,,,,,,,,,0
2,2,209,2,1040,20005,0,0,0,0,0,0,0,0,0,2,2,1,,,,1,7,9,,,,,4,8,,,0
2,2,209,2,1040,20006,2,0,0,0,0,0,0,0,0,3,5,1,,,,1,8,9,,8,6,,4,3,2,,0
2,2,209,2,1040,20007,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,209,2,1040,20008,5,0,0,2,1,0,1,1,1,3,2,1,,,,1,10,8,1,,,,,,,,0
2,2,209,2,1040,20009,7,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,209,2,1040,20010,0,0,0,0,0,0,0,0,0,2,2,1,,,,1,7,8,,,,,4,,,,0
2,2,221,2,18,20011,4,3,3,0,0,0,0,0,0,2,2,1,,,,1,8,9,10,8,9,,1,5,4,,0
2,2,221,2,18,20012,0,1,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,221,2,18,20013,0,4,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,221,2,18,20014,3,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,221,2,18,20015,1,0,1,0,0,0,0,0,0,3,3,1,,,,1,7,8,,,,,1,5,,,0
2,2,221,2,18,20016,0,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,221,2,18,20017,3,0,2,2,0,2,0,0,0,2,3,1,,,,1,8,9,,,,,2,3,4,,0
2,2,221,2,18,20018,7,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,221,2,18,20019,2,2,0,0,0,0,0,0,0,2,2,1,,,,1,7,8,,,,,4,5,,,0
2,2,221,2,18,20020,2,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,201,2,60,20021,6,0,6,0,6,0,0,0,0,3,2,1,,,,1,7,,,7,,,1,2,,,0
2,2,201,2,60,20022,2,0,0,0,0,0,0,0,0,3,3,2,,,,2,,,,,,,,,,,0
2,2,201,2,60,20023,3,1,0,2,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,201,2,60,20024,7,0,0,0,0,0,0,0,0,3,3,1,,,,2,,,,,,,,,,,0
2,2,201,2,60,20025,0,0,0,0,0,0,0,0,0,2,2,1,,,,1,7,,,7,,,5,4,,,0
2,2,201,2,60,20026,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,201,2,60,20027,0,0,0,0,2,0,0,0,0,2,3,1,,,,1,,8,,1,2,,,,,,0
2,2,201,2,60,20028,0,0,0,0,0,0,0,0,0,2,3,1,,,,1,8,9,,8,9,,8,5,4,,0
2,2,201,2,60,20029,0,0,0,0,0,0,0,0,0,3,,1,,,,2,,,,,,,,,,,0
2,2,201,2,60,20030,0,0,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,216,2,200,20031,7,7,7,7,0,0,0,2,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,216,2,200,20032,6,6,3,0,0,0,1,0,0,2,2,1,,,,1,8,,,11,,,1,2,,,0
2,2,216,2,200,20033,2,2,0,0,0,0,0,0,0,2,2,1,,,,2,,,,,,,,,,,0
2,2,216,2,200,20034,5,5,5,7,7,5,0,0,0,2,3,1,,,,1,7,8,9,7,8,9,3,8,5,,0
2,2,216,2,200,20035,2,0,0,2,0,0,0,0,0,2,2,1,,,,1,7,,,8,,,4,8,,,0
2,2,216,2,200,20036,7,0,0,0,0,0,0,0,0,2,2,1,,,,1,,,,10,,,8,2,4,,0
