"zone","state","sector","lga","ea","hhid","plotid","plot_qa_type","dist_household","srtmslp_nga","srtm_nga","twi_nga"
4,1,2,108,904,10108,3,1,0.06,11.1,150,13
4,1,2,108,904,10108,1,1,0.02,14.1,154,12
4,1,2,108,904,10108,2,1,0.02,15,158,12
4,1,2,108,904,10109,1,1,0.03,7.6,136,14
4,1,2,108,904,10110,1,1,0.44,8.1,194,11
2,2,2,209,1040,20001,1,1,1.94,4.6,180,13
2,2,2,209,1040,20001,2,1,1.72,2.3,181,14
2,2,2,209,1040,20001,3,1,1.52,3.1,182,13
2,2,2,209,1040,20002,1,1,0.06,1.4,195,15
2,2,2,209,1040,20004,1,1,1.85,6,220,13
2,2,2,209,1040,20005,2,1,0.82,1.6,198,16
2,2,2,209,1040,20005,3,1,0.77,1.4,198,15
2,2,2,209,1040,20005,1,1,0.85,3.4,198,15
2,2,2,209,1040,20006,2,1,2.27,9.1,234,13
2,2,2,209,1040,20006,3,1,1.84,19.5,251,11
2,2,2,209,1040,20006,1,1,1.86,11.3,223,12
2,2,2,209,1040,20007,2,1,1.72,8.9,234,13
2,2,2,209,1040,20007,1,1,1.68,9,233,13
2,2,2,209,1040,20008,2,1,1.7,3.8,184,12
2,2,2,209,1040,20008,1,1,1.85,2.2,186,13
2,2,2,209,1040,20009,2,1,1.28,2.2,184,17
2,2,2,209,1040,20009,1,1,0.64,1.8,188,14
2,2,2,209,1040,20010,2,1,2.92,1.5,174,14
2,2,2,209,1040,20010,1,1,0.04,1.2,194,14
2,2,2,209,1040,20010,3,1,2.35,1.3,176,14
2,2,2,221,18,20011,4,1,0.46,1.8,210,14
2,2,2,221,18,20011,2,1,1.71,1.6,194,17
2,2,2,221,18,20011,1,1,1.03,2.1,204,13
2,2,2,221,18,20011,3,1,0.09,1.7,211,14
2,2,2,221,18,20012,1,1,0.66,1.5,216,13
2,2,2,221,18,20012,2,1,1.82,1.6,195,13
2,2,2,221,18,20013,1,1,0.78,2.8,205,13
2,2,2,221,18,20013,2,1,0.33,1.4,208,14
2,2,2,221,18,20014,4,1,0.33,0.7,211,15
2,2,2,221,18,20014,3,1,0.55,1.3,214,14
2,2,2,221,18,20014,1,1,1.56,1.2,192,15
2,2,2,221,18,20014,2,1,0.24,0.7,212,15
2,2,2,221,18,20015,3,1,2.4,1.1,208,14
2,2,2,221,18,20015,2,1,0.59,1.5,214,13
2,2,2,221,18,20015,1,1,3.39,3.3,202,14
2,2,2,221,18,20016,2,1,1.51,2,207,15
2,2,2,221,18,20016,1,1,1.67,1.9,212,14
2,2,2,221,18,20017,1,1,0.24,1.4,211,15
2,2,2,221,18,20017,2,1,0.43,1.2,211,13
2,2,2,221,18,20017,3,1,1.09,2,203,13
2,2,2,221,18,20018,1,1,1.17,2.6,204,13
2,2,2,221,18,20018,2,1,1.6,1.7,196,14
2,2,2,221,18,20018,3,1,0.53,5.1,209,13
2,2,2,221,18,20019,2,1,1.7,1.2,197,18
2,2,2,221,18,20019,1,1,1.87,1.1,198,14
2,2,2,221,18,20020,2,1,0.43,1.6,210,14
2,2,2,221,18,20020,1,1,0.67,1.2,207,14
2,2,2,221,18,20020,3,1,1.28,0,200,15
2,2,2,201,60,20021,1,1,1.63,4.4,251,14
2,2,2,201,60,20021,2,5,37.69,4.9,203,13
2,2,2,201,60,20022,1,1,1.4,3.4,237,13
2,2,2,201,60,20023,2,5,38.01,7.5,225,14
2,2,2,201,60,20023,1,5,38.23,6.2,213,13
2,2,2,201,60,20024,1,1,0.15,3.1,259,13
2,2,2,201,60,20024,2,1,0.13,3,260,13
2,2,2,201,60,20024,3,1,0.2,3.2,258,14
2,2,2,201,60,20025,3,1,0.7,2.2,241,15
2,2,2,201,60,20025,1,1,0.31,2.8,249,14
2,2,2,201,60,20025,2,1,0.41,1.4,246,16
2,2,2,201,60,20026,1,5,38.26,5.3,209,14
2,2,2,201,60,20027,1,1,1.26,2.7,240,14
2,2,2,201,60,20028,4,1,0.23,3.1,258,14
2,2,2,201,60,20028,1,1,0.79,1.7,273,14
2,2,2,201,60,20028,3,1,0.02,3.8,258,12
2,2,2,201,60,20028,2,5,38,5.2,198,12
2,2,2,201,60,20029,1,1,1.14,4.2,243,14
2,2,2,201,60,20030,1,1,6.35,2,192,15
2,2,2,201,60,20030,4,1,1.82,2.5,237,15
2,2,2,201,60,20030,2,1,9.79,2.6,165,16
2,2,2,201,60,20030,3,1,8.74,1.9,172,17
2,2,2,216,200,20031,3,1,1.96,2,137,18
2,2,2,216,200,20031,4,1,1.9,0.4,140,18
2,2,2,216,200,20031,1,1,1.87,1.7,139,14
2,2,2,216,200,20031,2,1,0.4,0.7,137,15
2,2,2,216,200,20032,2,1,0.59,0.7,136,14
2,2,2,216,200,20032,1,1,1.58,2.5,138,13
2,2,2,216,200,20033,2,1,0.95,0.9,136,16
2,2,2,216,200,20033,3,1,0.37,1.3,136,16
2,2,2,216,200,20033,1,1,0.79,1.1,136,18
2,2,2,216,200,20034,1,3,0.17,1.9,137,14
2,2,2,216,200,20034,2,3,0.67,1.2,139,14
2,2,2,216,200,20034,3,3,1.9,1,136,26
2,2,2,216,200,20035,2,1,2.28,0.7,140,16
2,2,2,216,200,20035,1,1,0.88,1,136,15
2,2,2,216,200,20036,2,1,1.72,1.3,139,16
2,2,2,216,200,20036,3,1,1.82,0.3,140,15
2,2,2,216,200,20036,4,1,2.13,2.4,138,14
2,2,2,216,200,20036,1,1,1.9,0.8,136,18
2,2,2,216,200,20037,2,1,0.15,1,136,15
2,2,2,216,200,20037,1,1,0.48,0.5,135,21
2,2,2,216,200,20038,2,1,0.21,1.8,136,14
2,2,2,216,200,20038,1,1,0.61,1.1,136,16
2,2,2,216,200,20040,5,1,1.7,0.8,135,15
2,2,2,216,200,20040,3,1,1.6,1.1,136,15
2,2,2,216,200,20040,4,1,2.04,2.3,136,15
2,2,2,216,200,20040,2,1,1.69,0.3,135,15
2,2,2,216,200,20040,1,1,0.98,1.4,140,14
2,2,2,203,1224,20041,1,1,0.42,1.9,547,18
2,2,2,203,1224,20041,2,1,0.01,4.9,571,12
2,2,2,203,1224,20042,2,1,0.5,2,575,14
2,2,2,203,1224,20042,1,1,0.32,1.6,572,14
2,2,2,203,1224,20043,1,1,0.64,2.7,547,20
2,2,2,203,1224,20044,3,1,0.87,4.2,550,12
2,2,2,203,1224,20044,5,1,0.97,4.5,552,13
2,2,2,203,1224,20044,2,2,0.58,3.5,572,13
2,2,2,203,1224,20044,4,1,0.78,2.5,548,14
2,2,2,203,1224,20044,1,1,0.08,3.2,572,13
2,2,2,203,1224,20045,2,1,0.86,6.2,555,13
2,2,2,203,1224,20045,3,1,0.87,2.8,573,13
2,2,2,203,1224,20045,4,1,1.7,3.7,562,13
2,2,2,203,1224,20045,1,1,0.15,3.3,562,13
2,2,2,203,1224,20046,3,1,0.92,4.3,548,12
2,2,2,203,1224,20046,4,1,1.11,5.2,553,15
2,2,2,203,1224,20046,2,1,0.66,2.3,568,13
2,2,2,203,1224,20046,1,2,0.59,3.5,572,13
2,2,2,203,1224,20047,1,1,0.45,3.4,575,14
2,2,2,203,1224,20047,2,1,0.89,2.7,585,13
2,2,2,203,1224,20047,4,1,1.03,8.5,582,12
2,2,2,203,1224,20047,3,1,0.97,1.8,589,13
2,2,2,203,1224,20048,4,1,0.01,3,570,13
2,2,2,203,1224,20048,2,1,0.44,5.1,553,14
2,2,2,203,1224,20048,3,1,0.5,3.1,548,18
2,2,2,203,1224,20048,1,1,0.09,3.8,569,13
2,2,2,203,1224,20049,1,3,0.75,7.8,570,12
2,2,2,203,1224,20049,2,3,0.12,6.6,566,12
2,2,2,203,1224,20050,1,1,0.2,3.7,573,13
2,2,2,203,1224,20050,2,1,1.25,4.5,585,13
2,2,2,212,956,20051,1,1,2.06,3.4,377,13
2,2,2,212,956,20052,3,1,0.48,4.5,343,12
2,2,2,212,956,20052,1,1,0.69,8.1,341,12
2,2,2,212,956,20052,2,1,0.36,2.2,360,13
2,2,2,212,956,20053,2,1,0.3,5.6,341,13
2,2,2,212,956,20053,1,1,0.17,4.5,350,13
2,2,2,212,956,20054,1,1,2.38,1.4,354,16
2,2,2,212,956,20055,2,1,0.26,6,342,13
2,2,2,212,956,20055,1,3,0.1,3.7,356,13
2,2,2,212,956,20056,1,1,1.02,3.9,332,13
2,2,2,212,956,20057,1,1,0.2,5.1,346,14
2,2,2,212,956,20057,2,1,0.24,5.2,344,13
2,2,2,212,956,20058,2,1,0.37,5.3,342,13
2,2,2,212,956,20058,1,1,0.32,5.1,345,13
2,2,2,212,956,20060,1,1,0.25,4.9,348,14
2,2,2,210,1300,20061,2,1,0.29,0.8,492,14
2,2,2,210,1300,20061,3,1,0.14,2.2,487,15
2,2,2,210,1300,20061,4,1,0.46,2,493,14
2,2,2,210,1300,20061,1,1,0.08,2,487,14
2,2,2,210,1300,20062,2,1,0.11,1.5,487,16
2,2,2,210,1300,20062,3,1,0.79,1.4,486,15
2,2,2,210,1300,20062,1,1,0.15,1.3,487,16
2,2,2,210,1300,20063,2,1,0.26,2,490,14
2,2,2,210,1300,20063,1,1,1.01,2,490,13
2,2,2,210,1300,20064,2,1,0.17,1.5,486,14
2,2,2,210,1300,20064,3,1,0.69,1.7,487,14
2,2,2,210,1300,20064,1,1,0.6,1.5,482,15
2,2,2,210,1300,20065,2,1,0.84,0.8,488,15
2,2,2,210,1300,20065,1,1,0.84,1.4,487,14
2,2,2,210,1300,20066,2,1,0.35,2,484,15
2,2,2,210,1300,20066,3,1,1.21,2.1,486,16
2,2,2,210,1300,20066,1,1,1.27,2.3,486,14
2,2,2,210,1300,20067,4,1,1.07,1.4,480,14
2,2,2,210,1300,20067,5,1,1.13,1.1,478,15
2,2,2,210,1300,20067,2,1,1,0.9,480,15
2,2,2,210,1300,20067,3,1,0.46,1,482,17
2,2,2,210,1300,20067,1,1,0.16,1.1,484,17
2,2,2,210,1300,20068,1,1,0.25,2.5,489,13
2,2,2,210,1300,20069,1,1,0.23,1.3,486,14
2,2,2,210,1300,20069,2,1,0.82,0.3,484,21
2,2,2,210,1300,20070,1,1,1.21,1.4,481,16
2,2,2,210,1300,20070,4,1,1.24,1.9,485,15
2,2,2,210,1300,20070,5,1,0.95,3.1,486,14
2,2,2,210,1300,20070,2,1,0.9,0.8,491,16
2,2,2,210,1300,20070,3,1,0.91,1.8,495,14
2,2,1,214,898,20072,1,1,2.34,22.2,625,11
2,2,1,214,898,20072,2,1,2.53,2.8,607,14
2,2,1,214,898,20073,1,1,1.6,1.7,599,17
2,2,1,214,898,20074,1,3,1.6,4.7,605,12
2,2,1,214,898,20075,4,1,2.55,1.4,582,17
2,2,1,214,898,20075,1,1,2.76,1.6,580,15
2,2,1,214,898,20075,3,1,2.77,1.3,587,13
2,2,1,214,898,20075,2,1,2.61,1.5,580,15
2,2,1,214,898,20077,1,1,2.83,0.9,583,14
2,2,1,215,8,20081,1,1,0.33,2.5,599,13
2,2,1,215,8,20082,1,1,5.38,2,581,14
2,2,1,215,8,20083,1,1,4.85,1.4,586,15
2,2,1,215,8,20085,1,1,3.14,3.1,579,13
2,2,1,215,8,20086,2,1,7.19,1.6,581,14
2,2,1,215,8,20086,1,1,7.07,3.1,582,13
2,2,1,215,8,20087,2,1,4.24,1,586,15
2,2,1,215,8,20087,1,1,3.21,1.9,584,13
2,2,1,215,8,20087,3,1,5.12,1.4,586,14
2,2,1,215,8,20088,1,1,3.04,2.3,579,13
2,2,1,215,8,20089,1,1,0.63,1.3,588,15
2,2,1,215,8,20090,1,1,5.72,1.8,589,14
2,2,2,207,1302,20091,3,1,0.66,1.5,499,16
2,2,2,207,1302,20091,4,1,1.72,1.6,487,14
2,2,2,207,1302,20091,1,1,0.36,2.3,493,15
