"zone","state","lga","sector","ea","hhid","hhno","qno1","qno2","s1q10","s1q11","tracked_obs"
2,2,205,2,712,20108,8,2,2,4,1,0
2,2,205,2,712,20109,15,2,2,3,1,0
2,2,205,2,712,20110,17,2,2,5,1,0
2,2,218,2,1592,20111,44,2,2,2,1,0
2,2,218,2,1592,20112,19,2,2,3,1,0
2,2,218,2,1592,20113,23,2,2,3,1,0
2,2,218,2,1592,20114,12,2,2,4,1,0
2,2,218,2,1592,20115,15,2,2,2,1,0
2,2,218,2,1592,20116,1,2,2,4,1,0
2,2,218,2,1592,20117,41,2,2,5,1,0
2,2,218,2,1592,20118,30,2,2,5,1,0
2,2,218,2,1592,20119,33,2,2,3,1,0
2,2,218,2,1592,20120,26,2,2,2,1,0
5,3,331,1,2322,30005,13,2,2,2,1,0
5,3,331,1,516,30011,1,2,2,4,1,0
5,3,331,1,516,30012,63,2,2,40,1,0
5,3,331,1,516,30020,2,2,2,2,1,0
5,3,316,2,874,30021,1,2,2,2,1,0
5,3,316,2,874,30023,7,2,2,2,1,0
5,3,316,2,0,30029,0,2,2,2,1,1
5,3,309,2,478,30031,17,2,2,4,1,0
5,3,309,2,478,30032,35,2,2,2,1,0
5,3,309,2,478,30033,41,2,2,2,1,0
5,3,309,2,478,30034,53,2,2,4,1,0
5,3,309,2,478,30036,65,2,2,2,1,0
5,3,309,2,478,30037,71,2,2,3,1,0
5,3,309,2,478,30039,83,2,2,4,1,0
5,3,309,2,478,30040,89,2,2,4,1,0
5,3,307,1,634,30043,3,2,2,2,1,0
5,3,307,1,634,30047,7,2,2,3,1,0
5,3,307,1,634,30048,8,2,2,4,1,0
5,3,307,1,634,30049,10,2,2,4,1,0
5,3,321,2,364,30051,15,2,2,2,1,0
5,3,321,2,364,30052,20,2,2,4,1,0
5,3,321,2,364,30053,25,2,2,4,1,0
5,3,321,2,364,30054,30,2,2,2,1,0
5,3,321,2,364,30055,39,2,2,4,1,0
5,3,321,2,364,30056,44,2,2,2,1,0
5,3,321,2,364,30057,49,2,2,3,1,0
5,3,321,2,364,30058,54,2,2,2,1,0
5,3,321,2,364,30059,59,2,2,3,1,0
5,3,321,2,364,30060,68,2,2,3,1,0
5,3,329,2,696,30061,4,2,2,4,1,0
5,3,329,2,696,30062,9,2,2,4,1,0
5,3,329,2,696,30063,15,2,2,3,1,0
5,3,329,2,696,30068,41,2,2,4,1,0
5,3,329,2,696,30069,47,2,2,2,1,0
5,3,329,2,696,30070,57,2,2,2,1,0
5,3,323,2,580,30071,6,2,2,3,1,0
5,3,323,2,580,30072,11,2,2,4,1,0
5,3,323,2,580,30074,36,2,2,2,1,0
5,3,323,2,580,30075,42,1,2,2,1,0
5,3,323,2,580,30076,47,2,2,2,1,0
5,3,323,2,580,30077,52,2,2,3,1,0
5,3,323,2,580,30078,62,2,2,3,1,0
5,3,323,2,580,30079,67,2,2,4,1,0
5,3,323,2,580,30080,72,2,2,4,1,0
5,3,318,2,1136,30081,4,2,2,3,1,0
5,3,318,2,1136,30084,17,2,2,2,1,0
