"zone","state","lga","sector","ea","hhid","sa9bq10a","sa9bq10b","sa9bq11a","sa9bq11b","sa9bq12a","sa9bq12b","sa9bq13","sa9bq14","sa9bq15a","sa9bq15b","sa9bq15c","sa9bq16","sa9bq17a1","sa9bq17a2","sa9bq17b1","sa9bq17b2","sa9bq17c1","sa9bq17c2","sa9bq18","sa9bq19a","sa9bq19b","sa9bq19c","sa9bq20a","sa9bq20b","sa9bq20c","sa9bq21","sa9bq22a","sa9bq22b","sa9bq22c","sa9bq22d","sa9bq23","sa9bq24","sa9bq25","tracked_obs"
6,28,2810,1,3722,280108,1,15,0,,0,,2,1,12000,0,0,1,2,2,0,,0,,2,,,,,,,2,,,,,2,,,0
6,28,2810,1,3722,280109,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
6,28,2807,2,1266,280122,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
6,28,2807,2,1266,280126,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
6,28,2807,2,1266,280127,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
6,28,2807,2,1266,280128,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
6,28,2807,2,1266,280129,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
6,28,2807,2,1266,280130,0,,0,,0,,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
1,31,3101,2,604,310016,0,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
1,31,3116,2,1344,310091,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
5,32,3206,2,276,320076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,32,3206,2,276,320079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
5,32,3208,2,2244,320093,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
5,32,3201,2,2034,320106,1,20,0,0,0,,2,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
5,32,3216,2,1184,320187,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,2,,,,,1,"PURCHASE OF MATERIALS",20000,0
5,32,3212,2,314,320194,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
5,32,3207,2,1464,320202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,35,3501,1,702,350095,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,2,,,,,2,,,0
