"zone","state","lga","sector","ea","hhid","boat_cd","boat_desc","boat_other","sa9bq3","sa9bq4","sa9bq5","sa9bq6","sa9bq7","sa9bq8","sa9bq9","tracked_obs"
6,28,2810,2,2394,280098,4,"Other Specify 1",,,,,,,,,0
6,28,2810,2,2394,280098,5,"Other Specify 2",,,,,,,,,0
6,28,2810,2,2394,280098,6,"Other Specify 3",,,,,,,,,0
6,28,2810,2,2394,280099,1,"Canoe without engine",,,,,,,,,0
6,28,2810,2,2394,280099,2,"Canoe with engine",,,,,,,,,0
6,28,2810,2,2394,280099,3,"Outboard engine",,2,1680000,2,,,22000,5500,0
6,28,2810,2,2394,280099,4,"Other Specify 1",,,,,,,,,0
6,28,2810,2,2394,280099,5,"Other Specify 2",,,,,,,,,0
6,28,2810,2,2394,280099,6,"Other Specify 3",,,,,,,,,0
6,28,2810,1,3722,280103,1,"Canoe without engine",,,,,,,,,0
6,28,2810,1,3722,280103,2,"Canoe with engine",,,,,,,,,0
6,28,2810,1,3722,280103,3,"Outboard engine",,2,1800000,2,,,45000,7000,0
6,28,2810,1,3722,280103,4,"Other Specify 1",,,,,,,,,0
6,28,2810,1,3722,280103,5,"Other Specify 2",,,,,,,,,0
6,28,2810,1,3722,280103,6,"Other Specify 3",,,,,,,,,0
6,28,2810,1,3722,280108,1,"Canoe without engine",,,,,,,,,0
6,28,2810,1,3722,280108,2,"Canoe with engine",,,,,,,,,0
6,28,2810,1,3722,280108,3,"Outboard engine",,2,2500000,2,,,25000,13000,0
6,28,2810,1,3722,280108,4,"Other Specify 1",,,,,,,,,0
6,28,2810,1,3722,280108,5,"Other Specify 2",,,,,,,,,0
6,28,2810,1,3722,280108,6,"Other Specify 3",,,,,,,,,0
6,28,2810,1,3722,280109,1,"Canoe without engine",,0,,,,,,,0
6,28,2810,1,3722,280109,2,"Canoe with engine",,0,,,,,,,0
6,28,2810,1,3722,280109,3,"Outboard engine",,0,,,,,,,0
6,28,2810,1,3722,280109,4,"Other Specify 1",,1,1000000,2,,,13500,1500,0
6,28,2810,1,3722,280109,5,"Other Specify 2",,0,,,,,,,0
6,28,2810,1,3722,280109,6,"Other Specify 3",,0,,,,,,,0
6,28,2807,2,1266,280122,1,"Canoe without engine",,1,12000,2,,,0,,0
6,28,2807,2,1266,280122,2,"Canoe with engine",,1,200000,2,,,2800,300,0
6,28,2807,2,1266,280122,3,"Outboard engine",,0,,,,,,,0
6,28,2807,2,1266,280122,4,"Other Specify 1",,0,,,,,,,0
6,28,2807,2,1266,280122,5,"Other Specify 2",,,,,,,,,0
6,28,2807,2,1266,280122,6,"Other Specify 3",,,,,,,,,0
6,28,2807,2,1266,280126,1,"Canoe without engine",,1,7000,2,,,0,0,0
6,28,2807,2,1266,280126,2,"Canoe with engine",,,,,,,,,0
6,28,2807,2,1266,280126,3,"Outboard engine",,,,,,,,,0
6,28,2807,2,1266,280126,4,"Other Specify 1",,,,,,,,,0
6,28,2807,2,1266,280126,5,"Other Specify 2",,,,,,,,,0
6,28,2807,2,1266,280126,6,"Other Specify 3",,,,,,,,,0
6,28,2807,2,1266,280127,1,"Canoe without engine",,2,23000,2,,,0,0,0
6,28,2807,2,1266,280127,2,"Canoe with engine",,0,,,,,,,0
6,28,2807,2,1266,280127,3,"Outboard engine",,0,,,,,,,0
6,28,2807,2,1266,280127,4,"Other Specify 1",,0,,,,,,,0
6,28,2807,2,1266,280127,5,"Other Specify 2",,,,,,,,,0
6,28,2807,2,1266,280127,6,"Other Specify 3",,,,,,,,,0
6,28,2807,2,1266,280128,1,"Canoe without engine",,2,30000,2,,,0,0,0
6,28,2807,2,1266,280128,2,"Canoe with engine",,0,,,,,,,0
6,28,2807,2,1266,280128,3,"Outboard engine",,0,,,,,,,0
6,28,2807,2,1266,280128,4,"Other Specify 1",,0,,,,,,,0
6,28,2807,2,1266,280128,5,"Other Specify 2",,0,,,,,,,0
6,28,2807,2,1266,280128,6,"Other Specify 3",,0,,,,,,,0
6,28,2807,2,1266,280129,1,"Canoe without engine",,1,8500,2,,,0,0,0
6,28,2807,2,1266,280129,2,"Canoe with engine",,0,,,,,,,0
6,28,2807,2,1266,280129,3,"Outboard engine",,,,,,,,,0
6,28,2807,2,1266,280129,4,"Other Specify 1",,,,,,,,,0
6,28,2807,2,1266,280129,5,"Other Specify 2",,,,,,,,,0
6,28,2807,2,1266,280129,6,"Other Specify 3",,,,,,,,,0
6,28,2807,2,1266,280130,1,"Canoe without engine",,1,9000,2,,,0,0,0
6,28,2807,2,1266,280130,2,"Canoe with engine",,0,,,,,,,0
6,28,2807,2,1266,280130,3,"Outboard engine",,,,,,,,,0
6,28,2807,2,1266,280130,4,"Other Specify 1",,,,,,,,,0
6,28,2807,2,1266,280130,5,"Other Specify 2",,,,,,,,,0
6,28,2807,2,1266,280130,6,"Other Specify 3",,,,,,,,,0
1,31,3101,2,604,310016,1,"Canoe without engine",,,,,,,,,0
1,31,3101,2,604,310016,2,"Canoe with engine",,,,,,,,,0
1,31,3101,2,604,310016,3,"Outboard engine",,,,,,,,,0
1,31,3101,2,604,310016,4,"Other Specify 1",,,,,,,,,0
1,31,3101,2,604,310016,5,"Other Specify 2",,,,,,,,,0
1,31,3101,2,604,310016,6,"Other Specify 3","HOOK",4,100,2,,,0,0,0
1,31,3116,2,1344,310091,1,"Canoe without engine",,,,,,,,,0
1,31,3116,2,1344,310091,2,"Canoe with engine",,,,,,,,,0
1,31,3116,2,1344,310091,3,"Outboard engine",,,,,,,,,0
1,31,3116,2,1344,310091,4,"Other Specify 1",,,,,,,,,0
1,31,3116,2,1344,310091,5,"Other Specify 2",,,,,,,,,0
1,31,3116,2,1344,310091,6,"Other Specify 3",,15,4500,2,,,0,0,0
5,32,3206,2,276,320076,1,"Canoe without engine",,1,80000,2,,,,5000,0
5,32,3206,2,276,320076,2,"Canoe with engine",,,,,,,,,0
5,32,3206,2,276,320076,3,"Outboard engine",,,,,,,,,0
5,32,3206,2,276,320076,4,"Other Specify 1",,,,,,,,,0
5,32,3206,2,276,320076,5,"Other Specify 2",,,,,,,,,0
5,32,3206,2,276,320076,6,"Other Specify 3",,,,,,,,,0
5,32,3206,2,276,320079,1,"Canoe without engine",,1,80000,2,,,0,5000,0
5,32,3206,2,276,320079,2,"Canoe with engine",,,,,,,,,0
5,32,3206,2,276,320079,3,"Outboard engine",,,,,,,,,0
5,32,3206,2,276,320079,4,"Other Specify 1",,,,,,,,,0
5,32,3206,2,276,320079,5,"Other Specify 2",,,,,,,,,0
5,32,3206,2,276,320079,6,"Other Specify 3",,,,,,,,,0
5,32,3208,2,2244,320093,1,"Canoe without engine",,2,50000,2,,,0,15000,0
5,32,3208,2,2244,320093,2,"Canoe with engine",,0,,,,,,,0
5,32,3208,2,2244,320093,3,"Outboard engine",,0,,,,,,,0
5,32,3208,2,2244,320093,4,"Other Specify 1",,0,,,,,,,0
5,32,3208,2,2244,320093,5,"Other Specify 2",,0,,,,,,,0
5,32,3208,2,2244,320093,6,"Other Specify 3",,0,,,,,,,0
5,32,3201,2,2034,320106,1,"Canoe without engine",,1,50000,2,,,0,3000,0
