"zone","state","lga","sector","ea","hhid","fish_cd","fish_desc","fish_other","sa9aq2","sa9aq3","sa9aq4a1","sa9aq4a2","sa9aq4b1","sa9aq4b2","sa9aq5a","sa9aq5b","sa9aq6","sa9aq7a","sa9aq7b","sa9aq8","sa9aq9","sa9aq10a1","sa9aq10a2","sa9aq10b1","sa9aq10b2","sa9aq11","sa9aq12a1","sa9aq12a2","sa9aq12a3","sa9aq12a4","sa9aq12b1","sa9aq12b2","sa9aq12b3","sa9aq12b4","sa9aq13a","sa9aq13b","sa9aq14","sa9aq15a","sa9aq15b","sa9aq16","sa9aq17","sa9aq18a1","sa9aq18a2","sa9aq18a3","sa9aq18a4","sa9aq18b1","sa9aq18b2","sa9aq18b3","sa9aq18b4","tracked_obs"
2,5,502,2,3878,50038,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,502,2,3878,50038,5,"Other (specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,502,2,3878,50038,6,"Other (specify) 2",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,502,2,3878,50038,7,"Other (specify) 3",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50062,1,"Catfish",,1,20,15,1,0,,10,1,5000,0,,,20,5,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50062,2,"Tilapia",,1,20,10,1,0,,8,1,4000,0,,,20,2,1,0,,0,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50062,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50062,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50062,5,"Other (specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50062,6,"Other (specify) 2",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50062,7,"Other (specify) 3",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50063,1,"Catfish",,1,20,11,3,,,10,3,6000,0,,6000,20,20,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50063,2,"Tilapia",,1,20,6,3,,,5,3,3500,0,,7000,20,10,3,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50063,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50063,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50063,5,"Other (specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50063,6,"Other (specify) 2",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50063,7,"Other (specify) 3",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50067,1,"Catfish",,1,12,10,3,0,,10,1,6000,0,,,12,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50067,2,"Tilapia",,1,12,12,3,0,,10,1,5000,0,,,12,2,1,,,0,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50067,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50067,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50067,5,"Other (specify)",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50067,6,"Other (specify) 2",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50067,7,"Other (specify) 3",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50070,1,"Catfish",,1,20,20,1,0,,18,1,600,0,,,0,20,2,1,,0,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50070,2,"Tilapia",,1,20,10,1,0,,8,1,500,0,,,0,20,2,1,,0,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50070,3,"Carpfish",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
2,5,514,2,710,50070,4,"Shrimps",,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
