"zone","state","lga","sector","ea","hhid","byprod_cd","byprod_desc","byprod_other","sa8q1","sa8q2","sa8q3a","sa8q3b","sa8q4","sa8q5a","sa8q5b","sa8q6","sa8q7a","sa8q7b","sa8q8a","sa8q8b","tracked_obs"
4,1,107,2,1044,10064,5,"HUNTING (INCLDUNG SN",,2,,,,,,,,,,,,0
4,1,107,2,1044,10064,6,"MUSHROOMS",,2,,,,,,,,,,,,0
4,1,107,2,1044,10064,7,"PALM WINE, OGURO, PI",,2,,,,,,,,,,,,0
4,1,107,2,1044,10064,8,"OTHER (SPECIFY)",,2,,,,,,,,,,,,0
4,1,107,2,1044,10065,1,"MILK",,2,,,,,,,,,,,,0
4,1,107,2,1044,10065,2,"EGGS",,2,,,,,,,,,,,,0
4,1,107,2,1044,10065,3,"HONEY",,2,,,,,,,,,,,,0
4,1,107,2,1044,10065,4,"HIDES, WOOL AND SKIN",,2,,,,,,,,,,,,0
4,1,107,2,1044,10065,5,"HUNTING (INCLDUNG SN",,2,,,,,,,,,,,,0
4,1,107,2,1044,10065,6,"MUSHROOMS",,2,,,,,,,,,,,,0
4,1,107,2,1044,10065,7,"PALM WINE, OGURO, PI",,2,,,,,,,,,,,,0
4,1,107,2,1044,10065,8,"OTHER (SPECIFY)",,2,,,,,,,,,,,,0
4,1,107,2,1044,10066,1,"MILK",,2,,,,,,,,,,,,0
4,1,107,2,1044,10066,2,"EGGS",,2,,,,,,,,,,,,0
4,1,107,2,1044,10066,3,"HONEY",,2,,,,,,,,,,,,0
4,1,107,2,1044,10066,4,"HIDES, WOOL AND SKIN",,2,,,,,,,,,,,,0
4,1,107,2,1044,10066,5,"HUNTING (INCLDUNG SN",,2,,,,,,,,,,,,0
4,1,107,2,1044,10066,6,"MUSHROOMS",,2,,,,,,,,,,,,0
4,1,107,2,1044,10066,7,"PALM WINE, OGURO, PI",,2,,,,,,,,,,,,0
4,1,107,2,1044,10066,8,"OTHER (SPECIFY)",,2,,,,,,,,,,,,0
4,1,107,2,1044,10067,1,"MILK",,2,,,,,,,,,,,,0
4,1,107,2,1044,10067,2,"EGGS",,2,,,,,,,,,,,,0
4,1,107,2,1044,10067,3,"HONEY",,2,,,,,,,,,,,,0
4,1,107,2,1044,10067,4,"HIDES, WOOL AND SKIN",,2,,,,,,,,,,,,0
4,1,107,2,1044,10067,5,"HUNTING (INCLDUNG SN",,2,,,,,,,,,,,,0
4,1,107,2,1044,10067,6,"MUSHROOMS",,2,,,,,,,,,,,,0
4,1,107,2,1044,10067,7,"PALM WINE, OGURO, PI",,2,,,,,,,,,,,,0
4,1,107,2,1044,10067,8,"OTHER (SPECIFY)",,2,,,,,,,,,,,,0
4,1,107,2,1044,10068,1,"MILK",,2,,,,,,,,,,,,0
4,1,107,2,1044,10068,2,"EGGS",,2,,,,,,,,,,,,0
4,1,107,2,1044,10068,3,"HONEY",,2,,,,,,,,,,,,0
4,1,107,2,1044,10068,4,"HIDES, WOOL AND SKIN",,2,,,,,,,,,,,,0
4,1,107,2,1044,10068,5,"HUNTING (INCLDUNG SN",,2,,,,,,,,,,,,0
4,1,107,2,1044,10068,6,"MUSHROOMS",,2,,,,,,,,,,,,0
4,1,107,2,1044,10068,7,"PALM WINE, OGURO, PI",,2,,,,,,,,,,,,0
4,1,107,2,1044,10068,8,"OTHER (SPECIFY)",,2,,,,,,,,,,,,0
4,1,107,2,1044,10069,1,"MILK",,2,,,,,,,,,,,,0
4,1,107,2,1044,10069,2,"EGGS",,2,,,,,,,,,,,,0
4,1,107,2,1044,10069,3,"HONEY",,2,,,,,,,,,,,,0
4,1,107,2,1044,10069,4,"HIDES, WOOL AND SKIN",,2,,,,,,,,,,,,0
4,1,107,2,1044,10069,5,"HUNTING (INCLDUNG SN",,2,,,,,,,,,,,,0
4,1,107,2,1044,10069,6,"MUSHROOMS",,2,,,,,,,,,,,,0
4,1,107,2,1044,10069,7,"PALM WINE, OGURO, PI",,2,,,,,,,,,,,,0
4,1,107,2,1044,10069,8,"OTHER (SPECIFY)",,2,,,,,,,,,,,,0
4,1,107,2,1044,10070,1,"MILK",,2,,,,,,,,,,,,0
4,1,107,2,1044,10070,2,"EGGS",,2,,,,,,,,,,,,0
4,1,107,2,1044,10070,3,"HONEY",,2,,,,,,,,,,,,0
4,1,107,2,1044,10070,4,"HIDES, WOOL AND SKIN",,2,,,,,,,,,,,,0
