"country","wave","visit","surveyt","surveyprd","zone","state","lga","ea","rururb","hhid","hhsize","nfdwater","nfdelec","nfdgas","nfdfwood","nfdchar","nfdkero","nfdliqd","nfdutil","nfdcloth","nfdfmtn","nfdrepar","nfddome","nfdpetro","nfddiesl","nfdfares","nfdtrans","nfdcomm","nfdrecre","nfdtbac","nfdrnthh","nfdinsur","fdsorby","fdmilby","fdmaizby","fdriceby","fdyamby","fdcasby","fdcereby","fdbrdby","fdtubby","fdpoulby","fdmeatby","fdfishby","fddairby","fdfatsby","fdfrutby","fdvegby","fdbeanby","fdswtby","fdbevby","fdalcby","fdrestby","fdothby","fdsorpr","fdmilpr","fdmaizpr","fdricepr","fdyampr","fdcaspr","fdcerepr","fdbrdpr","fdtubpr","fdpoulpr","fdmeatpr","fdfishpr","fddairpr","fdfatspr","fdfrutpr","fdvegpr","fdbeanpr","fdswtpr","fdbevpr","fdalcpr","fdothpr","edtexp","nfdfoth","totcons","hhweight"
"NGA",1,2,"LSMS-ISA2011",2011,4,16,1616,296,0,160065,8,365,0,0,0,0,547.5,0,0,212.5,567.053588867188,0,0,0,0,3584.82153320313,0,0,0,0,2013.90808105469,0,0,0,0,521.428588867188,0,3258.92846679688,0,1564.28576660156,0,0,4888.39306640625,3063.39294433594,2607.14282226563,391.071441650391,0,4758.03578186035,1955.35717773438,130.357147216797,651.785705566406,0,938.571441650391,0,0,0,0,0,0,651.785705566406,0,0,0,0,0,0,0,5214.28564453125,0,0,0,0,0,0,0,2912.5,808.541687011719,41606.64453125,3497.98901367188
"NGA",1,2,"LSMS-ISA2011",2011,4,16,1616,296,0,160066,5,3650,4800,0,0,0,632.666650390625,0,0,3400,1667.14294433594,0,0,0,0,10428.57109375,2433.3333984375,4866.6669921875,0,521.428564453125,1949.25415039063,0,0,0,0,0,6257.14296875,3128.571484375,0,5214.285546875,0,0,6257.14296875,9907.14296875,4171.428515625,0,1042.85712890625,1981.42856445313,6257.14296875,0,3337.14282226563,11471.428515625,13557.1427734375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55619.04375,0,0,0,0,0,0,0,0,2973.33325195313,165524.3125,3497.98901367188
"NGA",1,2,"LSMS-ISA2011",2011,4,16,1616,296,0,160067,3,0,2000,0,0,0,2027.77783203125,0,0,3000,13035.7138671875,0,0,8111.111328125,0,3476.1904296875,0,12166.6669921875,0,0,7974.59375,0,0,0,0,3476.1904296875,0,0,13904.76171875,2607.14290364583,3476.1904296875,0,17380.9518229167,12166.6666666667,7821.42838541667,6430.95247395833,869.047607421875,4866.66666666667,2085.71435546875,0,1216.66666666667,0,0,173.809529622396,0,0,0,0,5615.384765625,0,0,0,0,24333.3333333333,0,0,0,0,0,0,0,0,0,0,0,4600,6304.16650390625,169121.140625,3497.98901367188
"NGA",1,2,"LSMS-ISA2011",2011,4,16,1616,296,0,160068,2,1825,2400,0,1825,0,3041.66674804688,0,0,0,1477.380859375,0,0,0,0,5214.28564453125,0,9125,0,0,7594.65673828125,0,0,0,0,2607.14282226563,10428.5712890625,1825,20857.142578125,3910.71435546875,5214.28564453125,0,15642.857421875,36499.9995117188,10428.5712890625,8082.14306640625,0,15382.1427001953,2607.14282226563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10520.833984375,176509.515625,3497.98901367188
"NGA",1,2,"LSMS-ISA2011",2011,4,16,1616,296,0,160069,6,1013.88891601563,811.111083984375,0,0,0,1216.66666666667,0,0,3166.66666666667,1506.34912109375,0,0,6083.33333333333,0,4345.23795572917,6488.888671875,4055.5556640625,0,0,1977.68005371094,0,0,0,0,3476.1904296875,869.047607421875,0,0,1303.57145182292,0,0,3476.1904296875,5214.28564453125,3910.71419270833,3476.19059244792,0,3476.19049072266,2085.71435546875,260.714294433594,2867.85719807943,1303.57145182292,10863.0954182943,86.9047648111979,0,0,0,0,0,1998.8095703125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3333.33325195313,3405.5556640625,82073.3125,3497.98901367188
"NGA",1,2,"LSMS-ISA2011",2011,4,16,1616,296,0,160070,2,3041.66674804688,3000,0,0,0,730,0,0,0,2085.71435546875,0,0,0,0,2607.14282226563,0,0,0,0,7758.04931640625,0,0,0,0,3910.71435546875,5214.28564453125,2607.14282226563,0,3389.28564453125,0,0,31285.71484375,13035.7143554688,10428.5712890625,8342.857421875,0,27375.0002441406,3650,0,14208.9289245605,3910.71435546875,13035.7143554688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21900,9912.5,191429.71875,3497.98901367188
"NGA",1,2,"LSMS-ISA2011",2011,4,16,1620,106,0,160071,4,3041.66674804688,1050,0,0,0,912.5,0,0,425,1407.85705566406,0,0,6083.33349609375,0,6517.85693359375,0,6083.33349609375,0,0,6611.06591796875,0,0,0,0,6517.85693359375,6517.85693359375,5214.28564453125,0,912.5,0,0,39107.142578125,0,5866.0712890625,0,1955.35711669922,4692.85711669922,8799.10693359375,391.071441650391,6517.85717773438,0,6517.85717773438,391.071441650391,0,0,0,0,0,0,0,0,3609.89038085938,0,0,0,0,3476.1904296875,0,1590.35711669922,0,0,0,0,0,962.5,8041.6669921875,143214.125,5891.35009765625
"NGA",1,2,"LSMS-ISA2011",2011,4,16,1620,106,0,160072,6,4055.5556640625,1000,0,0,0,1216.66666666667,0,0,0,2520.23803710938,0,0,2027.77783203125,0,17380.9518229167,2027.77783203125,6083.33349609375,0,0,2646.46118164063,0,0,0,0,4779.76188151042,2172.61897786458,1738.09521484375,0,0,1738.09521484375,0,13035.71484375,5127.38102213542,3476.1904296875,0,2172.61901855469,3215.47619628906,2824.40462239583,347.619059244792,3476.19051106771,5301.1904296875,6517.85717773438,260.714294433594,0,0,0,0,0,0,0,0,0,0,0,0,0,2317.46028645833,0,456.250040690104,0,0,0,0,0,0,8419.4443359375,106335.8515625,5891.35009765625
"NGA",1,2,"LSMS-ISA2011",2011,4,16,1620,106,0,160073,8,3041.66674804688,0,0,0,0,760.416687011719,0,0,6625,1890.17858886719,0,0,2281.25,0,3258.92846679688,0,2737.5,0,0,1842.69470214844,0,0,0,0,1955.35717773438,0,3910.71435546875,0,0,2607.14288330078,0,14991.0710449219,0,2607.14282226563,0,1303.57141113281,2770.08929443359,2281.25,195.535720825195,2607.14288330078,0,3649.99987792969,195.535720825195,0,0,0,0,0,4236.60693359375,0,0,0,0,0,0,0,1738.09521484375,0,0,0,0,0,0,0,1793.75,304.166656494141,69584.8046875,5891.35009765625
"NGA",1,2,"LSMS-ISA2011",2011,4,16,1620,106,0,160074,3,2433.33325195313,1600,0,0,0,973.333333333333,0,0,3733.33333333333,1721.03173828125,0,0,0,0,26071.4296875,0,6083.33349609375,0,0,3955.36010742188,0,0,0,1738.09521484375,0,0,8442.17724609375,0,3476.1904296875,0,0,6952.380859375,12166.6666666667,7821.42838541667,5214.28588867188,4519.04752604167,6170.23799641927,0,347.619059244792,9385.71435546875,2607.14290364583,12861.9049479167,347.619059244792,0,0,0,0,0,0,0,0,1069.59708658854,0,0,0,0,0,0,0,0,0,0,0,0,0,2883.33325195313,132574.59375,5891.35009765625
