"cropname","agcropid","nscode","conversion"
"rice",1110,14,120
"rice",1110,21,15
"rice",1110,22,30
"rice",1110,23,50
"rice",1110,24,75
"rice",1110,31,10
"rice",1110,32,25
"rice",1110,33,40
"rice",1110,34,75
"rice",1110,61,15
"rice",1110,62,25
"rice",1110,63,40
"unshelled rice",1111,11,20
"unshelled rice",1111,12,50
"unshelled rice",1111,13,100
"unshelled rice",1111,14,120
"unshelled rice",1111,21,15
"unshelled rice",1111,22,30
"unshelled rice",1111,23,50
"unshelled rice",1111,24,75
"unshelled rice",1111,31,10
"unshelled rice",1111,32,25
"unshelled rice",1111,33,40
"unshelled rice",1111,34,75
"unshelled rice",1111,61,15
"unshelled rice",1111,62,25
"unshelled rice",1111,63,40
"shelled rice",1112,11,20
"shelled rice",1112,12,50
"shelled rice",1112,13,100
"shelled rice",1112,14,120
"shelled rice",1112,21,15
"shelled rice",1112,22,30
"shelled rice",1112,23,50
"shelled rice",1112,24,75
"shelled rice",1112,31,10
"shelled rice",1112,32,25
"shelled rice",1112,33,40
"shelled rice",1112,34,75
"shelled rice",1112,61,15
"shelled rice",1112,62,25
"shelled rice",1112,63,40
"yam",1120,11,20
"yam",1120,12,50
"yam",1120,13,100
"yam",1120,14,120
"yam",1120,21,15
"yam",1120,22,30
"yam",1120,23,50
"yam",1120,24,75
"yam",1120,31,10
"yam",1120,32,25
"yam",1120,33,40
"yam",1120,34,75
"yam",1120,51,3
"yam",1120,52,5
"yam",1120,53,8
"yam",1120,61,15
"yam",1120,62,25
"yam",1120,63,40
"yam",1120,71,60
"yam",1120,72,85
"yam",1120,73,110
"yam",1120,74,150
"yam",1120,81,1500
"yam",1120,82,2000
"white yam",1121,11,20
"white yam",1121,12,50
"white yam",1121,13,100
"white yam",1121,14,120
"white yam",1121,21,15
"white yam",1121,22,30
"white yam",1121,23,50
"white yam",1121,24,75
"white yam",1121,31,10
"white yam",1121,32,25
"white yam",1121,33,40
"white yam",1121,34,75
"white yam",1121,51,3
"white yam",1121,52,5
"white yam",1121,53,8
"white yam",1121,61,15
"white yam",1121,62,25
"white yam",1121,63,40
"white yam",1121,71,60
"white yam",1121,72,85
"white yam",1121,73,110
"white yam",1121,74,150
"yellow yam",1122,11,20
"yellow yam",1122,12,50
"yellow yam",1122,13,100
"yellow yam",1122,14,120
"yellow yam",1122,21,15
"yellow yam",1122,22,30
"yellow yam",1122,23,50
"yellow yam",1122,24,75
"yellow yam",1122,31,10
"yellow yam",1122,32,25
"yellow yam",1122,33,40
"yellow yam",1122,34,75
"yellow yam",1122,51,3
"yellow yam",1122,52,5
"yellow yam",1122,53,8
"yellow yam",1122,61,15
"yellow yam",1122,62,25
"yellow yam",1122,63,40
"yellow yam",1122,71,60
"yellow yam",1122,72,85
"yellow yam",1122,73,110
"yellow yam",1122,74,150
"yellow yam",1122,81,1500
"water yam",1123,11,20
"water yam",1123,12,50
"water yam",1123,13,100
"water yam",1123,14,120
"water yam",1123,21,15
"water yam",1123,22,30
"water yam",1123,23,50
"water yam",1123,24,75
"water yam",1123,31,10
"water yam",1123,32,25
"water yam",1123,33,40
"water yam",1123,34,75
"water yam",1123,51,3
"water yam",1123,52,5
"water yam",1123,53,8
"water yam",1123,61,15
"water yam",1123,62,25
"water yam",1123,63,40
"water yam",1123,71,60
"water yam",1123,72,85
"water yam",1123,73,110
"water yam",1123,74,150
"three leave yam",1124,11,20
"three leave yam",1124,12,50
"three leave yam",1124,13,100
"three leave yam",1124,14,120
"three leave yam",1124,21,15
"three leave yam",1124,22,30
"three leave yam",1124,23,50
"three leave yam",1124,24,75
"three leave yam",1124,31,10
"three leave yam",1124,32,25
"three leave yam",1124,33,40
"three leave yam",1124,34,75
"three leave yam",1124,51,3
"three leave yam",1124,52,5
"three leave yam",1124,53,8
"three leave yam",1124,61,15
"three leave yam",1124,62,25
"three leave yam",1124,63,40
"three leave yam",1124,71,60
"three leave yam",1124,72,85
"three leave yam",1124,73,110
"three leave yam",1124,74,150
"acha",2010,11,20
"acha",2010,12,50
"acha",2010,13,100
"acha",2010,14,120
"acha",2010,21,15
"acha",2010,22,30
"acha",2010,23,50
"acha",2010,24,75
"acha",2010,31,10
"acha",2010,32,25
"acha",2010,33,40
"acha",2010,34,75
"acha",2010,61,15
"acha",2010,62,25
"acha",2010,63,40
"bambara nut",2020,11,20
"bambara nut",2020,12,50
"bambara nut",2020,13,100
"bambara nut",2020,14,120
"bambara nut",2020,21,15
"bambara nut",2020,22,30
"bambara nut",2020,23,50
"bambara nut",2020,24,75
"bambara nut",2020,31,10
"bambara nut",2020,32,25
"bambara nut",2020,33,40
"bambara nut",2020,34,75
"bambara nut",2020,61,15
"bambara nut",2020,62,25
"bambara nut",2020,63,40
"bambara nut",2020,71,60
"bambara nut",2020,72,85
"bambara nut",2020,73,110
"bambara nut",2020,74,150
"bambara nut",2020,81,1500
"bambara nut",2020,82,2000
"bambara nut",2020,83,2500
"banana",2030,11,20
"banana",2030,12,50
"banana",2030,13,100
"banana",2030,14,120
"banana",2030,21,15
"banana",2030,22,30
"banana",2030,23,50
"banana",2030,24,75
"banana",2030,31,10
"banana",2030,32,25
"banana",2030,33,40
"banana",2030,34,75
"banana",2030,41,5
"banana",2030,42,8
"banana",2030,43,15
"banana",2030,53,8
"banana",2030,61,15
"banana",2030,62,25
"banana",2030,63,40
"banana",2030,71,60
"banana",2030,72,85
"banana",2030,73,110
"banana",2030,74,150
"beeni-seed",2040,11,20
"beeni-seed",2040,12,50
"beeni-seed",2040,13,100
"beeni-seed",2040,14,120
"beeni-seed",2040,21,15
"beeni-seed",2040,22,30
"beeni-seed",2040,23,50
"beeni-seed",2040,24,75
"beeni-seed",2040,31,10
"beeni-seed",2040,32,25
"beeni-seed",2040,33,40
"beeni-seed",2040,34,75
"beeni-seed",2040,61,15
"beeni-seed",2040,62,25
"beeni-seed",2040,63,40
"carrot",2050,11,20
"carrot",2050,12,50
"carrot",2050,13,100
"carrot",2050,14,120
"carrot",2050,21,15
"carrot",2050,22,30
"carrot",2050,23,50
"carrot",2050,24,75
"carrot",2050,31,10
"carrot",2050,32,25
"carrot",2050,33,40
"carrot",2050,34,75
"carrot",2050,61,15
"carrot",2050,62,25
"carrot",2050,63,40
"carrot",2050,71,60
"carrot",2050,72,85
"carrot",2050,73,110
"carrot",2050,74,150
"carrot",2050,81,1500
"carrot",2050,82,2000
"carrot",2050,83,2500
"cucumber",2060,11,20
"cucumber",2060,12,50
"cucumber",2060,13,100
"cucumber",2060,14,120
"cucumber",2060,21,15
"cucumber",2060,22,30
"cucumber",2060,23,50
"cucumber",2060,24,75
"cucumber",2060,31,10
"cucumber",2060,32,25
"cucumber",2060,33,40
"cucumber",2060,34,75
"cucumber",2060,61,15
"cucumber",2060,62,25
"cucumber",2060,63,40
"cucumber",2060,71,60
"cucumber",2060,72,85
"cucumber",2060,73,110
"cucumber",2060,74,150
"cabbage",2070,11,20
"cabbage",2070,12,50
"cabbage",2070,13,100
"cabbage",2070,14,120
"cabbage",2070,21,15
"cabbage",2070,22,30
"cabbage",2070,23,50
"cabbage",2070,24,75
"cabbage",2070,31,10
"cabbage",2070,32,25
"cabbage",2070,33,40
"cabbage",2070,34,75
"cabbage",2070,61,15
"cabbage",2070,62,25
"cabbage",2070,63,40
"cabbage",2070,71,60
"cabbage",2070,72,85
"cabbage",2070,73,110
"cabbage",2070,74,150
"Letus",2071,11,20
"Letus",2071,12,50
"Letus",2071,13,100
"Letus",2071,14,120
"Letus",2071,21,15
"Letus",2071,22,30
"Letus",2071,23,50
"Letus",2071,24,75
"Letus",2071,31,10
"Letus",2071,32,25
"Letus",2071,33,40
"Letus",2071,34,75
"Letus",2071,61,15
"Letus",2071,62,25
"Letus",2071,63,40
"Letus",2071,71,60
"Letus",2071,72,85
"Letus",2071,73,110
"Letus",2071,74,150
"Garden egg",2080,11,20
"Garden egg",2080,12,50
"Garden egg",2080,13,100
"Garden egg",2080,14,120
"Garden egg",2080,21,15
"Garden egg",2080,22,30
"Garden egg",2080,23,50
"Garden egg",2080,24,75
"Garden egg",2080,31,10
"Garden egg",2080,32,25
"Garden egg",2080,33,40
"Garden egg",2080,34,75
"garden egg",2080,41,5
"Garden egg",2080,61,15
"Garden egg",2080,62,25
"Garden egg",2080,63,40
"Garden egg",2080,71,60
"Garden egg",2080,72,85
"Garden egg",2080,73,110
"Garden egg",2080,74,150
"garlic",2090,11,20
"garlic",2090,12,50
"garlic",2090,13,100
"garlic",2090,14,120
"garlic",2090,21,15
"garlic",2090,22,30
"garlic",2090,23,50
"garlic",2090,24,75
"garlic",2090,31,10
"garlic",2090,32,25
"garlic",2090,33,40
"garlic",2090,34,75
"garlic",2090,61,15
"garlic",2090,62,25
"garlic",2090,63,40
"garlic",2090,71,60
"garlic",2090,72,85
"garlic",2090,73,110
"garlic",2090,74,150
"ginger",2100,11,20
"ginger",2100,12,50
"ginger",2100,13,100
"ginger",2100,14,120
"ginger",2100,21,15
"ginger",2100,22,30
"ginger",2100,23,50
"ginger",2100,24,75
"ginger",2100,31,10
"ginger",2100,32,25
"ginger",2100,33,40
"ginger",2100,34,75
"ginger",2100,61,15
"ginger",2100,62,25
"ginger",2100,63,40
"ginger",2100,81,1500
"ginger",2100,82,2000
"ginger",2100,83,2500
"ginger peeled",2101,11,20
"ginger peeled",2101,12,50
"ginger peeled",2101,13,100
"ginger peeled",2101,14,120
"ginger peeled",2101,21,15
"ginger peeled",2101,22,30
"ginger peeled",2101,23,50
"ginger peeled",2101,24,75
"ginger peeled",2101,31,10
"ginger peeled",2101,32,25
"ginger peeled",2101,33,40
"ginger peeled",2101,34,75
"ginger peeled",2101,61,15
"ginger peeled",2101,62,25
"ginger peeled",2101,63,40
"ginger peeled",2101,81,1500
"ginger peeled",2101,82,2000
"ginger peeled",2101,83,2500
"ginger split",2102,11,20
"ginger split",2102,12,50
"ginger split",2102,13,100
"ginger split",2102,14,120
"ginger split",2102,21,15
"ginger split",2102,22,30
"ginger split",2102,23,50
"ginger split",2102,24,75
"ginger split",2102,31,10
"ginger split",2102,32,25
"ginger split",2102,33,40
"ginger split",2102,34,75
"ginger split",2102,61,15
"ginger split",2102,62,25
"ginger split",2102,63,40
"ginger split",2102,81,1500
"ginger split",2102,82,2000
"ginger split",2102,83,2500
"other spices/vanilla",2103,11,20
"other spices/vanilla",2103,12,50
"other spices/vanilla",2103,13,100
"other spices/vanilla",2103,14,120
"other spices/vanilla",2103,21,15
"other spices/vanilla",2103,22,30
"other spices/vanilla",2103,23,50
"other spices/vanilla",2103,24,75
"other spices/vanilla",2103,31,10
"other spices/vanilla",2103,32,25
"other spices/vanilla",2103,33,40
"other spices/vanilla",2103,34,75
"other spices/vanilla",2103,61,15
"other spices/vanilla",2103,62,25
"other spices/vanilla",2103,63,40
"arabic gum",2110,11,20
"arabic gum",2110,12,50
"arabic gum",2110,13,100
"arabic gum",2110,14,120
"arabic gum",2110,21,15
"arabic gum",2110,22,30
"arabic gum",2110,23,50
"arabic gum",2110,24,75
"arabic gum",2110,31,10
"arabic gum",2110,32,25
"arabic gum",2110,33,40
"arabic gum",2110,34,75
"arabic gum",2110,61,15
"arabic gum",2110,62,25
"arabic gum",2110,63,40
"okro",2120,11,20
"okro",2120,12,50
"okro",2120,13,100
"okro",2120,14,120
"okro",2120,21,15
"okro",2120,22,30
"okro",2120,23,50
"okro",2120,24,75
"okro",2120,31,10
"okro",2120,32,25
"okro",2120,33,40
"okro",2120,34,75
"okro",2120,61,15
"okro",2120,62,25
"okro",2120,63,40
"onion",2130,11,20
"onion",2130,12,50
"onion",2130,13,100
"onion",2130,14,120
"onion",2130,21,15
"onion",2130,22,30
"onion",2130,23,50
"onion",2130,24,75
"onion",2130,31,10
"onion",2130,32,25
"onion",2130,33,40
"onion",2130,34,75
"onion",2130,61,15
"onion",2130,62,25
"onion",2130,63,40
"onion",2130,71,60
"onion",2130,72,85
"onion",2130,73,110
"onion",2130,74,150
"pepper",2140,11,20
"pepper",2140,12,50
"pepper",2140,13,100
"pepper",2140,14,120
"pepper",2140,21,15
"pepper",2140,22,30
"pepper",2140,23,50
"pepper",2140,24,75
"pepper",2140,31,10
"pepper",2140,32,25
"pepper",2140,33,40
"pepper",2140,34,75
"pepper",2140,43,15
"pepper",2140,51,3
"pepper",2140,61,15
