"cropname","agcropid","nscode","conversion"
"rubber sheet",3232,23,50
"rubber sheet",3232,24,75
"rubber sheet",3232,31,10
"rubber sheet",3232,32,25
"rubber sheet",3232,33,40
"rubber sheet",3232,34,75
"rubber sheet",3232,61,15
"rubber sheet",3232,62,25
"rubber sheet",3232,63,40
"rubber sheet",3232,91,10
"rubber sheet",3232,92,20
"rubber sheet",3232,93,25
"rubber sheet",3232,94,50
"rubber sheet",3232,95,200
"cherry",3240,11,20
"cherry",3240,12,50
"cherry",3240,13,100
"cherry",3240,14,120
"cherry",3240,21,15
"cherry",3240,22,30
"cherry",3240,23,50
"cherry",3240,24,75
"cherry",3240,31,10
"cherry",3240,32,25
"cherry",3240,33,40
"cherry",3240,34,75
"cherry",3240,61,15
"cherry",3240,62,25
"cherry",3240,63,40
"cherry",3240,81,1500
"cherry",3240,82,2000
"cherry",3240,83,2500
"eru",3250,11,20
"eru",3250,12,50
"eru",3250,13,100
"eru",3250,14,120
"eru",3250,21,15
"eru",3250,22,30
"eru",3250,23,50
"eru",3250,24,75
"eru",3250,31,10
"eru",3250,32,25
"eru",3250,33,40
"eru",3250,34,75
"eru",3250,61,15
"eru",3250,62,25
"eru",3250,63,40
"iyere",3260,11,20
"iyere",3260,12,50
"iyere",3260,13,100
"iyere",3260,14,120
"iyere",3260,21,15
"iyere",3260,22,30
"iyere",3260,23,50
"iyere",3260,24,75
"iyere",3260,31,10
"iyere",3260,32,25
"iyere",3260,33,40
"iyere",3260,34,75
"iyere",3260,61,15
"iyere",3260,62,25
"iyere",3260,63,40
"iyere",3260,81,1500
"iyere",3260,82,2000
"iyere",3260,83,2500
