"zone","state","lga","sector","ea","hhid","qno1","qno2","hhno","tracked_obs"
5,3,326,2,74,30118,2,2,26,0
5,3,326,2,74,30119,2,2,28,0
5,3,326,2,74,30120,2,2,30,0
5,3,305,2,1542,30121,2,2,2,0
5,3,305,2,1542,30122,2,3,,0
5,3,305,2,1542,30123,2,2,5,0
5,3,305,2,1542,30127,2,2,13,0
5,3,305,2,1542,30128,2,2,14,0
5,3,305,2,1542,30130,2,2,11,0
5,3,312,2,20,30131,2,2,1,0
5,3,312,2,20,30134,2,2,9,0
5,3,312,2,20,30137,2,2,22,0
5,3,312,2,20,30138,2,2,27,0
5,3,312,2,20,30139,2,2,30,0
5,3,312,2,20,30140,2,2,37,0
5,3,305,2,4,30141,2,2,1,0
5,3,305,2,4,30143,2,2,3,0
5,3,305,2,4,30144,2,2,4,0
5,3,305,2,4,30145,2,2,5,0
5,3,305,2,4,30146,2,2,6,0
5,3,305,2,4,30148,2,2,8,0
5,3,305,2,4,30149,2,2,9,0
5,32,3222,2,0,30150,,,,1
4,4,414,1,2176,40031,1,1,1,0
4,4,414,1,2176,40033,1,1,18,0
4,4,414,1,2176,40034,1,1,5,0
6,24,2417,1,0,40035,,,,1
4,4,414,1,2176,40037,1,1,8,0
4,4,415,1,2108,40042,1,1,4,0
4,4,415,1,2108,40043,1,1,1,0
4,4,415,2,0,40044,,,,1
4,4,415,1,2108,40045,1,1,9,0
4,4,415,1,2108,40047,1,1,11,0
4,4,415,1,2108,40049,1,1,18,0
4,4,415,1,2108,40050,1,1,21,0
4,4,413,2,1540,40051,2,2,6,0
4,4,413,2,1540,40053,2,2,10,0
4,4,413,2,1540,40054,2,2,4,0
4,4,413,2,1540,40055,2,2,5,0
4,4,413,2,1540,40056,2,2,3,0
4,4,413,2,1540,40058,2,2,7,0
4,4,413,2,1540,40060,2,2,9,0
4,4,405,2,722,40062,,,14,0
4,4,405,2,722,40063,2,2,19,0
4,4,405,2,722,40064,2,2,12,0
4,4,405,2,722,40065,2,2,,0
4,4,405,2,722,40066,2,2,6,0
4,4,405,2,722,40067,2,2,3,0
4,4,405,2,722,40069,2,2,5,0
4,4,405,2,722,40070,2,2,8,0
4,4,405,2,484,40071,2,2,10,0
4,4,405,2,484,40072,2,2,8,0
4,4,405,2,484,40073,2,2,2,0
4,4,405,2,484,40074,2,2,1,0
4,4,405,2,484,40075,2,2,7,0
4,4,405,2,484,40076,2,2,9,0
4,4,405,2,484,40077,2,2,6,0
4,4,405,2,484,40080,2,2,3,0
4,4,419,2,296,40081,2,2,19,0
4,4,419,2,296,40082,2,2,1,0
4,4,419,2,296,40083,2,2,21,0
4,4,419,2,296,40084,2,2,8,0
4,4,419,2,296,40085,2,2,6,0
4,4,419,2,296,40086,2,2,12,0
4,4,419,2,296,40087,2,2,3,0
4,4,419,2,296,40088,2,2,10,0
4,4,419,2,296,40089,2,2,15,0
4,4,419,2,296,40090,2,2,17,0
4,4,401,1,1460,40093,2,2,12,0
4,4,401,1,1460,40094,2,2,9,0
4,4,401,1,1460,40095,2,2,10,0
4,4,401,1,1460,40097,2,2,5,0
4,4,401,1,1460,40099,2,2,1,0
4,4,412,2,2592,40101,1,1,1,0
4,4,412,2,2592,40103,1,1,3,0
4,4,412,2,2592,40104,1,1,6,0
4,4,412,2,2592,40105,1,1,5,0
4,4,412,2,2592,40106,1,1,4,0
4,4,412,2,2592,40107,1,1,7,0
4,4,412,2,2592,40108,1,1,8,0
4,4,412,2,2592,40109,1,1,10,0
4,4,412,2,2592,40110,1,1,9,0
4,4,412,2,1606,40111,1,1,19,0
4,4,412,2,1606,40112,1,1,3,0
4,4,412,2,1606,40113,1,1,6,0
4,4,412,2,1606,40114,1,1,4,0
4,4,412,2,1606,40115,1,1,7,0
4,4,412,2,1606,40116,1,1,9,0
4,4,412,2,1606,40117,1,1,11,0
4,4,412,2,1606,40118,1,1,12,0
4,4,412,2,1606,40120,1,1,22,0
4,4,410,2,4036,40123,1,1,3,0
4,4,410,2,4036,40124,1,1,15,0
4,4,410,2,4036,40125,1,1,5,0
4,4,410,2,4036,40126,1,1,7,0
4,4,410,2,4036,40128,1,1,8,0
4,4,410,2,4036,40129,1,1,10,0
4,4,410,2,4036,40130,1,1,11,0
4,4,407,2,796,40131,1,1,1,0
4,4,407,2,796,40132,2,2,4,2
4,4,407,2,796,40133,1,1,10,0
4,4,407,2,796,40134,2,2,6,0
4,4,407,2,796,40135,2,2,7,0
4,4,407,2,796,40136,2,2,9,0
4,4,407,2,796,40137,2,2,8,0
4,4,407,2,796,40138,2,2,3,0
4,4,407,2,796,40139,2,2,2,0
