"zone","state","lga","sector","ea","hhid","network_cd","s12q2","s12q2b","s12q3","tracked_obs"
2,2,216,2,200,20033,"N1",1,,1,0
2,2,216,2,200,20033,"N2",9,,2,0
2,2,216,2,200,20034,"N1",9,,2,0
2,2,216,2,200,20035,"N1",1,,1,0
2,2,216,2,200,20035,"N2",9,,2,0
2,2,216,2,200,20035,"N3",2,,1,0
2,2,216,2,200,20035,"N4",12,,5,0
2,2,216,2,200,20035,"N5",1,,2,0
2,2,216,2,200,20036,"N1",9,,2,0
2,2,216,2,200,20036,"N2",8,,3,0
2,2,216,2,200,20036,"N3",8,,3,0
2,2,216,2,200,20036,"N4",9,,2,0
2,2,216,2,200,20036,"N5",9,,2,0
2,2,216,2,200,20036,"N6",9,,1,0
2,2,216,2,200,20037,"N1",9,,4,0
2,2,216,2,200,20037,"N2",11,,4,0
2,2,216,2,200,20037,"N3",9,,2,0
2,2,216,2,200,20037,"N4",9,,2,0
2,2,216,2,200,20037,"N5",9,,2,0
2,2,216,2,200,20038,"N1",1,,4,0
2,2,216,2,200,20040,"N1",2,,1,0
2,2,216,2,200,20040,"N2",2,,1,0
2,2,216,2,200,20040,"N3",2,,1,0
2,2,216,2,200,20040,"N4",2,,1,0
2,2,203,2,1224,20041,"N1",12,,5,0
2,2,203,2,1224,20041,"N2",1,,1,0
2,2,203,2,1224,20041,"N3",1,,1,0
2,2,203,2,1224,20041,"N4",1,,1,0
2,2,203,2,1224,20042,"N1",9,,2,0
2,2,203,2,1224,20044,"N1",1,,1,0
2,2,203,2,1224,20044,"N2",9,,2,0
2,2,203,2,1224,20045,"N1",2,,1,0
2,2,203,2,1224,20045,"N2",9,,3,0
2,2,203,2,1224,20045,"N3",9,,2,0
2,2,203,2,1224,20045,"N4",28,,3,0
2,2,203,2,1224,20046,"N1",1,,1,0
2,2,203,2,1224,20046,"N2",9,,2,0
2,2,203,2,1224,20046,"N3",9,,1,0
2,2,203,2,1224,20046,"N4",9,,2,0
2,2,203,2,1224,20046,"N5",2,,1,0
2,2,203,2,1224,20046,"N6",8,,4,0
2,2,203,2,1224,20048,"N1",9,,2,0
2,2,203,2,1224,20048,"N2",8,,1,0
2,2,203,2,1224,20048,"N3",2,,1,0
2,2,203,2,1224,20048,"N4",8,,1,0
2,2,203,2,1224,20048,"N5",9,,2,0
2,2,203,2,1224,20049,"N1",9,,2,0
2,2,203,2,1224,20049,"N2",9,,2,0
2,2,203,2,1224,20050,"N1",9,,2,0
2,2,203,2,1224,20050,"N2",1,,1,0
2,2,212,2,956,20051,"N1",9,,1,0
2,2,212,2,956,20051,"N2",9,,2,0
2,2,212,2,956,20052,"N1",2,,2,0
2,2,212,2,956,20053,"N1",1,,1,0
2,2,212,2,956,20053,"N2",12,,3,0
2,2,212,2,956,20053,"N3",2,,1,0
2,2,212,2,956,20053,"N4",28,,3,0
2,2,212,2,956,20054,"N1",10,,2,0
2,2,212,2,956,20054,"N2",8,,5,0
2,2,212,2,956,20054,"N3",12,,5,0
2,2,212,2,956,20054,"N4",6,,1,0
2,2,212,2,956,20054,"N5",10,,5,0
2,2,212,2,956,20054,"N6",8,,2,0
2,2,212,2,956,20054,"N7",1,,1,0
2,2,212,2,956,20054,"N8",1,,1,0
2,2,212,2,956,20055,"N1",10,,2,0
2,2,212,2,956,20055,"N2",8,,5,0
2,2,212,2,956,20055,"N3",12,,5,0
2,2,212,2,956,20055,"N4",6,,1,0
2,2,212,2,956,20055,"N5",15,,5,0
2,2,212,2,956,20055,"N6",8,,2,0
2,2,212,2,956,20056,"N1",2,,1,0
2,2,212,2,956,20056,"N2",2,,1,0
2,2,212,2,956,20057,"N1",1,,1,0
2,2,212,2,956,20057,"N2",9,,5,0
2,2,212,2,956,20057,"N3",9,,5,0
2,2,212,2,956,20057,"N4",9,,5,0
2,2,212,2,956,20057,"N5",8,,2,0
2,2,212,2,956,20058,"N1",8,,2,0
2,2,212,2,956,20058,"N2",2,,1,0
2,2,212,2,956,20058,"N3",2,,1,0
2,2,212,2,956,20058,"N4",9,,1,0
2,2,212,2,956,20059,"N1",9,,2,0
2,2,212,2,956,20059,"N2",9,,2,0
2,2,212,2,956,20059,"N3",28,,5,0
2,2,212,2,956,20059,"N4",9,,2,0
2,2,212,2,956,20060,"N1",1,,1,0
2,2,212,2,956,20060,"N2",9,,2,0
2,2,212,2,956,20060,"N3",2,,1,0
2,2,212,2,956,20060,"N4",9,,2,0
2,2,212,2,956,20060,"N5",7,,3,0
2,2,212,2,956,20060,"N6",28,,3,0
2,2,210,2,1300,20061,"N1",27,,4,0
2,2,210,2,1300,20062,"N1",2,,2,0
2,2,210,2,1300,20063,"N1",9,,2,0
2,2,210,2,1300,20063,"N2",13,,3,0
2,2,210,2,1300,20063,"N3",25,,5,0
2,2,210,2,1300,20063,"N4",9,,2,0
2,2,210,2,1300,20064,"N1",1,,1,0
2,2,210,2,1300,20065,"N1",2,,1,0
2,2,210,2,1300,20065,"N2",9,,1,0
2,2,210,2,1300,20065,"N3",2,,1,0
2,2,210,2,1300,20066,"N1",2,,1,0
2,2,210,2,1300,20066,"N2",1,,1,0
2,2,210,2,1300,20066,"N3",9,,2,0
2,2,210,2,1300,20067,"N1",1,,1,0
2,2,210,2,1300,20067,"N2",1,,1,0
2,2,210,2,1300,20067,"N3",8,,1,0
2,2,210,2,1300,20068,"N1",3,,1,0
2,2,210,2,1300,20068,"N2",9,,1,0
2,2,210,2,1300,20068,"N3",9,,1,0
2,2,210,2,1300,20069,"N1",9,,1,0
2,2,210,2,1300,20069,"N2",9,,2,0
2,2,210,2,1300,20070,"N1",3,,1,0
2,2,210,2,1300,20070,"N2",9,,1,0
2,2,210,2,1300,20070,"N3",2,,1,0
2,2,210,2,1300,20070,"N4",9,,2,0
2,2,210,2,1300,20070,"N5",28,,3,0
2,2,214,1,898,20072,"N1",2,,1,0
2,2,214,1,898,20072,"N2",3,,2,0
2,2,214,1,898,20072,"N3",4,,2,0
2,2,214,1,898,20073,"N1",12,,3,0
2,2,214,1,898,20073,"N2",2,,3,0
2,2,214,1,898,20074,"N1",13,,3,0
2,2,214,1,898,20074,"N2",12,,5,0
2,2,214,1,898,20074,"N3",1,,4,0
2,2,214,1,898,20074,"N4",15,,5,0
2,2,214,1,898,20075,"N1",9,,2,0
2,2,214,1,898,20075,"N2",9,,2,0
2,2,214,1,898,20077,"N1",12,,5,0
2,2,214,1,898,20077,"N2",2,,3,0
2,2,214,1,898,20077,"N3",12,,3,0
2,2,214,1,898,20077,"N4",28,,3,0
2,2,215,1,8,20081,"N1",14,,1,0
2,2,215,1,8,20081,"N2",27,,1,0
2,2,215,1,8,20081,"N3",26,,1,0
2,2,215,1,8,20081,"N4",28,,1,0
2,2,215,1,8,20082,"N1",4,,3,0
2,2,215,1,8,20083,"N1",4,,5,0
2,2,215,1,8,20083,"N2",12,,5,0
2,2,215,1,8,20083,"N3",1,,4,0
2,2,215,1,8,20083,"N4",5,,3,0
2,2,215,1,8,20085,"N1",8,,3,0
2,2,215,1,8,20086,"N1",9,,2,0
2,2,215,1,8,20086,"N2",9,,2,0
2,2,215,1,8,20086,"N3",9,,2,0
2,2,215,1,8,20086,"N4",9,,2,0
2,2,215,1,8,20087,"N1",12,,3,0
2,2,215,1,8,20087,"N2",8,,3,0
2,2,215,1,8,20087,"N3",8,,3,0
2,2,215,1,8,20087,"N4",28,,3,0
2,2,215,1,8,20088,"N1",1,,3,0
2,2,215,1,8,20088,"N2",13,,3,0
2,2,215,1,8,20088,"N3",8,,4,0
2,2,215,1,8,20088,"N4",12,,5,0
2,2,215,1,8,20089,"N1",1,,1,0
2,2,215,1,8,20089,"N2",2,,1,0
2,2,215,1,8,20089,"N3",4,,1,0
2,2,215,1,8,20089,"N4",12,,2,0
2,2,215,1,8,20090,"N1",12,,3,0
2,2,207,2,1302,20091,"N1",12,,5,0
2,2,207,2,1302,20091,"N2",9,,4,0
2,2,207,2,1302,20091,"N3",12,,5,0
2,2,207,2,1302,20091,"N4",12,,5,0
2,2,207,2,1302,20091,"N5",9,,2,0
2,2,207,2,1302,20091,"N6",12,,5,0
2,2,207,2,1302,20091,"N7",28,,2,0
2,2,207,2,1302,20092,"N1",9,,1,0
2,2,207,2,1302,20092,"N2",9,,1,0
2,2,207,2,1302,20092,"N3",12,,5,0
2,2,207,2,1302,20092,"N4",8,,5,0
2,2,207,2,1302,20093,"N1",9,,2,0
2,2,207,2,1302,20094,"N1",1,,1,0
2,2,207,2,1302,20094,"N2",9,,1,0
2,2,207,2,1302,20095,"N1",2,,1,0
2,2,207,2,1302,20096,"N1",4,,4,0
2,2,207,2,1302,20096,"N2",3,,1,0
2,2,207,2,1302,20096,"N3",2,,1,0
2,2,207,2,1302,20098,"N1",9,,1,0
2,2,207,2,1302,20098,"N2",9,,1,0
2,2,207,2,1302,20098,"N3",9,,1,0
2,2,207,2,1302,20098,"N4",28,,1,0
2,2,207,2,1302,20098,"N5",13,,4,0
2,2,207,2,1302,20098,"N6",2,,1,0
2,2,207,2,1302,20099,"N1",12,,5,0
2,2,207,2,1302,20099,"N2",1,,1,0
2,2,207,2,1302,20099,"N3",12,,5,0
2,2,207,2,1302,20099,"N4",1,,1,0
2,2,207,2,1302,20099,"N5",2,,1,0
2,2,207,2,1302,20099,"N6",1,,1,0
2,2,207,2,1302,20099,"N7",8,,5,0
2,2,207,2,1302,20099,"N8",2,,1,0
2,2,207,2,1302,20100,"N1",2,,1,0
2,2,207,2,1302,20100,"N2",2,,1,0
2,2,207,2,1302,20100,"N3",3,,1,0
2,2,207,2,1302,20100,"N4",9,,2,0
2,2,207,2,1302,20100,"N5",2,,1,0
2,2,207,2,1302,20100,"N6",9,,2,0
2,2,205,2,712,20101,"N1",1,,6,0
2,2,205,2,712,20102,"N1",1,,1,0
2,2,205,2,712,20102,"N2",9,,1,0
2,2,205,2,712,20102,"N3",12,,2,0
2,2,205,2,712,20102,"N4",2,,1,0
2,2,205,2,712,20102,"N5",16,,5,0
2,2,205,2,712,20102,"N6",17,,2,0
2,2,205,2,712,20102,"N7",15,,4,0
2,2,205,2,712,20103,"N1",1,,1,0
2,2,205,2,712,20103,"N2",11,,2,0
2,2,205,2,712,20103,"N3",11,,2,0
2,2,205,2,712,20104,"N1",2,,4,0
2,2,205,2,712,20105,"N1",1,,2,0
2,2,205,2,712,20105,"N2",1,,2,0
2,2,205,2,712,20107,"N1",10,,2,0
2,2,205,2,712,20107,"N2",9,,5,0
2,2,205,2,712,20107,"N3",8,,1,0
2,2,205,2,712,20108,"N1",1,,1,0
2,2,205,2,712,20108,"N2",1,,1,0
2,2,205,2,712,20108,"N3",10,,2,0
2,2,205,2,712,20108,"N4",9,,2,0
2,2,205,2,712,20108,"N5",9,,2,0
2,2,205,2,712,20108,"N6",10,,2,0
2,2,205,2,712,20108,"N7",2,,1,0
2,2,205,2,712,20109,"N1",1,,1,0
2,2,205,2,712,20109,"N2",9,,5,0
2,2,205,2,712,20109,"N3",9,,2,0
2,2,205,2,712,20110,"N1",1,,1,0
2,2,205,2,712,20110,"N2",3,,1,0
2,2,205,2,712,20110,"N3",9,,2,0
2,2,218,2,1592,20111,"N1",9,,2,0
2,2,218,2,1592,20111,"N2",9,,7,0
2,2,218,2,1592,20111,"N3",28,,5,0
2,2,218,2,1592,20112,"N1",7,,2,0
2,2,218,2,1592,20112,"N2",9,,4,0
2,2,218,2,1592,20113,"N1",9,,2,0
2,2,218,2,1592,20113,"N2",3,,2,0
