"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","s11fq1a","s11fq1b","s11fq2","s11fq2b","s11fq3a","s11fq3b","s11fq4a","s11fq4b","s11fq4c","s11fq5","s11fq6","s11fq7","s11fq8","s11fq9","s11fq9b","s11fq10","s11fq11","s11fq11b","s11fq12","tracked_obs"
4,1,107,2,1044,10065,1,1,"CASSAVA",1020,1300,3,4,,3,2012,15,32,3,2,,,,,,,,,,0
4,1,107,2,1044,10065,1,2,"MAIZE",1080,1000,3,4,,3,2012,3,31,1,2,,,,,,,,,,0
4,1,107,2,1044,10065,2,1,"CASSAVA",1020,1000,3,4,,4,2012,12,32,3,2,,,,,,,,,,0
4,1,107,2,1044,10065,2,2,"MAIZE",1080,700,3,4,,4,2012,1,31,1,2,,,,,,,,,,0
4,1,107,2,1044,10065,3,1,"CASSAVA",1020,1150,3,4,,4,2012,14,32,3,2,,,,,,,,,,0
4,1,107,2,1044,10065,3,2,"MAIZE",1080,1000,3,4,,4,2012,3,31,1,2,,,,,,,,,,0
4,1,107,2,1044,10065,3,3,"PUMKIN",2190,50,3,4,,4,2012,8,61,1,2,,,,,,,,,,0
4,1,107,2,1044,10066,1,1,"CASSAVA",1020,600,1,4,,3,2012,200,32,,2,,,,,,,,,,0
4,1,107,2,1044,10066,1,2,"MAIZE",1080,200,3,4,,3,2012,10,26,,2,,,,,,,,,,0
4,1,107,2,1044,10066,1,3,"MELON",1090,100,1,4,,3,2012,3,31,,2,,,,,,,,,,0
4,1,107,2,1044,10066,2,1,"CASSAVA",1020,700,1,4,,3,2012,200,32,,2,,,,,,,,,,0
4,1,107,2,1044,10066,2,2,"MAIZE",1080,200,3,4,,3,2012,10,26,,2,,,,,,,,,,0
4,1,107,2,1044,10066,2,3,"MELON",1090,100,1,4,,3,2012,3,31,,2,,,,,,,,,,0
4,1,107,2,1044,10066,3,1,"CASSAVA",1020,500,1,4,,3,2012,150,32,,2,,,,,,,,,,0
4,1,107,2,1044,10066,3,2,"PUMKIN",2190,50,1,4,,4,2012,20,61,,2,,,,,,,,,,0
4,1,107,2,1044,10067,1,1,"CASSAVA",1020,700,1,1,,4,2012,50,22,,2,,,,,,,,,,0
4,1,107,2,1044,10067,2,1,"CASSAVA",1020,500,1,4,,4,2012,40,22,,2,,,,,,,,,,0
4,1,107,2,1044,10067,2,2,"MAIZE",1080,100,3,4,,3,2012,20,25,,2,,,,,,,,,,0
4,1,107,2,1044,10067,2,3,"PUMKIN",2190,50,1,4,,4,2012,50,61,,2,,,,,,,,,,0
4,1,107,2,1044,10067,3,1,"CASSAVA",1020,600,1,4,,4,2012,44,22,,2,,,,,,,,,,0
4,1,107,2,1044,10067,3,2,"MAIZE",1080,120,3,4,,3,2012,20,25,,2,,,,,,,,,,0
4,1,107,2,1044,10067,3,3,"PUMKIN",2190,60,1,4,,4,2012,30,61,,2,,,,,,,,,,0
4,1,107,2,1044,10067,4,1,"CASSAVA",1020,600,1,1,,4,2012,40,22,,2,,,,,,,,,,0
