"zone","state","lga","sector","ea","hhid","plotid","cropid","cropname","cropcode","s11gq1a","s11gq1b","s11gq2","s11gq3","s11gq4","s11gq5a","s11gq5b","s11gq5c","s11gq5d","s11gq6","s11gq7","s11gq7b","s11gq8a","s11gq8b","tracked_obs"
5,3,312,2,20,30137,1,1,"CASSAVA",1020,24,3,24,1970,0,1,2012,8,2012,2,,,0,,0
5,3,312,2,20,30137,2,1,"CASSAVA",1020,,,,,,,,,,,,,,,0
5,3,312,2,20,30140,1,1,"CASSAVA",1020,17,3,17,2008,5,,,,,2,,,0,,0
5,3,305,2,4,30143,1,1,"CASSAVA",1020,20,3,20,1970,0,1,2012,7,2012,2,,,10000,3,0
5,3,305,2,4,30143,1,2,"PUMKIN",2192,24,3,24,1970,0,1,2012,7,2012,2,,,13000,3,0
5,3,305,2,4,30143,2,1,"CASSAVA",1020,14,3,14,1970,0,1,2012,7,2012,2,,,6000,3,0
5,3,305,2,4,30143,2,2,"YAM",1120,26,3,16,1958,0,1,2012,7,2012,2,,,13000,3,0
5,3,305,2,4,30144,1,1,"CASSAVA",1020,56,3,56,1970,0,1,2012,7,2012,2,,,20000,3,0
4,4,414,1,2176,40034,2,3,"PLANTAIN",2170,3,3,3,2005,0,10,2011,9,2012,2,,,300,42,0
4,4,414,1,2176,40034,2,4,"ORANGE",3170,3,3,3,1999,0,10,2011,9,2012,2,,,200,25,0
4,4,414,1,2176,40034,2,5,"PALM TREE",3180,7,3,7,1970,0,10,2011,9,2012,2,,,2500,91,0
4,4,413,2,1540,40060,1,1,"YAM",1120,0,,,,,,,,,,,,,,0
4,4,413,2,1540,40060,1,2,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,413,2,1540,40060,1,3,"MAIZE",1080,0,,,,,,,,,,,,,,0
4,4,413,2,1540,40060,1,4,"COCOYAM",1040,0,,,,,,,,,,,,,,0
4,4,413,2,1540,40060,1,5,"PUMPKIN SEED",2193,0,,,,,,,,,,,,,,0
4,4,413,2,1540,40060,2,1,"YAM",1120,0,,,,,,,,,,,,,,0
4,4,413,2,1540,40060,2,2,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,413,2,1540,40060,2,3,"MAIZE",1080,0,,,,,,,,,,,,,,0
4,4,413,2,1540,40060,2,4,"COCOYAM",1040,0,,,,,,,,,,,,,,0
4,4,413,2,1540,40060,2,5,"PUMPKIN SEED",2193,0,,,,,,,,,,,,,,0
4,4,405,2,722,40062,1,1,"CASSAVA",1020,0,,,,,,,,,,,,,,0
4,4,405,2,722,40062,1,2,"YAM",1120,0,,,,,,,,,,,,,,0
