"zone","state","lga","sector","ea","hhid","item_cd","s11ic2","s11iq1","s11iq2","s11iq3","s11iq4a","s11iq4b","s11iq5a","s11iq5b","s11iq6","s11iq7","s11iq8","s11iq9","s11iq10","s11iq11","s11iq12a","s11iq12b","s11iq13","s11iq14","s11iq15","s11iq16","s11iq17","s11iq18a","s11iq18b","s11iq19a","s11iq19b","s11iq20","s11iq21a","s11iq21b","s11iq21c","s11iq21d","s11iq22","s11iq23a","s11iq23b","s11iq24a","s11iq24b","s11iq24c"
2,2,203,2,1224,20046,110,,1,10,6000,1,,1,,5,5,0,0,0,,,,0,0,0,0,,,,0,0,2,,,,,0,,,,,
2,2,203,2,1224,20047,106,,1,4,105000,1,,1,,4,0,0,0,0,,,,0,0,0,0,,,,0,0,1,4,0,,,4,"N4",,4,,
2,2,203,2,1224,20047,110,,1,12,6800,1,,1,,8,4,0,0,0,,,,0,0,0,0,,,,3,5,1,2,4,,,10,"N4",,2,,
2,2,203,2,1224,20047,114,,1,20,900,1,,1,,11,9,0,0,0,,,,0,0,0,0,,,,3,7,1,1,10,,,6,"N4",,1,,
2,2,203,2,1224,20048,110,,1,5,5000,1,2,,,7,2,0,0,0,,,,0,0,0,3,,,,0,1,2,,,,,2,,,,,
2,2,203,2,1224,20048,111,,1,2,10000,1,,,,2,0,0,0,0,,,,0,0,0,0,,,,0,,2,,,,,2,,,,,
2,2,203,2,1224,20048,114,,1,14,500,1,,,,35,11,0,0,0,,,,2,1,0,7,,,,0,6,2,,,,,2,,,,,
2,2,203,2,1224,20049,107,,1,2,80000,1,,3,,2,0,0,0,0,,,,0,0,0,0,,,,0,0,1,4,0,,,2,"N4",,4,,
2,2,203,2,1224,20049,110,,1,3,5000,1,,4,,6,3,0,0,0,,,,0,0,0,1,5000,"N3",,0,2,2,,,,,0,,,,,
2,2,203,2,1224,20049,111,,1,2,6000,1,,4,,1,0,0,0,0,,,,0,0,2,0,,,,0,1,2,,,,,0,,,,,
2,2,203,2,1224,20049,114,,1,5,800,1,,3,,15,10,0,0,0,,,,3,0,0,2,1000,"N4",,0,2,2,,,,,0,,,,,
2,2,203,2,1224,20050,114,,1,5,500,1,,1,,19,7,0,0,0,,,,0,0,0,4,3100,"N2",,0,2,2,,,,,0,,,,,
2,2,212,2,956,20051,105,,1,16,38000,1,,1,,,3,,,0,,,,,0,,,,,,,,2,,,,,2,,,,,
2,2,212,2,956,20051,110,,1,20,4000,1,,1,,2,2,,,0,,,,,0,,0,,,,,1,2,,,,,2,,,,,
2,2,212,2,956,20051,111,,1,15,6000,1,,1,,1,1,,,0,,,,,0,,0,,,,,1,2,,,,,2,,,,,
2,2,212,2,956,20051,114,,1,14,5000,1,,1,,2,4,,,0,,,,,0,,0,,,,,3,2,,,,,2,,,,,
2,2,212,2,956,20052,105,,1,40,50000,1,2,3,,46,6,,,0,,,,1,,2,3,150000,"N3",,,,2,,,,,0,,,,,
2,2,212,2,956,20052,106,,1,16,8000,1,1,,,16,,,,0,,,,,0,,0,,,,,,2,,,,,0,,,,,
2,2,212,2,956,20052,110,,1,1,5000,1,,3,,3,2,,,0,,,,0,,,1,6000,"N4",,,,2,,,,,0,,,,,
2,2,212,2,956,20052,111,,1,5,6000,1,,3,,7,2,,,0,,,,0,,2,0,,,,6,,,,,,,0,,,,,
