"zone","state","lga","sector","ea","hhid","item_cd","s11jq1","s11jq2a","s11jq2b","s11jq3a","s11jq3b","s11jq4"
2,5,513,2,348,50051,3,1,2000,,"N1","N2",
2,5,513,2,348,50052,2,1,20000,,"N8",,
2,5,513,2,348,50052,3,1,3000,,"N8",,
2,5,513,2,348,50052,7,1,300,,"N5",,
2,5,513,2,348,50053,2,1,10000,0,"N3",,2
2,5,513,2,348,50054,2,1,500,,"N1",,
2,5,513,2,348,50054,6,1,150,,"N1",,2
2,5,513,2,348,50054,9,1,300,,"N1",,2
2,5,513,2,348,50055,2,1,10000,0,"N4",,2
2,5,513,2,348,50056,2,1,60000,,"N8",,1
2,5,513,2,348,50056,3,1,1900,,"N7",,
2,5,513,2,348,50056,7,1,1000,,"N4",,1
2,5,513,2,348,50057,2,1,12000,,"N2",,2
2,5,513,2,348,50058,2,1,2100,,"N2",,2
2,5,513,2,348,50058,3,1,1500,,"N3",,2
2,5,513,2,348,50059,2,1,3000,0,"N2",,2
2,5,513,2,348,50059,6,1,200,0,"N2",,2
2,5,513,2,348,50060,2,1,2000,,"N2",,2
2,5,514,2,710,50061,3,1,2000,0,"N3",,2
2,5,514,2,710,50062,2,1,6200,,"N6",,1
2,5,514,2,710,50062,3,1,150,,"N5",,2
2,5,514,2,710,50065,2,1,6000,,"N3",,2
2,5,514,2,710,50067,3,1,300,0,"N4",,2
2,5,514,2,710,50068,3,1,300,0,"N2",,2
2,5,514,2,710,50070,2,1,2160,,,,2
2,5,514,2,710,50070,7,1,100,,"N4",,2
2,5,501,2,60,50071,2,1,260,0,"N4",,2
2,5,501,2,60,50072,2,1,11000,,"N2",,2
2,5,501,2,60,50072,3,1,3600,,"N1","N2",2
2,5,501,2,60,50072,5,1,7000,,"N3",,2
2,5,501,2,60,50072,8,1,2400,,"N3",,1
2,5,501,2,60,50073,2,1,600,,"N2",,2
2,5,501,2,60,50073,3,1,2600,,"N3",,2
2,5,501,2,60,50076,2,1,420,0,"N1",,2
2,5,501,2,60,50077,2,1,3000,,"N6",,2
