"zone","state","lga","sector","ea","hhid","prod_cd","s11kc2","s11kq1","s11kq2","s11kq3a","s11kq3b","s11kq3c","s11kq4","s11kq5a","s11kq5b","s11kq5c","s11kq6"
2,5,515,2,18,50024,2,,1,5,50,4,,1,30,4,,210
2,5,515,2,18,50025,2,,1,,50,4,,2,,,,
2,5,515,2,18,50026,2,,1,3,2,5,,2,,,,
2,5,515,2,18,50027,2,,1,30,,2,,1,3,4,,210
2,5,515,2,18,50029,2,,1,1,2,5,,2,,,,
2,5,515,2,18,50030,2,,1,2,2,3,,2,,,,
2,5,504,2,708,50041,2,,1,3,2,5,,2,,,,
2,5,504,2,708,50042,2,,1,3,12,4,,2,,,,
2,5,504,2,708,50048,2,,1,,20,6,,2,,,,
2,5,504,2,708,50049,2,,1,3,15,4,,2,,,,
2,5,513,2,348,50054,1,,1,5,50,1,,2,,,,
2,5,513,2,348,50056,1,,1,3,200,1,,2,,,,
2,5,513,2,348,50059,1,,1,7,100,1,,2,,,,
2,5,513,2,348,50060,1,,1,12,40,1,,1,20,1,,10000
2,5,501,2,60,50080,1,,1,1,80,1,,2,,,,
2,5,516,2,942,50081,2,,1,3,20,4,,2,,,,
2,5,516,2,942,50082,2,,1,12,120,4,,1,40,4,,400
2,5,516,2,942,50085,1,,1,3,600,1,,1,575,1,,3500
2,5,516,2,942,50087,1,,1,,15,1,,2,,,,
2,5,516,2,942,50088,1,,1,3,50,1,,1,30,1,,300
2,5,516,2,942,50088,2,,1,6,7,5,,2,,,,
2,5,508,2,984,50092,1,,1,3,25,1,,2,,,,
2,5,508,2,984,50100,1,,1,3,100,1,,2,,,,
2,5,514,1,2036,50103,2,,1,12,12,4,,2,,,,
2,5,510,1,872,50126,2,,1,3,4,5,,2,,,,
2,5,518,2,1588,50137,1,,1,9,810,1,,1,400,1,,12000
2,5,518,2,1588,50137,2,,1,3,811,5,,1,81,1,,24300
2,5,510,2,1516,50145,2,,1,2,5,5,,2,,,,
2,5,510,2,1516,50147,2,,1,4,1,5,,1,2,5,,480
2,5,520,2,1756,50161,2,,1,,60,4,,2,,,,
2,5,520,2,1756,50162,2,,1,,20,4,,2,,,,
5,6,601,2,640,60048,2,,1,2,480,5,,1,12,5,,9000
1,7,715,2,780,70131,7,,1,10,3000,1,,1,1600,1,,20000
2,8,827,2,804,80107,1,,1,12,100,1,,2,,,,
5,9,915,1,1390,90021,2,,1,1,4,4,,2,,,,
5,9,915,1,1390,90025,2,,1,8,8,4,,2,,,,
5,9,917,1,1254,90032,1,,1,1,8,4,,2,,,,
5,9,917,1,1254,90035,7,,1,12,180,1,,1,150,1,,12000
5,9,910,2,200,90052,2,,1,1,7,4,,2,,,,
5,9,907,2,1446,90062,2,,1,1,8,5,,2,,,,
5,9,907,2,1446,90063,2,,1,,13,5,,2,,,,
5,9,912,2,102,90078,1,,1,1,10,5,,2,,,,
5,9,916,2,1068,90083,2,,1,4,10,5,,2,,,,
5,10,1001,2,172,100020,2,,1,3,7,4,,2,,,,
5,10,1007,1,1166,100023,2,,1,1,5,4,,2,,,,
5,10,1007,1,1166,100024,2,,1,3,10,4,,2,,,,
5,10,1008,2,1718,100043,2,,1,2,12,4,,2,,,,
4,11,1112,2,1952,110012,2,,1,10,10,4,,2,,,,
4,11,1112,2,1952,110014,2,,1,2,12,4,,2,,,,
4,11,1112,2,1952,110016,2,,1,3,12,4,,2,,,,
4,11,1112,2,1952,110017,2,,1,3,10,4,,2,,,,
4,11,1112,2,1952,110018,2,,1,3,18,4,,2,,,,
4,11,1112,2,78,110023,2,,1,1,7,2,,2,,,,
4,11,1112,2,78,110025,2,,1,1,10,4,,2,,,,
