"zone","state","lga","sector","ea","hhid","prod_cd","s11kc2","s11kq1","s11kq2","s11kq3a","s11kq3b","s11kq3c","s11kq4","s11kq5a","s11kq5b","s11kq5c","s11kq6"
2,35,3509,2,2276,350112,1,,1,5,100,1,,1,100,1,,50000
2,35,3509,2,2276,350113,1,,1,10,80,1,,1,50,1,,4000
2,35,3509,2,2276,350114,1,,1,12,3000,1,,1,2500,1,,8000
2,35,3509,2,2276,350115,1,,1,2,200,1,,1,,1,,200
2,35,3509,2,2276,350118,2,,1,2,0,1,,2,,,,
3,36,3605,2,240,360011,1,,1,12,38,1,,1,8,1,,1500
3,36,3605,2,240,360011,2,,1,4,1,4,,2,,,,
3,36,3613,2,1066,360042,1,,1,12,2000,1,,1,1000,1,,2000
3,36,3613,2,1066,360044,1,,1,10,1400,1,,1,400,1,,4000
3,36,3613,2,1066,360045,1,,1,6,50,3,,1,30,3,,2000
3,36,3613,2,1066,360047,1,,1,12,120,1,,1,90,1,,18000
3,36,3613,2,1066,360047,2,,1,1,30,4,,2,,,,
3,36,3613,2,1066,360048,1,,1,12,90,1,,1,70,1,,14000
3,36,3613,2,1066,360048,2,,1,3,150,4,,1,100,4,,1500
3,36,3613,2,1066,360049,1,,1,12,70,1,,1,55,1,,8250
3,36,3613,2,1066,360049,2,,1,3,150,4,,1,120,4,,1800
3,36,3612,1,1474,360074,1,,1,8,20,1,,2,,,,
1,37,3706,1,156,370019,2,,1,6,3,5,,2,,,,
1,37,3706,2,6,370033,2,,1,5,5,4,,2,,,,
