"zone","state","lga","sector","ea","hhid","plotid","cropid","s11eq1","s11eq2","s11eq3","s11eq4","s11eq5","s11eq6a","s11eq6b","s11eq6c","s11eq7","s11eq7b","s11eq8","s11eq9","s11eq10a","s11eq10b","s11eq10c","s11eq11a","s11eq11b","s11eq12","s11eq13","s11eq13b","s11eq14","s11eq15","s11eq16","s11eq17a","s11eq17b","s11eq17c","s11eq18","s11eq19","s11eq19b","s11eq20","s11eq21","s11eq22","s11eq23","s11eq24","s11eq25","s11eq26","s11eq27","s11eq28a","s11eq28b","s11eq28c","s11eq29","s11eq30","s11eq30b","s11eq31","s11eq32","s11eq33","s11eq34","s11eq35"
4,1,106,2,880,10021,4,2,"MAIZE",1080,1,2,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10021,4,3,"CASSAVA",1020,1,1,1020,6,3,"BUNDLE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10021,4,4,"PUMKIN",2193,1,2,,,,,,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10022,1,1,"YAM",1120,1,2,,,,,,,2,,,,,,,,,,1,"N2",1120,40,3,"PIECE",100,3,,3700,1,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10022,1,2,"CASSAVA",1020,1,1,1020,5,2,,1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10022,1,3,"PUMKIN",2193,1,2,,,,,,,2,,,,,,,,,,1,"N3",2193,60,3,"PIECE",100,3,,850,1,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10022,1,4,"MAIZE",1080,1,2,,,,,,,2,,,,,,,,,,1,"N3",1080,1,3,"CUP",0,,,200,1,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10022,2,1,"PINEAPPLE",2160,1,1,2160,2500,3,"STAND",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10022,3,1,"PINEAPPLE",2160,1,1,2160,3000,3,"STAND",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10022,3,2,"OIL PALM TREE",3180,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10023,1,1,"CASSAVA",1020,1,1,1020,6,3,"BUNDLE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10023,1,2,"MAIZE",1080,1,1,1080,2,3,"CUP",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10023,2,1,"PINEAPPLE",2160,1,1,2160,1500,3,"STAND",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10023,3,1,"PINEAPPLE",2160,1,1,2160,3000,3,"STAND",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10023,3,2,"OIL PALM TREE",3180,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10024,1,1,"CASSAVA",1020,1,1,1020,4,3,"BUNDLE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10024,1,2,"MAIZE",1080,1,2,,,,,,,2,,,,,,,,,,1,"N1",1080,4,3,"CUP",0,3,,1500,1,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10024,1,3,"PUNKIN",2190,1,2,,,,,,,2,,,,,,,,,,1,"N1",2190,1,3,"BUNCH",0,3,,300,1,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10024,2,1,"CASSAVA",1020,1,1,1020,5,3,"BUNDLE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10024,2,2,"MAIZE",1080,1,2,,,,,,,2,,,,,,,,,,1,"N1",1080,4,3,"CUP",0,3,,150,1,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10024,3,1,"OIL PALM TREE",3180,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10025,1,1,"CASSAVA",1020,1,1,1020,4,3,"BUNDLE",4,,1,1020,2,3,"BUNDLE","N2",,0,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10025,1,2,"PUMKIN",2190,1,2,,,,,,,1,2190,2,3,"BUNCH","N2",,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10025,1,3,"YAM",1120,1,2,,,,,,,2,,,,,,,,,,1,"N1",1120,20,3,"PIECE",0,3,,1000,1,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10025,2,1,"CASSAVA",1020,1,1,1020,5,3,"BUNDLE",4,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10025,2,2,"MAIZE",1080,1,2,,,,,,,2,,,,,,,,,,1,"N1",1080,10,3,"PIECE",0,3,,300,1,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10025,3,1,"CASSAVA",1020,1,1,1020,3,3,"BUNDLE",4,,1,1020,1,3,"BUNDLE","N2",,0,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10025,3,2,"OIL PALM TREE",3180,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10026,1,1,"CASSAVA",1020,1,1,1020,4,3,"BUNDLE",1,,1,1020,1,3,"BUNDLE","N2",,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10026,1,2,"MAIZE",1080,1,2,,,,,,,2,,,,,,,,,,1,"N1",1080,5,3,"CUP",100,5,,200,1,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10026,2,1,"CASSAVA",1020,1,1,1020,3,3,"BUNDLE",1,,1,1020,1,3,"BUNDLE","N2",,0,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10026,2,2,"MAIZE",1080,1,2,,,,,,,2,,,,,,,,,,1,"N1",1080,5,3,"CUP",100,5,,200,1,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10026,3,1,"CASSAVA",1020,1,1,1020,4,3,"BUNDLE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10026,3,2,"MAIZE",1080,1,2,,,,,,,2,,,,,,,,,,1,"N1",1080,5,3,"CUP",100,5,,200,1,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10026,3,3,"OIL PALM TREE",3180,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10027,1,1,"GARDEN EGG",2080,1,1,2080,1,3,"BOWEL",5,"GOOD YIELD",2,,,,,,,,,,1,"N2",2080,3,3,"BUNCH",400,5,,3000,1,,,,2,,,,,,,,,,,,,
4,1,106,2,880,10027,1,2,"MAIZE",1080,1,1,1080,8,3,"PIECE",5,"GOOD YIELD",2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10027,2,1,"CASSAVA",1020,1,1,1020,6,3,"BUNDLE",5,"GOOD YIELD",2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10027,2,2,"MAIZE",1080,1,2,,,,,,,1,1080,20,3,"COBS","N4",,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10027,3,1,"CASSAVA",1020,1,2,,,,,,,1,1020,10,3,"BUNDLE","N4",,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10027,3,2,"MAIZE",1080,1,2,,,,,,,1,1080,15,3,"COBS","N4",,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10027,4,1,"PINEAPPLE",2160,1,2,,,,,,,1,2160,30,3,"SUCKERS","N5",,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,106,2,880,10029,1,1,"CASSAVA",1020,1,1,1020,10,3,"BUNDLE",1,,2,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
