"zone","state","lga","sector","ea","hhid","plotid","cropid","cropcode","s11gq1a","s11gq1b","s11gq1c","s11gq2","s11gq3","s11gq4","s11gq5a","s11gq5b","s11gq5c","s11gq5d","s11gq6","s11gq7","s11gq7b","s11gq8a","s11gq8b","s11gq8c"
4,4,411,1,1486,40181,1,5,3130,2,3,,2,1960,0,7,2010,9,2010,2,,,1,4,"BASKETS"
4,4,411,1,1486,40181,1,6,3160,2,3,,2,1960,0,2,2010,4,2010,2,,,2,4,"BASKETS"
4,4,411,1,1486,40181,1,7,3180,2,3,,2,1970,0,3,2010,3,2010,2,,,3,2,
4,4,411,1,1486,40182,1,3,2170,8,3,,8,2000,0,7,2010,11,2010,2,,,6,2,
4,4,411,1,1486,40182,1,4,3220,2,3,,2,1979,0,6,2010,10,2010,2,,,4,4,"BASKETS"
4,4,411,1,1486,40182,1,5,3190,1,3,,1,1960,0,5,2010,8,2010,1,8,,2,4,"BAGS"
4,4,411,1,1486,40182,1,6,3050,2,3,,2,1971,0,1,2010,12,2010,2,,,20,3,
4,4,411,1,1486,40182,1,7,3210,2,3,,2,2009,0,8,2010,12,2010,2,,,10,3,
4,4,411,1,1486,40182,1,8,3180,4,3,,4,1976,0,2,2010,3,2010,2,,,9,2,
4,4,411,1,1486,40182,2,2,2170,5,3,,15,2003,0,2,2010,11,2010,2,,,3,2,
4,4,411,1,1486,40182,2,3,3220,1,2,,1,1998,0,6,2010,10,2010,2,,,1,4,"BASKET"
4,4,411,1,1486,40182,2,4,3210,2,3,,2,2008,0,8,2010,12,2010,2,,,5,3,
4,4,411,1,1486,40182,2,5,3050,1,3,,1,1975,0,1,2010,12,2010,2,,,0,,
4,4,411,1,1486,40182,2,6,3180,3,3,,3,1988,0,2,2010,5,2010,2,,,5,2,
4,4,411,1,1486,40184,1,6,3180,4,3,,4,1965,0,2,2010,8,2010,2,,,15,2,
4,4,411,1,1486,40184,1,7,2170,6,3,,6,1990,0,1,2010,9,2010,2,,,10,2,
4,4,411,1,1486,40185,1,4,2170,20,3,,20,1995,0,1,2010,8,2010,2,,,12,3,
4,4,411,1,1486,40185,1,5,3210,3,3,,3,1995,0,2,2010,8,2010,2,,,8,3,
4,4,411,1,1486,40185,1,6,3020,3,3,,3,1995,0,,,,,,,,,,
4,4,411,1,1486,40186,1,2,3160,1,3,,1,1975,0,2,2010,5,2010,2,,,1,3,"BASKETS"
4,4,401,2,2106,40192,1,4,3180,4,3,,4,,0,11,2010,11,2010,2,,,0,,
4,4,401,2,2106,40192,2,2,3180,3,3,,3,,0,11,2010,11,2010,2,,,0,,
4,4,401,2,2106,40194,1,4,3180,2,3,,2,0,0,2,0,,,2,,,3,2,
4,4,401,2,2106,40194,2,4,3180,2,3,,2,0,0,2,0,,,2,,,3,2,
4,4,401,2,2106,40196,2,4,3180,4,3,,4,,0,2,2010,2,2010,2,,,6,2,
4,4,401,2,2106,40196,3,3,3180,5,3,,5,,0,3,2010,3,2010,2,,,7,2,
4,4,401,2,2106,40198,1,5,3180,3,3,,3,0,0,7,2010,8,2010,2,,,9,2,
4,4,402,2,1080,40205,1,2,2110,20,3,,20,1980,0,2,2010,7,2010,2,,,15,2,
4,4,402,2,1080,40205,1,3,3180,1,3,,1,1950,0,3,2010,8,2010,2,,,5,2,
4,4,402,2,1080,40205,1,4,2030,10,3,,10,1980,0,,,5,2010,2,,,3,2,
4,4,402,2,1080,40205,1,5,3210,3,3,,3,1987,0,1,2010,5,2010,2,,,7,3,
4,4,402,2,1080,40205,1,6,3160,1,3,,1,1980,0,,,,,2,,,0,,
4,4,402,2,1080,40206,1,6,3050,1,3,,1,1957,0,,2,8,2010,2,,,6,2,
4,4,402,2,1080,40206,1,7,3050,1,3,,1,1970,0,,10,10,2010,2,,,0,,
4,4,402,2,1080,40206,1,8,2170,12,3,,12,1981,0,,1,9,2010,2,,,15,3,
2,5,506,2,830,50002,4,2,3160,3,3,,1,2000,0,4,2010,6,2010,2,,,5,4,
2,5,506,2,830,50002,4,3,3090,3,3,,1,2000,0,8,2010,9,2010,2,,,,,
2,5,506,2,830,50003,1,1,1082,10,3,,10,2000,0,4,2010,6,2010,2,,,400,1,
2,5,506,2,830,50006,1,1,1070,1,3,,1,2000,0,5,2010,6,2010,1,5,,30,4,
2,5,506,2,830,50007,3,2,2030,244,2,,2,1994,0,11,2010,12,2010,2,,,20,2,
2,5,506,2,830,50007,3,3,3160,600,2,,4,1996,0,3,2010,6,2010,2,,,150,1,
2,5,506,2,830,50008,1,1,3160,3,3,,3,1999,0,4,2010,6,2010,1,11,,1500,1,
2,5,506,2,830,50008,1,2,2030,100,3,,100,2000,0,8,2010,12,2010,1,8,,2000,1,
2,5,515,2,18,50023,1,1,1070,1,3,,1,2003,0,6,,9,,2,,,250,1,
2,5,515,2,18,50023,1,2,1100,2,3,,2,1940,0,6,,,,2,,,10,2,
2,5,515,2,18,50024,1,1,1070,1,3,,1,1999,0,6,2010,7,2010,2,,,15,4,
2,5,515,2,18,50024,1,2,1062,1,3,,1,1990,0,5,2010,5,2010,2,,,10,4,
2,5,514,2,710,50061,1,1,1100,0.0199999995529652,3,,2,1976,0,4,2010,6,2010,2,,,200,1,
2,5,518,2,1588,50131,6,2,2030,60,2,,998,1990,0,1,2010,12,2010,2,,,20000,1,
5,6,606,2,1372,60017,1,1,1020,10,2,,10,2009,0,11,2009,12,2009,2,,,0,,
1,7,705,2,4186,70021,3,1,3170,6300,1,,130,1992,0,6,2010,6,2010,2,,,12000,1,
1,7,705,2,4186,70021,4,1,3170,9000,1,,170,1992,0,6,2010,6,2010,2,,,19200,1,
1,7,705,2,4186,70022,2,1,3170,9980,1,,200,2000,0,2,2010,3,2010,2,,,2800,1,
1,7,705,2,4186,70030,2,2,3170,1,6,,380,2003,0,10,2009,4,2010,1,1,,400,1,
1,7,722,2,234,70032,2,2,3170,4800,2,,201,1986,0,3,2009,3,2010,1,8,,42,2,
1,7,722,2,234,70033,4,1,3170,5321,1,,400,2000,0,11,2009,5,2010,2,,,200,1,
1,7,722,2,234,70035,2,2,3170,9430,1,,400,1995,0,10,2009,5,2010,2,,,2400,1,
1,7,722,2,234,70036,2,2,3170,7000,1,,250,1998,0,1,2010,1,2010,2,,,5000,1,
1,7,722,2,234,70038,3,1,3170,7000,1,,57,1993,0,5,2010,5,2010,2,,,1700,1,
1,7,722,2,234,70040,2,1,3170,4800,1,,47,1986,0,,0,,,2,,,0,,
1,7,722,2,892,70041,4,1,3170,8000,1,,550,2008,0,2,2010,2,2010,2,,,150,1,
1,7,722,2,892,70042,4,1,3170,7000,1,,235,2000,0,1,2010,2,2010,2,,,100,1,
1,7,722,2,892,70044,1,3,3170,1020,1,,80,1998,0,11,2009,3,2010,2,,,120,1,
1,7,722,2,892,70044,2,3,3170,3110,1,,120,2005,0,11,2009,4,2010,2,,,600,1,
1,7,710,2,2726,70052,2,1,3170,2100,1,,25,2004,0,11,2009,5,2010,2,,,600,1,
1,7,710,2,2726,70056,2,2,3170,1600,1,,201,1995,0,12,2010,12,2010,1,8,,22,2,
1,7,711,2,2532,70062,3,3,3170,2850,1,,35,1994,0,12,2009,5,2010,2,,,3000,1,
1,7,717,2,1248,70093,1,1,1120,800,1,,0,,,,,,,2,,,0,,
1,7,717,2,1248,70093,1,2,1123,800,1,,0,,,,,,,2,,,0,,
1,7,717,2,1248,70093,1,3,1020,800,1,,0,,,,,,,2,,,0,,
1,7,717,2,1248,70098,1,1,1120,1000,1,,30,2000,0,1,2010,4,2010,2,,,5,2,
1,7,701,2,606,70102,3,1,1120,200,3,,200,1963,0,8,2009,11,2010,1,4,,24,2,
1,7,701,2,606,70104,3,2,1020,48,3,,48,1984,0,5,2010,11,2010,2,,,5,2,
1,7,701,2,606,70106,2,1,1120,140,7,,200,1920,0,9,2009,11,2010,2,,,34,2,
1,7,701,2,606,70107,2,1,1120,70,7,,100,1972,0,6,2009,10,2010,2,,,30,2,
1,7,701,2,606,70108,3,1,3180,280.100006103516,7,,999,1964,0,9,2009,9,2010,2,,,34,1,
1,7,701,2,606,70110,1,1,1120,18.2000007629395,7,,46,1962,0,4,2009,4,2010,2,,,0,,
1,7,715,2,780,70135,1,1,1020,40,3,,50,1990,5,4,2010,8,,2,,,100,2,
1,7,715,2,780,70140,1,1,1020,40,3,,999,1990,40,5,2010,,,2,,,130,2,
2,8,821,1,5062,80023,1,1,1100,,,,0,,,,,,,2,,,0,,
2,8,811,1,1558,80060,1,1,1070,999,,,,,,,,,,,,,,,
2,8,802,2,1152,80076,1,1,1070,2,,,,,,,,,,,,,,,
2,8,802,2,1152,80076,1,2,1080,2,,,,,,,,,,,,,,,
2,8,802,2,1152,80076,1,3,1010,2,,,,,,,,,,,,,,,
2,8,802,2,1152,80076,1,4,,2,,,,,,,,,,,,,,,
2,8,805,2,46,80095,3,1,1110,1,5,,3,1980,0,1,2009,4,2010,2,,,0,,
2,8,805,2,46,80095,3,2,3160,1,5,,2,1980,0,1,2009,4,2010,2,,,0,,
2,8,827,2,804,80109,1,1,1070,1,5,,100,1990,,1,2009,12,2009,2,,,0,,
2,8,807,2,2396,80125,1,1,1080,12,5,,4,2010,30,1,,,,,,,,,
2,8,807,2,2396,80125,1,2,1010,12,5,,4,2010,25,1,,,,,,,,,
2,8,807,2,2396,80125,1,3,1110,12,5,,4,2010,40,1,,,,,,,,,
2,8,807,2,2396,80125,1,4,1070,12,5,,4,2010,15,1,,,,,,,,,
2,8,807,2,2396,80125,1,5,1060,12,5,,4,2010,20,1,,,,,,,,,
2,8,807,2,1438,80138,1,1,1080,4,5,,30,1968,,4,2010,5,,2,,,50,4,
2,8,807,2,1438,80138,1,2,1070,4,5,,20,1968,,11,2010,12,,2,,,50,4,
2,8,807,2,1438,80140,1,1,1070,1,5,,40,1990,0,4,5,5,2010,1,5,,400,4,
2,8,807,2,1438,80140,1,2,1080,1,5,,50,1990,0,11,1,1,2010,1,5,,700,4,
5,9,903,2,48,90016,1,1,3180,480,3,,480,2000,0,,,,,2,,,0,,
5,9,910,2,200,90056,1,1,1020,2,5,,150,1962,0,9,2009,12,2009,2,,,40,1,
5,9,910,2,200,90057,1,1,1020,1360,3,,136,1962,0,8,2009,12,2009,2,,,15,4,"BAG"
5,9,910,2,200,90058,1,1,1020,2,6,,217,1962,0,9,2009,11,2009,2,,,65,1,
5,9,907,2,1446,90061,1,1,1020,50,3,,50,2006,50,,,,,1,6,,0,,
5,9,907,2,1446,90063,1,1,1120,1500,3,,500,2004,1000,1,2010,8,2010,2,,,3,4,"BASIN"
5,9,907,2,1446,90063,1,2,1020,300,3,,300,2007,100,,,,,2,,,,,
5,9,907,2,1446,90064,4,1,3040,1000,3,,100,1995,0,5,2010,8,2010,2,,,0,,
