"zone","state","lga","sector","ea","hhid","topic_cd","s11lq1","s11lq2","s11lq2b"
2,5,518,2,1588,50135,11,1,14,
2,5,518,2,1588,50140,6,1,11,
5,6,602,2,1356,60005,1,1,1,
5,6,602,2,1356,60005,3,1,1,
1,7,707,2,560,70004,1,1,10,
1,7,707,2,560,70004,2,1,10,
1,7,707,2,560,70004,3,1,10,
2,8,811,1,1558,80051,1,1,1,
2,8,826,2,926,80193,11,1,2,
5,10,1001,2,172,100015,1,1,11,"11"
5,10,1001,2,172,100015,11,1,11,
5,10,1001,2,172,100020,3,1,11,
4,11,1108,2,492,110059,10,1,14,"HIS VENT.DOCTOR"
5,12,1216,2,618,120052,6,1,11,
5,12,1216,2,618,120058,6,1,11,
5,12,1216,2,618,120058,10,1,11,
5,12,1210,2,462,120066,6,1,11,
4,14,1401,2,1116,140001,1,1,1,
4,14,1401,2,1116,140001,6,1,11,
4,14,1401,2,1116,140001,10,1,1,
4,14,1401,2,1116,140002,1,1,1,
4,14,1401,2,1116,140002,5,1,11,
4,14,1401,2,1116,140002,6,1,1,
4,14,1401,2,1116,140003,1,1,1,
4,14,1401,2,1116,140003,5,1,11,
4,14,1401,2,1116,140003,6,1,1,
4,14,1401,2,1116,140003,10,1,1,
4,14,1401,2,1116,140006,10,1,12,
4,14,1401,2,1116,140006,11,1,12,
4,14,1401,2,1116,140007,2,1,12,
4,14,1401,2,1116,140007,10,1,12,
4,14,1401,2,1116,140008,2,1,12,
4,14,1401,2,1116,140008,8,1,12,
4,14,1401,2,1116,140008,10,1,12,
4,14,1407,2,68,140013,1,1,1,
4,14,1407,2,68,140013,5,1,11,
4,14,1407,2,68,140013,6,1,1,
4,14,1407,2,68,140013,10,1,1,
4,14,1407,2,68,140015,3,1,12,
4,14,1407,2,68,140015,10,1,12,
4,14,1407,2,68,140015,11,1,12,
4,14,1407,2,68,140016,1,1,12,
4,14,1407,2,68,140016,2,1,12,
4,14,1407,2,68,140016,3,1,12,
4,14,1407,2,68,140016,8,1,12,
4,14,1408,2,1996,140027,2,1,12,
