"zone","state","lga","sector","ea","hhid","source_cd","s11lc2","s11l2q1","s11l2q2a","s11l2q2b","s11l2q2c","s11l2q2d","s11l2q3","s11l2q4","s11l2q5","s11l2q6","s11l2q7","s11l2q8","s11l2q9"
6,24,2407,2,396,240161,5,,"X",1,,,,3,0,6,6,2,,1
6,24,2407,2,396,240163,1,,"X",1,,,,1,0,0,,2,,1
6,24,2407,2,396,240163,11,,"X",1,,,,3,0,0,,2,,1
6,24,2407,2,396,240164,1,,"X",1,,,,1,0,0,,2,,1
6,24,2407,2,396,240165,1,,"X",1,,,,6,0,10,,2,,1
6,24,2407,2,396,240165,5,,"X",1,,,,20,0,20,,2,,1
6,24,2407,2,396,240166,12,,"X",1,,,,,,,,,,1
6,24,2407,2,396,240167,12,,"X",1,,,,,,,,,,
6,24,2407,2,396,240168,1,,"X",1,,,,0,0,1,,2,,2
6,24,2407,2,396,240168,5,,"X",1,,,,0,0,1,,2,,2
6,24,2407,2,396,240169,1,,"X",1,,,,1,0,0,,2,,1
6,24,2407,2,396,240170,1,,"X",2,,,,0,,0,,,,2
1,25,2508,1,2788,250007,11,,"X",1,,,,0,,3,,2,,2
1,25,2504,2,222,250011,11,,"X",1,,,,0,,2,,2,,1
1,25,2504,2,222,250011,14,,"X",1,,,,0,,2,2,2,,1
1,25,2504,2,222,250014,1,,"X",1,2,,,0,,1,,2,,1
1,25,2509,2,248,250021,11,,"X",1,,,,0,,4,0,2,,1
1,25,2509,2,248,250030,11,,"X",1,,,,10,0,0,,2,,1
1,25,2511,2,1424,250062,4,,"X",1,,,,3,0,0,2,2,,1
1,26,2606,1,516,260008,12,,"X",1,2,,,,,,,,,
1,26,2606,1,516,260010,12,,"X",,1,2,3,0,,,,,,1
1,26,2618,2,1276,260021,12,,"X",1,,,,,,,,,,
1,26,2618,2,1276,260022,1,,"X",,,,,2,,2,,2,,1
1,26,2618,2,1276,260022,2,,"X",,,,,3,,3,,2,,1
1,26,2618,2,1276,260023,1,,"X",1,,,,1,,,,2,,1
1,26,2618,2,1276,260025,1,,"X",1,,,,0,,,,2,,1
1,26,2618,2,494,260032,1,,"X",1,1,,,2,,2,,2,,1
1,26,2618,2,494,260034,1,,"X",1,2,,,1,,,1,2,,2
1,26,2615,2,2196,260051,11,,"X",,,,,,,,,,,1
1,26,2615,2,2196,260051,12,,"X",,1,,,,,,,,,
1,26,2615,2,2196,260052,13,,"X",1,,,,,,,,,,1
1,26,2615,2,2196,260053,12,,"X",1,,,,,,,,,,
1,26,2615,2,2196,260054,12,,"X",1,,,,,,,,,,1
1,26,2615,2,2196,260056,12,,"X",1,,,,,,,,,,1
1,26,2615,2,2196,260057,1,,"X",1,,,,2,2,1,,2,,2
1,26,2615,2,2196,260058,12,,"X",2,,,,,,,,,,2
1,26,2615,2,2196,260060,12,,"X",1,,,,,,,,,,1
1,26,2615,2,2178,260067,12,,"X",1,,,,,,,,,,
1,26,2621,2,100,260071,12,,"X",1,,,,,,,,,,2
1,26,2621,2,100,260072,12,,"X",1,,1,,,,,,,,3
1,26,2621,2,100,260073,13,,"X",1,,,,,,,,,,1
1,26,2621,2,100,260076,13,,"X",,1,,,,,,,,,1
1,26,2621,2,100,260080,12,,"X",,,,,7,,,,1,,1
1,26,2611,2,424,260082,12,,"X",,1,,,,,,,,,1
1,26,2611,2,424,260083,12,,"X",1,,,,,,,,,,1
1,26,2611,2,424,260084,12,,"X",1,,,,,,,,,,1
1,26,2611,2,424,260085,12,,"X",1,,,,,,,,,,1
1,26,2605,2,594,260091,1,,"X",,,,,0,,,2,2,,2
1,26,2605,2,594,260092,1,,"X",1,,,,5,0,0,0,2,,1
1,26,2605,2,594,260092,8,,"X",1,,,,0,,,,2,,1
1,26,2605,2,594,260093,1,,"X",1,,,,3,0,0,3,2,,1
1,26,2605,2,594,260097,8,,"X",1,,,,0,,,2,2,,2
1,26,2605,2,594,260098,1,,"X",1,,,,0,,0,1,2,,1
1,26,2605,2,594,260098,11,,"X",1,,,,0,,0,1,2,,1
1,26,2605,2,594,260099,1,,"X",1,,,,3,,,2,2,,1
1,26,2613,2,2248,260124,1,,"X",1,3,,,10,,,,2,,
1,26,2613,2,2248,260126,1,,"X",1,5,0,,0,,1,1,2,,1
1,26,2613,2,2248,260127,1,,"X",1,,,,2,,,2,2,,1
1,26,2613,2,2248,260128,1,,"X",1,,,,2,,1,2,2,,2
1,26,2613,2,2248,260130,1,,"X",1,,,,1,,,1,2,,2
1,26,2601,2,822,260145,2,,"X",1,,,,1,1,1,,1,1000,1
1,26,2601,2,822,260146,2,,"X",1,,,,2,,2,,1,1000,1
1,26,2613,2,1462,260152,1,,"X",1,,,,3,1,2,2,2,,1
1,26,2613,2,1462,260152,2,,"X",1,,,,3,1,2,2,2,,1
1,26,2613,2,1462,260153,2,,"X",1,,,,4,0,2,2,2,,1
1,26,2613,2,1462,260153,3,,"X",1,,,,4,0,2,2,2,,1
1,26,2613,2,1462,260153,12,,"X",1,,,,0,,0,0,2,,1
1,26,2613,2,1462,260155,1,,"X",1,,,,3,,2,3,2,,1
1,26,2616,2,254,260161,1,,"X",1,,,,,,,,,,
1,26,2616,2,254,260165,1,,"X",1,,,,2,5,1,1,2,,1
1,26,2616,2,254,260166,1,,"X",1,,,,1,1,1,1,1,500,1
1,26,2625,2,926,260174,14,,"X",1,,,,3,3,0,3,1,500,1
6,27,2715,2,752,270023,12,,"X",1,,,,0,,0,,2,,4
6,27,2715,2,752,270026,12,,"X",1,,,,0,,0,0,2,,1
6,27,2703,1,1612,270061,12,,"X",2,4,5,6,0,,0,0,2,,4
6,27,2719,2,100,270082,12,,"X",1,,,,0,,0,0,2,,
6,27,2719,2,100,270086,12,,"X",1,,,,0,,0,0,2,,1
6,27,2719,2,100,270087,12,,"X",1,,,,0,,0,0,2,,4
6,27,2719,2,100,270089,12,,"X",1,,,,0,,0,0,2,,2
6,28,2816,1,2302,280023,1,,"X",2,,,,0,,0,,2,,1
6,28,2816,1,2302,280023,10,,"X",1,,,,0,,0,,2,,1
6,28,2802,2,566,280048,14,"X","X",1,2,,,9,0,0,12,1,4000,1
6,28,2811,2,588,280054,1,,"X",1,,,,1,1,1,1,2,,1
6,28,2811,2,588,280056,12,".","X",,,,,0,,,,,,2
6,28,2811,2,588,280058,12,,"X",1,2,,,0,,,,,,1
6,29,2911,2,1870,290101,1,"X","X",1,,,,0,,3,3,2,,1
6,29,2911,2,1870,290110,2,,"X",1,,,,0,,3,3,2,,1
6,29,2923,2,1126,290114,1,,"X",1,,,,2,0,2,,2,,1
6,29,2923,2,1126,290116,1,"X","X",1,,,,4,0,4,0,2,,1
6,29,2902,1,1028,290135,1,,"X",1,,,,2,0,0,2,2,,4
6,29,2920,1,506,290142,1,"X","X",1,,,,6,0,0,0,1,1000,1
6,29,2920,1,1210,290158,1,"X","X",1,,,,3,0,0,3,2,,1
6,29,2914,1,214,290161,14,,"X",1,,,,0,,0,10,2,,1
6,29,2920,2,1628,290179,2,"X","X",,,,,3,,0,3,2,,1
6,30,3018,2,914,300021,1,,"X",,,,,0,,,,2,,
6,30,3018,2,914,300024,1,,"X",,,,,0,,,,2,,2
6,30,3018,2,914,300024,2,,"X",,,,,0,,,,2,,
6,30,3018,2,914,300024,3,,"X",,,,,0,,,,2,,
6,30,3018,2,914,300024,4,,"X",,,,,0,,,,2,,
6,30,3018,2,914,300028,14,"X","X",1,,,,10,2,0,0,2,,1
6,30,3018,2,914,300030,1,,"X",,,,,0,,,,2,,
6,30,3018,2,914,300030,11,,"X",1,,,,4,0,,,2,,2
6,30,3012,2,334,300032,4,"X","X",1,2,1,,0,,1,,2,,3
6,30,3012,2,334,300033,11,"X","X",1,,,,2,0,0,,2,,4
6,30,3012,2,334,300034,11,"X","X",1,,,,1,0,3,0,2,,4
6,30,3012,2,334,300036,1,,"X",,,,,0,,,,,,
6,30,3014,2,120,300042,5,"X","X",1,,,,0,,8,,2,,1
6,30,3014,2,120,300042,12,"X","X",0,,,,0,,,,2,,1
6,30,3014,2,120,300045,5,"X","X",1,,,,6,1,9,9,2,,1
6,30,3014,2,120,300045,12,"X","X",1,,,,0,,0,0,2,,1
6,30,3014,2,120,300049,14,"X","X",2,1,,,0,,2,1,1,10000,4
6,30,3014,2,120,300050,5,"X","X",1,,,,2,11,18,,2,,1
6,30,3014,2,120,300050,12,"X","X",1,2,,,0,,0,,2,,4
6,30,3005,1,2942,300098,2,"X","X",1,2,,,6,1,10,12,2,,1
6,30,3005,1,2942,300098,9,"X","X",1,2,,,1,1,3,4,2,,1
6,30,3005,1,2942,300098,12,"X","X",0,0,,,2,,,,2,,1
6,30,3020,1,322,300129,2,"X","X",1,0,0,0,0,,2,,1,5000,1
6,30,3020,1,322,300129,12,"X","X",1,,,,0,,,,2,,1
6,30,3030,1,946,300151,1,,"X",1,,,,0,,3,3,2,,4
1,31,3101,2,604,310014,8,,"X",1,,,,0,,3,,,0,1
1,31,3101,2,604,310017,1,,"X",,,,,0,,,,2,,
1,31,3101,2,604,310017,2,,"X",1,,,,1,1,0,,2,,1
1,31,3101,2,604,310017,14,,"X",,,,,,,,,2,,
1,31,3101,2,604,310019,1,,"X",1,,,,1,0,0,,2,,4
1,31,3101,2,604,310020,11,,"X",1,2,,,2,0,0,,2,,1
1,31,3115,2,680,310022,11,,"X",1,,,,10,0,0,,2,,1
1,31,3107,2,1092,310045,10,,"X",1,,,,2,0,0,,2,,3
1,31,3109,2,1026,310075,1,,"X",1,,,,3,0,0,,2,,1
1,31,3112,2,350,310081,14,"FULANI","X",1,,,,2,0,0,0,2,,1
1,31,3112,2,350,310090,10,,"X",1,,,,1,0,0,,2,,3
1,31,3116,2,1344,310093,14,,"X",1,,,,2,2,0,0,2,,1
1,31,3103,2,874,310101,10,,"X",1,,,,2,2,0,,2,,1
5,32,3223,2,578,320031,11,,"X",1,,,,0,,,,2,,1
5,32,3223,2,578,320032,11,,"X",1,,,,0,,,,2,,1
5,32,3223,2,578,320033,12,,"X",1,2,,,0,,,,2,,1
5,32,3223,2,578,320034,12,,"X",1,2,,,0,,,,2,,1
5,32,3209,1,1208,320043,12,,"X",,,,,0,,0,0,2,,1
5,32,3209,1,1208,320048,10,,"X",,,,,,,,,2,,
5,32,3223,2,390,320156,1,,"X",1,2,,,0,,,,2,,
5,32,3223,2,390,320156,12,,"X",1,2,,,0,,,,2,,
5,32,3221,2,132,320169,11,,"X",,,,,0,,0,,2,,
5,32,3210,2,1692,320179,11,,"X",1,2,,,0,,0,,2,,1
5,32,3210,2,1692,320179,12,,"X",1,2,,,0,,0,,2,,2
5,32,3213,2,128,320181,11,,"X",1,2,,,0,,,0,2,,1
5,32,3213,2,128,320181,12,,"X",1,2,,,0,,,0,2,,1
5,32,3213,2,128,320182,11,,"X",1,2,,,0,0,0,0,2,,1
5,32,3213,2,128,320182,12,,"X",1,2,,,0,,0,0,2,,
5,32,3212,2,314,320195,11,,"X",1,2,,,0,,0,,2,,1
5,32,3212,2,314,320195,12,,"X",1,2,,,0,,0,,2,,
3,33,3321,1,1182,330002,11,,"X",1,,,,0,0,3,,2,,1
3,33,3321,1,1182,330002,12,,"X",1,,,,0,,,,2,,1
3,33,3321,1,1182,330005,11,,"X",1,,,,0,,1,,2,,2
3,33,3321,1,1182,330005,12,,"X",1,,,,0,,,,2,,2
3,33,3321,1,1182,330006,1,,"X",1,,,,0,,1,,2,,1
3,33,3321,1,1182,330006,11,,"X",1,3,,,0,,,,2,,2
3,33,3321,1,1182,330006,12,,"X",1,3,,,0,,,,2,,2
3,33,3321,1,1182,330007,1,,"X",1,,,,2,0,,,2,,
3,33,3321,1,1182,330007,11,,"X",1,,,,2,0,1,,2,,1
3,33,3321,1,1182,330008,11,,"X",1,,,,2,0,1,,2,,1
3,33,3321,1,1182,330008,12,,"X",1,,,,0,,0,0,2,,1
3,33,3321,1,1182,330008,13,,"X",,,,,0,,,,2,,
3,33,3321,1,1182,330008,14,,"X",,,,,0,,,,2,,
3,33,3321,1,1182,330009,11,,"X",1,,,,0,,2,,2,,1
3,33,3321,1,1182,330009,12,,"X",1,,,,0,,,,,,1
3,33,3321,1,1182,330009,13,,"X",1,,,,0,,,,,,1
3,33,3321,1,1182,330010,11,,"X",1,,,,0,,4,,1,0,1
3,33,3321,1,1182,330010,12,,"X",1,,,,0,,,,1,,1
3,33,3311,1,702,330011,1,,"X",1,,,,2,0,0,,2,,1
3,33,3311,1,702,330011,11,,"X",1,,,,2,0,1,,2,,1
3,33,3311,1,702,330011,12,,"X",1,,,,,,,,,,1
3,33,3311,1,702,330012,5,,"X",1,,,,1,0,0,,2,,2
3,33,3311,1,702,330012,10,,"X",1,,,,2,0,0,,2,,1
3,33,3311,1,702,330012,11,,"X",1,,,,4,0,0,,2,,1
3,33,3311,1,702,330013,1,,"X",1,,,,1,0,2,,2,,1
3,33,3311,1,702,330013,10,,"X",1,,,,0,,1,,2,,1
3,33,3311,1,702,330013,11,,"X",1,,,,0,,2,,2,,1
3,33,3311,1,702,330014,1,,"X",1,,,,3,0,1,,2,,1
3,33,3311,1,702,330014,11,,"X",1,,,,1,0,1,,2,,
3,33,3311,1,702,330015,11,,"X",1,,,,2,0,1,,2,,1
3,33,3311,1,702,330015,12,,"X",1,,,,,,,,,,1
3,33,3311,1,702,330016,1,,"X",1,,,,3,0,1,,2,,1
3,33,3311,1,702,330016,11,,"X",1,,,,4,0,4,,2,,1
3,33,3311,1,702,330016,12,,"X",1,,,,,,,,,,1
3,33,3311,1,702,330017,11,,"X",1,,,,1,0,1,,2,,1
3,33,3311,1,702,330017,12,,"X",1,,,,,,,,,,1
3,33,3311,1,702,330018,10,,"X",1,,,,,,1,,2,,1
3,33,3311,1,702,330018,11,,"X",1,,,,,,2,,2,,1
3,33,3311,1,702,330019,11,,"X",1,2,,,0,,0,,2,,1
3,33,3311,1,702,330020,11,,"X",1,,,,2,0,0,,2,,1
3,33,3311,1,702,330020,12,,"X",1,,,,,,,,,,1
3,33,3310,2,476,330021,10,,"X",1,3,,,4,0,1,,2,,1
3,33,3310,2,476,330021,11,,"X",1,3,,,4,0,1,,2,,1
3,33,3310,2,476,330022,11,,"X",1,,,,0,,1,,2,,2
3,33,3310,2,476,330023,11,,"X",1,,,,0,,,,2,,1
3,33,3310,2,476,330023,12,,"X",1,,,,0,,,,2,,1
3,33,3310,2,476,330024,1,,"X",1,,,,7,0,,,2,,1
3,33,3310,2,476,330024,11,,"X",1,,,,10,,2,,2,,1
3,33,3310,2,476,330024,12,,"X",1,,,,,,,,,,1
3,33,3310,2,476,330025,11,,"X",,,,,2,0,1,,2,,1
3,33,3310,2,476,330025,12,,"X",,,,,,,,,,,1
3,33,3310,2,476,330026,11,,"X",1,,,,10,0,2,,2,,1
3,33,3310,2,476,330026,12,,"X",1,,,,,,,,,,1
3,33,3310,2,476,330028,11,,"X",1,,,,1,0,1,,2,,1
3,33,3310,2,476,330028,12,,"X",1,,,,,,,,,,1
3,33,3310,2,476,330029,11,,"X",1,,,,1,0,0,,,,1
3,33,3310,2,476,330029,12,,"X",1,,,,,,,,,,1
3,33,3310,2,476,330030,1,,"X",1,,,,6,,0,,2,,1
3,33,3310,2,476,330030,11,,"X",1,,,,10,,2,,2,,1
3,33,3310,2,476,330030,12,,"X",1,,,,,,,,,,1
3,33,3323,2,92,330031,11,,"X",1,,,,4,,2,,2,,1
3,33,3323,2,92,330031,12,,"X",1,,,,,,,,,,1
3,33,3323,2,92,330032,11,,"X",1,,,,2,0,2,,2,,1
3,33,3323,2,92,330032,12,,"X",1,,,,,,,,,,1
3,33,3323,2,92,330033,11,,"X",1,,,,3,0,0,,,,1
3,33,3323,2,92,330033,12,,"X",1,,,,,,,,,,1
3,33,3323,2,92,330034,2,,"X",1,,,,2,,,,2,,1
3,33,3323,2,92,330034,12,,"X",1,2,3,,,,,,,,2
3,33,3323,2,92,330035,11,,"X",1,,,,10,,7,,2,,1
3,33,3323,2,92,330035,12,,"X",1,,,,,,,,,,1
3,33,3323,2,92,330036,1,,"X",1,,,,3,0,0,,2,,1
3,33,3323,2,92,330036,11,,"X",1,,,,6,,,,2,,1
3,33,3323,2,92,330036,13,,"X",1,,,,,,,,,,1
3,33,3323,2,92,330037,11,,"X",1,,,,1,,1,,2,,1
3,33,3323,2,92,330037,12,,"X",1,,,,,,,,,,1
3,33,3323,2,92,330038,1,,"X",1,,,,3,,1,,2,,2
3,33,3323,2,92,330038,11,,"X",1,,,,3,,1,,2,,1
3,33,3323,2,92,330040,10,,"X",1,,,,3,,3,,2,,1
3,33,3323,2,92,330040,11,,"X",1,,,,3,,3,,2,,1
3,33,3318,2,30,330041,11,,"X",1,,,,2,0,2,,2,,1
3,33,3318,2,30,330041,12,,"X",1,,,,,,,,,,1
3,33,3318,2,30,330042,11,,"X",1,,,,6,0,2,,2,,1
3,33,3318,2,30,330042,12,,"X",1,,,,,,,,,,1
3,33,3318,2,30,330043,11,,"X",1,,,,10,,2,,2,,1
3,33,3318,2,30,330043,12,,"X",1,,,,,,,,,,1
3,33,3318,2,30,330044,11,,"X",1,,,,0,,0,,2,,
3,33,3318,2,30,330045,12,,"X",1,,,,,,,,,,1
3,33,3318,2,30,330046,11,,"X",1,,,,2,,1,,2,,1
3,33,3318,2,30,330046,12,,"X",1,,,,,,,,,,1
3,33,3318,2,30,330047,11,,"X",1,,,,3,,1,,,,1
3,33,3318,2,30,330047,12,,"X",1,,,,,,,,,,1
3,33,3318,2,30,330048,11,,"X",1,,,,1,,2,,2,,1
3,33,3318,2,30,330048,12,,"X",1,,,,,,,,,,1
3,33,3318,2,30,330049,11,,"X",1,,,,0,,2,,2,,1
3,33,3318,2,30,330049,12,,"X",1,,,,,,,,,,1
3,33,3318,2,30,330050,11,,"X",1,,,,2,0,0,,2,,1
3,33,3318,2,30,330050,12,,"X",1,,,,,,,,,,1
3,33,3313,2,930,330051,1,,"X",1,,,,13,0,1,,2,,1
3,33,3313,2,930,330051,11,,"X",1,,,,10,0,3,,2,,1
3,33,3313,2,930,330051,12,,"X",1,,,,,,,,,,1
3,33,3313,2,930,330052,11,,"X",1,,,,3,,2,,2,,1
3,33,3313,2,930,330052,12,,"X",1,,,,,,,,,,1
3,33,3313,2,930,330053,11,,"X",1,,,,1,0,2,,2,,1
3,33,3313,2,930,330053,12,,"X",1,,,,,,,,,,1
3,33,3313,2,930,330055,11,,"X",1,,,,,,3,,2,,1
3,33,3313,2,930,330055,12,,"X",1,2,,,,,,,,,1
3,33,3313,2,930,330056,11,,"X",1,,,,,,2,,2,,1
3,33,3313,2,930,330056,12,,"X",1,,,,,,,,,,1
3,33,3313,2,930,330057,11,,"X",1,,,,2,0,2,,,,1
3,33,3313,2,930,330057,12,,"X",1,,,,,,,,,,1
3,33,3313,2,930,330058,11,,"X",1,,,,,,,,,,1
3,33,3313,2,930,330058,12,,"X",1,,,,1,0,2,,,,1
3,33,3313,2,930,330059,11,,"X",1,,,,2,,1,,,,1
3,33,3313,2,930,330059,12,,"X",1,,,,,,,,,,1
3,33,3313,2,930,330060,1,,"X",1,,,,4,0,0,,2,,1
3,33,3313,2,930,330060,11,,"X",1,,,,20,0,4,,2,,1
3,33,3313,2,930,330060,12,,"X",1,,,,,,,,,,1
3,33,3304,2,418,330061,11,,"X",1,,,,2,,3,,2,,1
3,33,3304,2,418,330061,12,,"X",1,,,,,,,,,,1
3,33,3304,2,418,330062,11,,"X",1,,,,,,2,,2,,2
3,33,3304,2,418,330062,12,,"X",1,,,,,,,,,,1
3,33,3304,2,418,330063,11,,"X",1,,,,,,,,,,
3,33,3304,2,418,330063,12,,"X",1,,,,1,,3,,2,,1
3,33,3304,2,418,330063,13,,"X",,,,,,,,,,,1
3,33,3304,2,418,330064,11,,"X",1,,,,7,0,2,,2,,1
3,33,3304,2,418,330064,12,,"X",1,,,,,,,,,,1
3,33,3304,2,418,330065,11,,"X",1,,,,3,,2,,2,,1
3,33,3304,2,418,330065,12,,"X",1,,,,,,,,,,1
3,33,3304,2,418,330066,11,,"X",1,,,,10,,3,,2,,1
3,33,3304,2,418,330066,12,,"X",1,,,,,,,,,,1
3,33,3304,2,418,330067,11,,"X",1,,,,0,,2,,2,,1
3,33,3304,2,418,330067,12,,"X",1,,,,,,,,,,1
3,33,3304,2,418,330068,11,,"X",1,4,6,,1,0,3,,2,,1
3,33,3304,2,418,330068,12,,"X",1,4,,,,,,,,,1
3,33,3304,2,418,330069,11,,"X",1,,,,12,0,4,,2,,1
3,33,3304,2,418,330069,12,,"X",1,,,,,,,,,,1
3,33,3304,2,418,330070,11,,"X",1,,,,8,0,2,,2,,1
3,33,3304,2,418,330070,12,,"X",1,,,,,,,,,,1
3,33,3307,2,688,330071,11,,"X",1,3,,,0,,2,,2,,1
3,33,3307,2,688,330071,12,,"X",1,3,,,,,,,,,1
3,33,3307,2,688,330072,2,,"X",1,,,,0,,1,,2,,1
3,33,3307,2,688,330072,11,,"X",1,,,,0,,3,,2,,1
3,33,3307,2,688,330072,12,,"X",1,,,,,,,,,,2
3,33,3307,2,688,330073,11,,"X",1,,,,2,,2,,2,,1
3,33,3307,2,688,330073,12,,"X",1,,,,,,,,,,1
3,33,3307,2,688,330074,1,,"X",1,,,,,,2,,2,,2
3,33,3307,2,688,330074,11,,"X",1,,,,0,,4,,2,,1
3,33,3307,2,688,330075,11,,"X",1,,,,2,,,,2,,1
3,33,3307,2,688,330075,12,,"X",1,,,,,,,,,,1
3,33,3307,2,688,330076,11,,"X",1,,,,9,0,2,,2,,1
3,33,3307,2,688,330076,12,,"X",1,,,,,,,,,,1
3,33,3307,2,688,330077,11,,"X",1,,,,2,,,,2,,1
3,33,3307,2,688,330077,12,,"X",1,,,,,,,,,,1
3,33,3307,2,688,330078,11,,"X",1,,,,20,0,3,,2,,1
3,33,3307,2,688,330078,12,,"X",1,,,,,,,,,,1
3,33,3307,2,688,330079,11,,"X",5,1,,,0,,1,,2,,1
3,33,3307,2,688,330079,12,,"X",5,1,,,,,,,,,2
3,33,3307,2,688,330080,11,,"X",1,,,,12,,2,,2,,1
3,33,3307,2,688,330080,12,,"X",1,,,,,,,,,,1
2,34,3401,2,526,340002,11,,"X",1,,,,0,0,2,,1,100,1
2,34,3401,2,526,340009,11,,"X",1,,,,1,1,1,,2,,1
2,34,3401,2,526,340010,1,,"X",1,,,,2,2,2,,2,,2
2,35,3507,2,746,350011,1,,"X",1,,,,0,0,0,,,,
2,35,3507,2,746,350017,14,"X","X",1,2,13,,0,,,10,2,,1
2,35,3507,2,746,350018,1,"x","X",1,,,,1,1,0,,,,
3,36,3607,1,2596,360001,1,"X","X",1,,,,2,0,0,1,2,,1
3,36,3607,1,2596,360001,11,"X","X",1,,,,2,0,0,1,2,,1
3,36,3607,1,2596,360003,11,"X","X",1,,,,0,,2,,2,,1
3,36,3607,1,2596,360009,1,"X","X",1,,,,0,,2,0,2,,1
3,36,3607,1,2596,360009,5,"X","X",1,,,,0,,2,0,2,,1
3,36,3607,1,2596,360009,11,"X","X",1,,,,0,,2,0,2,,1
3,36,3605,2,240,360011,1,"X","X",1,,,,4,0,0,,2,,1
3,36,3605,2,240,360011,11,"X","X",1,,,,10,0,4,,2,,1
3,36,3605,2,240,360012,1,"X","X",1,,,,2,0,0,,2,,1
3,36,3605,2,240,360012,11,,"X",1,,,,4,0,0,,2,,1
3,36,3605,2,240,360013,5,"X","X",1,,,,1,0,0,,2,,1
3,36,3605,2,240,360014,14,"X","X",1,0,0,0,1,0,1,2,2,,1
3,36,3605,2,240,360017,1,"X","X",1,,,,1,0,0,1,2,,1
3,36,3605,2,240,360018,5,"X","X",1,,,,0,,1,,2,,2
3,36,3605,2,240,360019,11,"X","X",1,,,,0,,0,0,2,,1
3,36,3605,2,240,360020,11,"X","X",1,,,,0,,1,2,2,,1
3,36,3603,2,978,360021,11,"X","X",1,,,,2,0,2,2,2,,1
3,36,3603,2,978,360023,11,"X","X",,,,,1,0,1,,2,,1
3,36,3603,2,978,360025,11,"X","X",1,,,,0,,0,,2,,1
3,36,3603,2,978,360028,5,"X","X",1,,,,0,,0,0,2,,2
3,36,3603,2,978,360029,2,"X","X",1,,,,0,,2,2,2,,3
3,36,3603,2,978,360029,11,"X","X",1,,,,0,,2,2,2,,3
3,36,3603,2,978,360030,11,"X","X",1,,,,0,,0,1,2,,1
3,36,3608,2,2078,360033,11,"X","X",1,,,,0,,0,,2,,1
3,36,3608,2,2078,360034,1,"X","X",1,,,,0,,1,,2,,1
3,36,3608,2,2078,360034,11,"X","X",1,,,,0,,1,,2,,1
3,36,3613,2,1066,360044,1,"X","X",1,3,4,,0,,0,0,2,,1
3,36,3613,2,1066,360047,11,"X","X",1,,,,0,,0,,2,,1
3,36,3613,2,1066,360048,11,"X","X",1,,,,0,,0,,2,,1
3,36,3613,2,1066,360048,12,"X","X",1,3,,,,,,,,,
3,36,3613,2,1066,360049,11,"X","X",1,,,,0,,0,,2,,1
3,36,3610,2,1826,360057,1,"X","X",1,,,,0,,0,0,2,,1
3,36,3610,2,1826,360057,5,"X","X",1,,,,0,,0,0,2,,1
3,36,3610,2,1826,360057,11,"X","X",1,,,,0,,0,1,2,,1
3,36,3610,2,1826,360059,11,"X","X",1,,,,0,,0,,2,,1
3,36,3601,2,1214,360063,1,"X","X",1,,,,0,,0,0,2,,1
3,36,3601,2,1214,360063,5,"X","X",1,,,,0,,0,0,2,,1
3,36,3601,2,1214,360063,8,"X","X",1,,,,0,,0,0,2,,1
3,36,3601,2,1214,360064,14,"X","X",1,,,,1,0,1,0,2,,1
3,36,3601,2,1214,360068,1,"X","X",1,,,,0,,0,0,2,,1
3,36,3601,2,1214,360068,5,"X","X",1,,,,0,,0,0,2,,1
3,36,3601,2,1214,360068,8,"X","X",1,,,,0,,0,0,2,,1
3,36,3601,2,1214,360070,11,"X","X",1,,,,0,,2,,2,,1
3,36,3606,2,1956,360088,1,"X","X",1,,,,0,,0,2,2,,1
3,36,3606,2,1956,360088,5,"X","X",1,,,,0,,0,2,2,,1
3,36,3606,2,1956,360088,8,"X","X",1,,,,0,,0,1,2,,1
