"zone","state","lga","sector","ea","hhid","source_cd","s11lc2","s11l2q1","s11l2q2a","s11l2q2b","s11l2q2c","s11l2q2d","s11l2q3","s11l2q4","s11l2q5","s11l2q6","s11l2q7","s11l2q8","s11l2q9"
4,14,1415,2,952,140045,12,"X","X",1,2,3,,0,,,,2,,3
4,14,1415,2,952,140049,1,"X","X",1,,,,1,,0,,2,,1
4,14,1415,2,952,140049,11,"X","X",1,,,,1,,0,,2,,1
4,14,1415,2,952,140050,1,"X","X",1,,,,1,,,,2,,1
4,14,1415,2,952,140050,11,"X","X",1,,,,2,,,,2,,2
4,14,1406,2,694,140067,12,"X","X",1,,,,0,,,,2,,3
4,14,1406,2,694,140068,12,"X","X",,1,,,0,,0,,2,,2
4,14,1406,2,694,140069,1,"X","X",1,,,,,,,,2,,1
4,14,1406,2,694,140069,11,"X","X",1,,,,0,,0,,2,,1
4,14,1406,2,694,140070,1,"X","X",1,,,,1,,,,2,,1
4,14,1406,2,694,140070,11,"X","X",1,,,,1,,,,2,,2
4,14,1413,2,670,140073,12,"X","X",1,,,,0,,,,2,,3
4,14,1413,2,670,140076,1,"X","X",1,,,,1,,,,2,,1
4,14,1413,2,670,140076,11,"X","X",1,,,,1,,,,2,,2
4,14,1413,2,670,140077,1,"X","X",1,,,,1,,,,2,,1
4,14,1413,2,670,140077,11,"X","X",1,,,,1,,,,2,,2
4,14,1413,2,670,140078,1,"X","X",1,,,,0,,,,2,,1
4,14,1413,2,670,140078,11,"X","X",1,,,,0,,,,2,,1
4,14,1410,2,236,140087,12,"X","X",1,,,,0,,,,2,,4
4,14,1410,2,236,140088,12,"X","X",1,,,,0,,,,2,,3
4,14,1410,2,236,140089,11,"X","X",1,,,,2,1,,,2,,1
4,14,1410,2,236,140090,1,"X","X",1,,,,1,0,,,2,,1
4,14,1410,2,236,140090,11,"X","X",1,,,,2,1,,,2,,2
4,14,1408,2,968,140101,11,"X","X",1,,,,1,1,,,2,,1
4,14,1408,2,968,140102,11,"X","X",1,,,,2,1,,,2,,1
4,14,1408,2,968,140103,11,"X","X",1,,,,1,,,,2,,1
4,14,1408,2,968,140104,12,"X","X",1,,,,0,,,,2,,2
4,14,1408,2,968,140105,12,"X","X",1,,,,0,,,,2,,3
4,14,1408,2,968,140106,12,"X","X",1,,,,0,,,,2,,3
4,14,1411,2,1066,140117,12,"X","X",1,,,,0,,,,2,,2
4,14,1411,2,1066,140118,12,"X","X",1,,,,0,,0,,2,,2
4,14,1411,2,1066,140119,1,"X","X",1,,,,1,,,,2,,1
