"zone","state","lga","sector","ea","hhid","plotid","cropid","cropcode","s11fq1a","s11fq1b","s11fq1c","s11fq2","s11fq2b","s11fq3a","s11fq3b","s11fq4a","s11fq4b","s11fq4c","s11fq4d"
4,1,106,2,880,10030,1,1,1121,2000,1,,4,,3,2010,500,3,,
4,1,106,2,880,10030,1,2,1020,,3,,4,,3,2010,3000,3,,
4,1,106,2,880,10030,1,3,1090,,1,,4,,3,2010,300,4,"CUP",2
4,1,106,2,880,10030,2,1,1121,2500,1,,4,,4,2010,300,3,,
4,1,106,2,880,10030,2,2,1020,,3,,4,,4,2010,2500,3,,
4,1,106,2,880,10030,2,3,2030,,3,,4,,4,2010,6,4,"SOCKER",
4,1,111,1,1146,10034,1,1,1121,20,1,,4,,4,2010,40,3,,
4,1,111,1,1146,10034,1,2,1080,60,3,,4,,4,2010,6,4,"BASIN",2
4,1,111,1,1146,10034,1,3,2193,65,3,,4,,4,2010,4,4,"BUNDLE",
4,1,111,1,1146,10034,1,4,3160,,,,,,,,,,,
4,1,111,1,1146,10034,1,5,3050,,,,,,,,,,,
4,1,111,1,1146,10039,1,1,1020,70,1,,4,,3,2010,25,1,,1
4,1,111,1,1146,10039,1,2,1080,30,3,,4,,3,2010,30,3,,1
4,1,107,2,1044,10061,1,1,2080,2300,3,,4,,4,2010,3650,1,,1
4,1,107,2,1044,10061,1,2,2140,300,3,,4,,4,2010,300,3,,1
4,1,107,2,1044,10061,2,1,1020,4000,1,,4,,3,2010,200,1,,1
4,1,107,2,1044,10061,2,2,1080,120,3,,4,,3,2010,120,3,,1
4,1,107,2,1044,10061,3,1,1020,2250,1,,4,,3,2010,1125,1,,1
4,1,107,2,1044,10061,3,2,1080,150,3,,4,,3,2010,150,3,,1
4,1,107,2,1044,10062,1,1,1020,620,3,,4,,3,2010,10,4,"BAG",
4,1,107,2,1044,10062,1,2,1080,,3,,4,,3,2010,200,3,,
4,1,107,2,1044,10062,2,1,1020,740,3,,4,,4,2010,15,4,"BAG",
4,1,107,2,1044,10062,2,2,1120,,1,,4,,4,2010,60,3,,
4,1,107,2,1044,10062,3,1,1020,950,3,,1,,5,2010,20,4,"BAG",
4,1,107,2,1044,10062,4,1,1020,600,3,,1,,5,2010,10,4,"BAG",
4,1,107,2,1044,10063,1,1,1020,900,3,,4,,3,2010,14,4,"BASIN",
4,1,107,2,1044,10063,1,2,1080,1000,3,,4,,3,2010,15,4,"BASIN",2
4,1,107,2,1044,10063,1,3,1090,500,1,,4,,3,2010,9,4,"BASIN",2
4,1,107,2,1044,10063,2,1,1020,800,3,,4,,3,2010,10,4,"BASIN",
4,1,107,2,1044,10063,2,2,1080,700,3,,4,,3,2010,12,4,"BASIN",2
4,1,107,2,1044,10063,2,3,2140,600,3,,4,,4,2010,11,4,"BUNDLE",
4,1,107,2,1044,10063,3,1,1020,900,3,,4,,4,2010,20,4,"BASIN",2
4,1,107,2,1044,10063,3,2,2193,400,3,,4,,4,2010,0,,,
4,1,107,2,1044,10064,1,1,1121,300,1,,4,,4,2010,40,3,,
4,1,107,2,1044,10064,1,2,1080,900,3,,4,,4,2010,13,4,"BASIN",
4,1,107,2,1044,10064,1,3,1020,1000,3,,4,,4,2010,12,4,"BASIN",
4,1,107,2,1044,10064,2,1,1080,950,3,,4,,3,2010,10,4,"BASIN",
4,1,107,2,1044,10064,2,2,1020,1000,3,,4,,3,2010,14,4,"BASIN",
4,1,107,2,1044,10064,3,1,1020,1100,3,,4,,4,2010,13,4,"BASIN",
4,1,107,2,1044,10064,3,2,2080,850,3,,4,,4,2010,10,4,"BASIN",
4,1,107,2,1044,10064,3,3,2193,640,3,,4,,4,2010,8,4,"BASIN",
4,1,107,2,1044,10065,1,1,1020,1000,3,,4,,3,2010,20,4,"BASIN",
4,1,107,2,1044,10065,1,2,1080,250,3,,4,,3,2010,12,4,"BASIN",
4,1,107,2,1044,10065,1,3,1121,200,1,,4,,3,2010,9,4,"BASIN",
4,1,107,2,1044,10065,2,1,1020,800,3,,4,,4,2010,15,4,"BASIN",
