"zone","state","lga","sector","ea","csource_cd","sc4bq5b","sc4bq6","sc4bq7","sc4bq8","sc4bq9","sc4bq10","sc4bq11","sc4bq12","sc4bq13","sc4bq14","sc4bq15","sc4bq16"
2,5,518,2,1304,3,1,,,,,,,,,,,
2,5,518,2,1304,4,2,,,,,,,,,,,
2,5,518,2,1588,1,1,1,2,,,,12,,,12,,
2,5,518,2,1588,2,1,1,2,12,,,,,,,,
2,5,518,2,1588,3,1,2,1,5,0,10000,5,0,50000,5,0,100000
2,5,518,2,1588,4,1,1,2,6,0,10000,,0,50000,12,0,100000
2,5,520,2,1756,1,1,2,2,,,,,,,,,
2,5,520,2,1756,2,1,2,2,,,,,,,,,
2,5,520,2,1756,3,1,1,1,,,,,,,,,
2,5,520,2,1756,4,1,1,1,,,,,,,,,
2,8,809,2,1748,2,,,,,,,,,,,,
2,8,816,2,1270,2,,,,,,,,,,,,
2,8,820,2,1030,2,,,,,,,,,,,,
2,8,821,1,1448,2,,,,,,,,,,,,
2,8,821,1,5062,1,1,1,1,6,20,12000,24,20,60000,24,20,120000
2,15,1502,2,590,1,1,1,,,,10000,,,,,,
2,15,1503,2,634,1,2,,,,,,,,,,,
2,15,1503,2,634,2,1,1,1,12,30,13000,12,25000,75000,24,35000,135000
2,15,1503,2,634,3,1,1,1,1,10,11000,,,,,,
2,15,1503,2,634,4,1,2,1,2,40,14000,6,20000,70000,,,
2,15,1506,1,148,1,1,1,1,12,20,12000,12,10000,60000,12,20000,120000
2,15,1506,1,148,2,1,2,1,6,10,11000,12,5000,55000,12,10000,110000
2,15,1506,1,148,3,1,2,1,1,5,10500,,,,,,
2,15,1506,1,148,4,1,2,1,1,20,12000,,,,,,
2,15,1506,1,398,1,1,1,1,3,,,6,,,12,,
2,15,1506,1,398,2,1,1,1,12,5,10500,12,2500,52500,12,5000,105000
2,15,1506,1,398,3,1,2,1,6,10,11000,,,,,,
2,15,1506,1,398,4,1,2,1,1,20,12000,,,,,,
2,15,1507,2,458,1,2,,,,,,,,,,,
2,15,1507,2,458,2,1,2,1,,0,10000,,,,,,
2,15,1507,2,458,3,1,1,1,12,40,14000,12,10000,60000,,,
2,15,1507,2,458,4,2,,,,,,,,,,,
2,15,1508,2,1682,1,1,2,1,2,20,12000,,,,,,
2,15,1510,2,616,1,1,2,1,8,20,12000,12,15000,65000,12,25000,125000
2,15,1511,2,1938,1,2,,,,,,,,,,,
2,15,1511,2,1938,2,1,1,1,6,5,10500,12,5000,55000,,,
2,15,1511,2,1938,3,2,,,,,,,,,,,
2,15,1511,2,1938,4,1,2,1,2,10,11000,,,,,,
2,34,3401,2,526,1,2,,,,,,,,,,,
2,34,3401,2,526,2,2,,,,,,,,,,,
2,34,3401,2,526,3,2,,,,,,,,,,,
2,34,3401,2,526,4,2,,,,,,,,,,,
2,34,3403,2,198,1,2,,,,,,,,,,,
2,34,3403,2,198,2,2,,,,,,,,,,,
2,34,3403,2,198,3,2,,,,,,,,,,,
2,34,3403,2,198,4,2,,,,,,,,,,,
2,34,3405,2,456,1,1,1,1,12,100,,1,,,,,
2,34,3405,2,1706,2,,,,,,,,,,,,
2,34,3408,2,870,2,,,,,,,,,,,,
2,34,3410,2,42,1,1,1,1,12,30,,,,,,,
2,34,3410,2,42,2,1,1,1,12,10,,,,,,,
2,34,3410,2,42,3,1,1,1,12,10,,,,,,,
2,34,3410,2,42,4,1,1,1,1,30,,,,,,,
2,34,3412,2,156,2,,,,,,,,,,,,
2,34,3413,2,262,2,,,,,,,,,,,,
2,34,3415,2,268,1,2,,,,,,,,,,,
2,34,3415,2,268,2,2,,,,,,,,,,,
2,34,3415,2,268,3,2,,,,,,,,,,,
2,34,3415,2,268,4,2,,,,,,,,,,,
2,35,3501,2,1228,1,2,,,,,,,,,,,
2,35,3501,2,1228,2,1,2,1,3,10,11000,36,10,55000,60,10,110000
2,35,3501,2,1228,3,2,,,,,,,,,,,
