"zone","state","lga","sector","ea","activity_cd","sc3bq2c","sc3bq3","sc3bq4","sc3bq5","sc3bq6","sc3bq7","sc3bq8","sc3bq9","sc3bq10","sc3bq11","sc3bq12"
1,22,2211,2,594,2,1120,1,1,1,500,2,,2,,1,5000
1,22,2211,2,594,8,,1,1,1,500,2,,2,,1,5000
1,22,2211,2,594,4,1110,1,1,1,500,2,,2,,1,5000
1,22,2211,2,594,5,1120,1,1,1,500,2,,2,,1,6000
1,22,2211,2,594,7,,2,,2,,2,,2,,2,
1,22,2211,2,594,3,1060,1,1,1,500,2,,2,,1,5000
1,22,2211,1,806,2,1110,1,1,1,600,2,,2,,2,
1,22,2211,1,806,3,1060,1,1,1,600,2,,2,,2,
1,22,2211,1,806,5,1110,1,1,1,600,2,,2,,2,
1,22,2211,1,806,1,1120,1,1,1,600,2,,2,,2,
1,22,2211,1,806,6,1060,1,1,1,600,2,,2,,2,
1,22,2211,1,806,4,1120,1,1,1,600,2,,2,,2,
1,22,2211,1,806,7,,2,,2,,2,,2,,2,
1,22,2211,1,806,8,,1,,1,600,2,,2,,2,
1,22,2214,2,1354,8,,1,1,1,400,1,300,2,,1,4000
1,22,2214,2,1354,2,1010,1,1,1,400,2,,2,,1,5000
1,22,2214,2,1354,1,1080,1,1,1,400,2,,2,,1,5000
1,22,2214,2,1354,3,1020,1,1,1,400,2,,2,,1,5000
1,22,2214,2,1354,5,1010,1,1,1,400,1,300,2,,1,3000
1,22,2214,2,1354,6,1020,1,1,1,400,1,300,2,,1,2000
1,22,2214,2,1354,7,,1,,2,,2,,2,,2,
1,22,2214,2,1354,4,1080,1,1,1,400,1,300,2,,1,3000
1,22,2216,1,428,8,,1,1,1,1000,2,,2,,1,5000
1,22,2216,1,428,1,1020,1,1,1,1000,2,,2,,1,4000
1,22,2216,1,428,6,1090,,,,,,,,,,
1,22,2216,1,428,7,,2,,2,,2,,2,,2,
1,22,2216,1,428,5,1121,1,1,1,1000,2,,2,,1,5000
1,22,2216,1,428,2,1121,1,1,1,1000,2,,2,,1,4000
1,22,2216,1,428,4,1020,1,1,1,1000,2,,2,,1,5000
1,22,2216,1,428,3,1090,1,1,1,1000,2,,2,,1,4000
1,22,2218,2,596,5,1080,1,3,1,350,1,200,2,,2,
1,22,2218,2,596,6,1120,1,3,1,350,2,,2,,2,
1,22,2218,2,596,3,1120,1,3,1,350,2,,2,,1,1400
1,22,2218,2,596,4,1020,1,3,1,350,1,200,2,,2,
1,22,2218,2,596,8,,1,3,1,350,1,200,2,,1,1400
1,22,2218,2,596,7,,1,3,1,350,1,200,2,,2,
1,22,2218,2,596,2,1080,1,3,1,350,2,,2,,1,1400
1,22,2218,2,596,1,1020,1,3,1,350,2,,2,,1,1400
1,22,2220,1,1296,8,,1,3,1,1000,2,,2,,,
1,22,2220,1,1296,3,1080,1,3,1,1500,2,,2,,,
1,22,2220,1,1296,2,1120,1,3,1,1500,2,,2,,,
1,22,2220,1,1296,4,1020,1,3,1,800,1,800,2,,,
1,22,2220,1,1296,6,1080,1,3,1,800,1,800,1,300,1,2400
1,22,2220,1,1296,1,1020,1,3,1,1500,2,,2,,,
1,22,2220,1,1296,7,,1,3,1,1000,1,800,2,,,
1,22,2220,1,1296,5,1120,1,3,1,1000,1,500,2,,,
1,23,2302,2,1982,1,1120,1,3,1,1000,2,,2,,1,10000
1,23,2302,2,1982,7,,2,,2,,,,,,,
1,23,2302,2,1982,8,,1,3,1,500,2,,1,500,1,13000
1,23,2302,2,1982,2,1070,1,3,1,1000,2,,2,,1,10000
1,23,2302,2,1982,5,1070,1,3,1,800,2,,2,,1,5000
1,23,2302,2,1982,6,1080,1,3,1,800,2,,2,,1,500
1,23,2302,2,1982,3,1080,1,3,1,1000,2,,2,,1,10000
1,23,2302,2,1982,4,1120,1,3,1,800,2,,2,,1,5000
1,23,2304,2,322,3,1080,1,3,1,1500,2,,1,1000,1,5000
1,23,2304,2,322,2,1020,1,3,1,1500,2,,1,1000,1,5000
1,23,2304,2,322,6,1080,2,,2,,2,,2,,,
1,23,2304,2,322,5,1020,2,,2,,2,,2,,,
1,23,2304,2,322,4,1120,2,,2,,2,,2,,,
1,23,2304,2,322,1,1120,1,3,1,1500,2,,1,1000,1,5000
1,23,2306,1,970,3,1020,1,3,1,1500,2,,1,1500,1,10000
1,23,2306,1,970,6,1020,1,3,1,1200,2,,1,1200,1,5000
1,23,2306,1,970,7,,1,3,1,1000,2,,1,1000,1,3000
1,23,2306,1,970,4,1080,1,3,1,1200,2,,1,1200,1,5000
1,23,2306,1,970,1,1080,1,3,1,1500,2,,1,1500,1,10000
1,23,2306,1,970,2,1070,1,3,1,1500,2,,1,1500,1,10000
