"zone","state","lga","sector","ea","sc3aq1"
3,18,1822,2,1654,1
3,18,1823,1,1822,1
3,19,1901,2,640,1
3,19,1902,2,52,1
3,19,1905,2,1290,1
3,19,1908,2,284,1
3,19,1910,2,808,1
3,19,1912,1,1510,2
3,19,1914,2,934,1
3,19,1916,2,1516,1
3,19,1919,2,366,1
3,19,1921,1,842,2
3,19,1925,1,2858,1
3,19,1925,2,3394,1
3,19,1928,2,526,1
3,19,1932,2,562,1
3,19,1934,2,386,1
3,19,1936,2,1994,1
3,19,1937,2,432,1
3,19,1941,2,518,1
3,19,1943,2,668,1
3,20,2001,2,1354,1
3,20,2003,2,784,1
3,20,2005,2,970,1
3,20,2008,2,1474,1
3,20,2009,2,240,1
3,20,2012,1,844,1
3,20,2013,2,1232,1
3,20,2015,2,1746,1
3,20,2018,2,1134,1
3,20,2019,2,344,1
3,20,2021,1,3300,1
3,20,2022,2,1130,1
3,20,2025,2,760,1
3,20,2025,2,1304,1
3,20,2028,2,498,1
3,20,2030,2,1050,1
3,20,2032,1,1390,1
3,20,2032,2,1772,1
3,21,2102,2,1124,1
3,21,2106,2,236,1
3,21,2106,2,2822,1
3,21,2108,1,520,1
3,21,2109,2,38,1
3,21,2111,2,180,1
3,21,2115,2,926,1
3,21,2117,2,554,1
3,21,2119,2,2146,1
3,21,2119,2,3956,1
3,33,3304,2,418,1
3,33,3307,2,688,1
3,33,3310,2,476,1
3,33,3311,1,702,1
3,33,3313,2,930,1
3,33,3318,2,30,1
3,33,3321,1,1182,1
3,33,3323,2,92,1
3,36,3601,2,1214,1
3,36,3603,2,978,1
3,36,3605,2,240,1
3,36,3606,2,1956,1
3,36,3607,1,2596,1
3,36,3608,2,2078,1
3,36,3610,2,1826,1
3,36,3612,1,1474,1
3,36,3613,2,1066,1
4,1,102,1,536,1
4,1,102,1,1690,1
4,1,104,2,1364,1
4,1,105,2,638,1
4,1,106,2,880,1
4,1,107,2,1044,1
4,1,108,2,904,1
4,1,110,2,76,1
4,1,111,1,1146,1
4,1,115,1,670,1
4,1,117,2,560,1
4,4,401,1,738,1
4,4,401,1,1460,1
4,4,401,2,2106,1
4,4,402,2,1080,1
4,4,405,2,484,1
4,4,405,2,722,1
4,4,407,2,796,1
4,4,410,1,3192,1
4,4,410,1,3414,1
4,4,410,2,4036,1
4,4,412,2,1606,1
4,4,413,2,1540,1
4,4,414,1,2176,1
4,4,415,1,2108,1
4,4,416,1,616,1
4,4,417,1,678,1
4,4,418,1,44,1
4,4,419,2,296,1
4,4,421,1,800,1
4,11,1101,2,154,1
4,11,1102,2,936,1
4,11,1104,2,434,1
4,11,1104,1,2028,2
4,11,1105,2,100,1
4,11,1106,2,446,1
4,11,1107,2,1034,1
4,11,1108,2,492,1
4,11,1109,2,672,1
4,11,1110,2,714,1
4,11,1110,2,2752,1
4,11,1112,2,78,1
4,11,1112,2,1952,1
4,11,1113,2,954,1
4,14,1401,2,1116,1
4,14,1403,1,34,1
4,14,1404,1,96,1
4,14,1406,2,694,1
4,14,1407,2,68,1
4,14,1408,2,968,1
4,14,1408,2,1996,1
4,14,1410,2,236,1
4,14,1411,2,1066,1
4,14,1413,2,670,1
4,14,1413,1,2578,1
4,14,1415,2,156,1
4,14,1415,2,952,1
4,14,1416,2,2314,1
4,16,1601,2,954,1
4,16,1602,2,1576,1
4,16,1603,2,158,1
4,16,1605,2,180,1
4,16,1606,2,590,1
4,16,1608,2,1104,1
4,16,1609,2,738,1
4,16,1610,2,1006,1
4,16,1612,2,108,1
4,16,1612,2,414,1
4,16,1613,2,440,1
4,16,1616,2,296,1
4,16,1618,2,1060,1
4,16,1620,2,106,1
4,16,1624,1,136,1
4,16,1624,1,286,1
4,16,1625,2,1210,1
4,16,1626,2,1546,1
5,3,301,1,1198,1
5,3,305,2,4,1
5,3,305,2,1542,1
5,3,307,1,634,1
5,3,309,2,478,1
5,3,312,2,20,1
5,3,313,2,70,1
5,3,316,2,874,1
5,3,318,2,1136,1
5,3,321,2,364,1
5,3,323,2,580,1
5,3,326,2,74,1
5,3,329,2,696,1
5,3,331,1,516,1
5,3,331,1,2322,2
5,6,601,2,640,2
5,6,602,2,1356,1
5,6,605,2,162,1
5,6,606,2,1372,1
5,6,607,2,1892,1
5,6,608,2,748,1
5,9,901,2,398,1
5,9,903,2,48,1
5,9,905,2,978,1
5,9,907,2,1446,1
5,9,908,1,278,1
5,9,910,2,200,1
5,9,912,2,102,1
5,9,913,2,2266,1
5,9,914,2,1746,1
5,9,915,1,1390,1
5,9,916,2,1068,1
5,9,917,1,1254,1
5,9,918,2,834,1
5,10,1001,2,172,1
5,10,1005,1,662,1
5,10,1005,2,1374,1
5,10,1007,1,1166,1
5,10,1008,2,1314,1
5,10,1008,2,1718,1
5,10,1010,2,20,1
5,10,1012,2,936,1
5,10,1014,2,80,1
5,10,1018,1,634,2
5,10,1018,2,898,1
5,10,1020,1,38,1
5,10,1021,2,120,1
5,10,1025,2,1774,2
5,12,1202,1,2146,2
5,12,1202,1,2710,2
5,12,1204,2,736,1
5,12,1208,2,526,1
5,12,1210,2,462,1
5,12,1211,1,2220,2
5,12,1211,1,2856,1
5,12,1212,1,1392,2
5,12,1214,2,452,1
5,12,1216,2,618,1
5,32,3201,2,2034,1
5,32,3202,2,84,1
5,32,3203,2,2644,1
5,32,3204,1,346,1
5,32,3206,2,276,1
5,32,3207,2,1464,1
5,32,3208,2,2244,1
5,32,3209,1,1208,1
5,32,3210,2,1692,1
5,32,3212,2,314,1
5,32,3213,2,128,1
5,32,3215,1,1896,2
5,32,3215,1,2978,1
5,32,3215,1,4712,2
5,32,3216,2,1184,1
5,32,3221,2,132,1
5,32,3222,1,1624,2
5,32,3222,1,2780,2
5,32,3223,2,390,1
5,32,3223,2,578,1
6,13,1301,1,1206,1
6,13,1303,1,626,1
6,13,1305,1,1232,1
6,13,1307,1,268,1
6,13,1309,2,674,1
6,13,1310,1,1300,1
6,13,1314,1,6,1
6,24,2401,1,766,2
6,24,2403,1,674,2
6,24,2403,1,1588,1
6,24,2403,1,3592,2
6,24,2403,1,7586,2
6,24,2408,1,2074,2
6,24,2412,1,2798,2
6,24,2415,1,696,2
6,24,2417,1,112,2
6,24,2418,1,1770,1
6,27,2701,1,506,2
6,27,2703,1,1076,2
6,27,2703,1,1612,2
6,27,2704,2,204,2
6,27,2707,1,1410,2
6,27,2707,1,2136,2
6,27,2709,1,1646,2
6,27,2711,1,710,2
6,27,2712,2,110,1
6,27,2715,2,752,1
6,27,2719,2,100,1
6,28,2802,2,566,1
6,28,2804,1,340,1
6,28,2806,1,164,1
6,28,2806,1,802,1
6,28,2807,2,1266,1
6,28,2810,2,2394,1
6,28,2810,1,3722,1
6,28,2811,2,588,1
6,28,2813,2,612,1
6,28,2814,1,1876,1
6,28,2815,2,1164,1
6,28,2816,1,2302,1
6,28,2816,2,3944,1
6,29,2902,1,1028,1
6,29,2905,1,1096,1
6,29,2909,2,220,1
6,29,2910,1,350,1
6,29,2911,1,746,1
6,29,2911,2,1870,1
6,29,2914,1,214,1
6,29,2918,1,952,1
6,29,2920,1,1210,1
6,29,2920,2,1628,1
6,29,2923,1,396,1
6,29,2923,2,1126,1
6,29,2930,1,1418,1
6,30,3002,1,1264,1
6,30,3002,1,1310,1
6,30,3004,2,216,1
6,30,3005,1,2870,2
6,30,3005,1,2942,2
6,30,3007,1,1624,2
6,30,3009,1,764,2
6,30,3009,1,1642,2
6,30,3010,1,1762,2
6,30,3012,2,334,1
6,30,3014,2,120,1
6,30,3015,2,1688,1
6,30,3016,1,390,1
6,30,3018,2,914,1
6,30,3020,1,322,2
6,30,3023,2,622,1
6,30,3024,1,1406,2
6,30,3024,1,1924,2
6,30,3025,1,2052,2
6,30,3030,1,946,1
6,30,3032,2,520,1
6,30,3032,1,1088,2
6,30,3033,2,554,1
