"zone","state","lga","sector","ea","hhid","plotid","indiv","s11c1q1a","s11c1q1b","s11c1q1c","s11c1q1d_1","s11c1q1d_2","s11c1q1d_3","s11c1q1d_4","s11c1q1d_5","s11c1q1d_6"
4,1,105,2,638,10100,3,1,1,12,7,0,1,1,0,0,0
4,1,108,2,904,10102,1,1,1,20,8,0,1,1,0,0,0
4,1,108,2,904,10102,2,1,1,23,6,0,1,1,0,0,1
4,1,108,2,904,10103,1,1,1,52,6,1,1,0,1,1,0
4,1,108,2,904,10103,1,8,2,,,,,,,,
4,1,108,2,904,10103,1,7,1,40,6,0,0,1,0,1,1
4,1,108,2,904,10103,1,2,1,58,6,1,0,1,1,1,1
4,1,108,2,904,10103,1,4,2,,,,,,,,
4,1,108,2,904,10103,2,1,1,42,6,0,1,1,1,1,0
4,1,108,2,904,10103,2,4,2,,,,,,,,
4,1,108,2,904,10103,2,7,1,32,6,0,1,1,1,1,0
4,1,108,2,904,10103,2,2,1,42,6,0,0,0,1,1,0
4,1,108,2,904,10103,2,8,2,,,,,,,,
4,1,108,2,904,10104,1,1,1,32,5,0,0,0,0,0,1
4,1,108,2,904,10105,1,2,1,36,6,1,1,1,1,0,0
4,1,108,2,904,10105,1,1,1,52,6,1,1,1,1,1,0
4,1,108,2,904,10105,1,4,1,36,6,0,1,1,1,0,0
4,1,108,2,904,10105,2,4,1,32,6,0,0,1,1,1,0
4,1,108,2,904,10105,2,2,1,32,6,1,1,0,0,1,1
4,1,108,2,904,10105,2,1,1,36,6,0,1,0,1,0,0
4,1,108,2,904,10106,1,1,1,38,6,1,1,1,1,1,0
4,1,108,2,904,10106,1,5,1,38,6,1,1,0,0,1,1
4,1,108,2,904,10106,1,2,1,32,6,1,1,0,1,0,1
4,1,108,2,904,10106,1,3,1,36,6,1,1,0,1,1,1
4,1,108,2,904,10106,1,4,1,36,6,1,1,0,1,1,0
4,1,108,2,904,10106,2,1,1,32,6,0,0,1,1,1,0
4,1,108,2,904,10106,2,4,1,30,6,1,1,0,1,1,0
4,1,108,2,904,10106,2,3,1,32,6,1,1,0,1,1,0
4,1,108,2,904,10106,2,2,1,38,6,0,1,1,1,1,0
4,1,108,2,904,10106,2,5,1,40,6,0,1,1,1,1,0
4,1,108,2,904,10106,3,2,1,28,6,1,1,0,0,1,1
4,1,108,2,904,10106,3,3,1,22,6,1,1,0,0,1,0
4,1,108,2,904,10106,3,4,1,30,6,0,1,1,1,1,0
4,1,108,2,904,10106,3,1,1,25,6,0,0,1,1,0,0
4,1,108,2,904,10106,3,5,1,26,6,0,1,1,0,1,0
4,1,108,2,904,10107,2,7,1,32,5,1,0,1,0,0,0
4,1,108,2,904,10107,2,8,2,,,,,,,,
4,1,108,2,904,10107,2,6,2,,,,,,,,
4,1,108,2,904,10107,2,5,1,20,5,1,0,0,1,0,0
4,1,108,2,904,10107,2,1,2,,,,,,,,
4,1,108,2,904,10107,2,4,1,24,5,1,0,0,1,0,0
4,1,108,2,904,10108,1,3,1,26,5,0,1,1,0,0,0
4,1,108,2,904,10108,1,5,2,,,,,,,,
4,1,108,2,904,10108,1,2,1,24,6,0,1,1,0,0,0
4,1,108,2,904,10108,1,4,1,28,6,1,0,0,1,0,0
4,1,108,2,904,10109,1,5,2,,,,,,,,
4,1,108,2,904,10109,1,4,2,,,,,,,,
4,1,108,2,904,10109,1,7,1,14,4,0,1,1,0,0,0
4,1,108,2,904,10109,1,6,1,24,4,0,1,1,0,0,0
4,1,108,2,904,10109,1,1,1,26,5,1,0,0,1,0,0
4,1,108,2,904,10109,1,2,1,40,5,0,1,1,0,0,0
4,1,108,2,904,10109,1,10,2,,,,,,,,
4,1,108,2,904,10109,2,2,1,14,5,0,1,1,0,0,0
4,1,108,2,904,10109,2,5,2,,,,,,,,
4,1,108,2,904,10109,2,7,1,8,4,0,1,0,0,0,0
4,1,108,2,904,10109,2,4,2,,,,,,,,
