"hhid","plotid","dist_household","twi_nw","srtm_nga","srtmslp_nga"
19103,1,1.60000002384186,19,58,"1"
19104,2,2.70000004768372,14,61,"2"
19104,1,1.39999997615814,14,60,"1"
19105,1,0.100000001490116,36,64,"0"
19105,2,1.70000004768372,17,60,"1"
19105,3,0.600000023841858,18,62,"1"
19106,1,0,36,64,"0"
19106,2,0.100000001490116,15,64,"1"
19107,1,0,15,64,"1"
19110,2,1.70000004768372,13,61,"2"
19110,1,1.70000004768372,15,62,"2"
19111,1,1.60000002384186,15,61,"2"
19111,2,1.60000002384186,14,61,"2"
19112,2,1.89999997615814,18,61,"1"
19113,2,0.600000023841858,17,64,"1"
19113,1,0.100000001490116,13,70,"1"
19115,1,0.100000001490116,13,65,"3"
19115,2,0,13,66,"3"
19116,4,0.899999976158142,14,66,"1"
19116,1,0.899999976158142,13,66,"1"
19116,2,2.09999990463257,16,59,"1"
19117,4,0,14,65,"1"
19117,6,0.600000023841858,14,65,"1"
19117,1,0.600000023841858,19,65,"1"
19117,2,0.600000023841858,14,65,"1"
19117,3,1.39999997615814,14,66,"2"
19118,1,0.100000001490116,19,63,"2"
19118,2,0.100000001490116,19,63,"2"
19119,3,1,15,65,"1"
19119,1,3.29999995231628,14,71,"1"
19120,1,0.400000005960464,13,63,"1"
19120,2,1,16,65,"1"
19120,4,0,20,63,"1"
19121,2,0.800000011920929,14,68,"3"
19121,1,0.800000011920929,14,68,"3"
19122,2,0.300000011920929,12,67,"5"
19122,1,0.400000005960464,13,62,"3"
19123,1,0.699999988079071,13,74,"5"
19124,2,1,13,75,"5"
19124,1,0.899999976158142,13,80,"5"
19125,2,0.600000023841858,22,57,"1"
19125,1,0.300000011920929,13,61,"4"
19126,1,0.699999988079071,14,57,"2"
19126,2,0.600000023841858,22,57,"2"
19127,2,0.699999988079071,14,57,"2"
19127,1,0.5,12,62,"5"
19129,2,0.5,22,57,"1"
19129,3,0.5,22,57,"1"
19129,1,0.600000023841858,22,57,"1"
19130,1,0.600000023841858,17,58,"3"
19130,2,0.600000023841858,17,58,"3"
19131,2,0.400000005960464,13,63,"3"
19131,1,0.400000005960464,12,60,"3"
19133,1,0,15,99,"1"
19133,2,0.899999976158142,15,100,"1"
19135,2,0,16,95,"1"
19136,2,1,36,99,"0"
19136,1,0,14,99,"1"
19137,1,1,14,99,"0"
19140,1,0.400000005960464,14,97,"1"
19141,1,1.5,15,101,"0"
19141,3,0,14,97,"1"
19141,2,0.100000001490116,14,98,"1"
19143,2,0.100000001490116,14,98,"1"
19143,3,0.600000023841858,14,99,"1"
19143,1,0.100000001490116,14,98,"1"
19144,1,0.200000002980232,14,98,"1"
19153,1,0,12,59,"5"
