"zone","state","lga","sector","ea","cluster_id","InterviewDate"
3,17,1717,2,378,"1717-378",1/9/2019 08:50:49
3,17,1721,1,1272,"1721-1272",1/13/2019 06:52:26
3,17,1722,2,96,"1722-96",1/25/2019 05:25:58
3,17,1723,1,668,"1723-668",1/27/2019 08:34:34
3,17,1725,2,200,"1725-200",1/11/2019 09:54:47
3,18,1802,2,1040,"1802-1040",1/25/2019 03:05:55
3,18,1802,2,1554,"1802-1554",1/21/2019 04:25:56
3,18,1802,1,3204,"1802-3204",1/28/2019 03:23:20
3,18,1803,2,840,"1803-840",1/17/2019 09:17:56
3,18,1804,1,2690,"1804-2690",1/17/2019 04:49:34
3,18,1805,2,674,"1805-674",1/14/2019 05:22:25
3,18,1805,2,792,"1805-792",1/15/2019 04:56:15
3,18,1807,2,1754,"1807-1754",1/9/2019 03:43:50
3,18,1809,1,1098,"1809-1098",1/19/2019 05:05:16
3,18,1809,1,1756,"1809-1756",1/15/2019 05:26:33
3,18,1810,1,540,"1810-540",1/19/2019 04:15:06
3,18,1812,2,42,"1812-42",1/23/2019 04:17:59
3,18,1813,2,522,"1813-522",1/11/2019 05:14:30
3,18,1816,1,378,"1816-378",1/28/2019 04:34:09
3,18,1817,2,572,"1817-572",1/7/2019 08:16:26
3,18,1817,2,726,"1817-726",1/9/2019 03:07:58
3,18,1817,2,880,"1817-880",1/13/2019 04:10:56
3,18,1818,2,76,"1818-76",1/23/2019 06:05:25
3,18,1819,1,818,"1819-818",1/21/2019 03:40:30
3,18,1820,2,450,"1820-450",1/7/2019 06:47:14
3,18,1821,2,24,"1821-24",1/25/2019 07:51:43
3,18,1822,2,1898,"1822-1898",1/11/2019 02:36:05
3,19,1909,2,1684,"1909-1684",1/10/2019 04:04:18
3,19,1910,2,808,"1910-808",1/13/2019 03:37:35
3,19,1912,1,1510,"1912-1510",1/25/2019 04:22:24
3,19,1914,2,934,"1914-934",1/19/2019 07:12:45
3,19,1919,2,366,"1919-366",1/22/2019 05:02:28
3,19,1919,2,596,"1919-596",1/19/2019 06:01:54
3,19,1921,1,842,"1921-842",1/7/2019 04:28:28
3,19,1923,2,284,"1923-284",1/16/2019 06:06:39
3,19,1924,2,356,"1924-356",1/24/2019 05:51:08
3,19,1927,2,622,"1927-622",1/13/2019 06:36:11
3,19,1928,2,526,"1928-526",1/25/2019 09:32:09
3,19,1929,2,108,"1929-108",1/10/2019 04:59:14
3,19,1933,2,330,"1933-330",1/16/2019 04:31:50
3,19,1940,2,648,"1940-648",1/7/2019 05:31:33
3,19,1941,2,1112,"1941-1112",1/29/2019 05:48:19
3,20,2003,2,1390,"2003-1390",1/23/2019 06:35:29
3,20,2009,2,144,"2009-144",1/13/2019 09:35:57
3,20,2010,2,946,"2010-946",1/10/2019 04:13:21
3,20,2012,1,844,"2012-844",1/28/2019 06:56:40
3,20,2015,2,1746,"2015-1746",1/17/2019 05:59:01
3,20,2016,2,2102,"2016-2102",1/26/2019 05:12:14
3,20,2016,1,408,"2016-408",1/28/2019 06:01:46
3,20,2018,2,1134,"2018-1134",1/20/2019 04:54:53
3,20,2021,1,2086,"2021-2086",1/22/2019 05:32:11
3,20,2021,1,2556,"2021-2556",1/25/2019 05:11:51
3,20,2025,2,2222,"2025-2222",1/7/2019 07:32:21
3,20,2025,2,760,"2025-760",1/10/2019 04:35:25
3,20,2026,2,1216,"2026-1216",1/13/2019 04:49:39
3,20,2028,2,498,"2028-498",1/20/2019 04:55:52
2,2,203,2,1224,"203-1224",1/20/2019 01:29:35
3,20,2032,2,50,"2032-50",1/17/2019 04:47:54
3,20,2034,2,908,"2034-908",1/7/2019 06:47:19
2,2,204,2,144,"204-144",1/12/2019 02:11:08
2,2,205,2,206,"205-206",1/15/2019 13:12:42
2,2,205,2,712,"205-712",1/8/2019 01:09:11
2,2,207,2,1302,"207-1302",1/9/2019 05:17:47
2,2,207,2,158,"207-158",1/11/2019 07:35:04
2,2,208,2,300,"208-300",1/21/2019 03:19:52
2,2,209,2,10,"209-10",1/27/2019 03:04:01
2,2,209,2,1040,"209-1040",1/28/2019 06:47:20
2,2,210,2,1300,"210-1300",1/16/2019 02:45:06
2,2,210,2,924,"210-924",1/14/2019 04:27:38
3,21,2101,1,148,"2101-148",1/9/2019 10:41:59
3,21,2105,2,1606,"2105-1606",1/17/2019 03:08:56
3,21,2106,2,2822,"2106-2822",1/12/2019 04:02:51
2,2,211,2,344,"211-344",1/24/2019 10:20:27
2,2,211,2,532,"211-532",1/26/2019 10:49:10
2,2,211,2,668,"211-668",1/27/2019 02:11:34
3,21,2111,2,260,"2111-260",1/7/2019 05:08:40
3,21,2112,2,442,"2112-442",1/14/2019 06:02:02
3,21,2115,2,548,"2115-548",1/23/2019 04:17:58
3,21,2115,2,926,"2115-926",1/22/2019 12:33:38
3,21,2119,2,3956,"2119-3956",1/18/2019 06:51:45
3,21,2119,2,3992,"2119-3992",1/20/2019 06:40:23
2,2,212,2,100,"212-100",1/25/2019 07:26:35
2,2,212,2,1254,"212-1254",1/23/2019 02:48:51
2,2,213,1,1010,"213-1010",1/17/2019 05:00:16
2,2,213,2,1282,"213-1282",1/19/2019 08:23:16
2,2,213,2,1406,"213-1406",1/21/2019 04:56:54
2,2,215,2,814,"215-814",1/23/2019 05:00:47
2,2,218,2,1624,"218-1624",1/14/2019 03:31:45
2,2,219,2,124,"219-124",1/18/2019 11:46:04
2,2,220,2,112,"220-112",1/8/2019 04:25:32
1,22,2203,2,2578,"2203-2578",1/8/2019 02:58:38
1,22,2203,2,266,"2203-266",1/9/2019 03:59:14
1,22,2208,2,194,"2208-194",1/11/2019 05:11:39
1,22,2208,2,642,"2208-642",1/12/2019 05:13:15
2,2,221,1,750,"221-750",1/9/2019 06:58:30
1,22,2211,2,594,"2211-594",1/15/2019 06:13:37
1,22,2213,1,100,"2213-100",1/21/2019 03:30:58
1,22,2216,1,270,"2216-270",1/24/2019 05:11:39
1,22,2216,1,428,"2216-428",1/22/2019 06:29:59
1,22,2216,1,588,"2216-588",1/25/2019 05:16:45
1,22,2220,1,1296,"2220-1296",1/19/2019 09:31:37
1,23,2302,2,1982,"2302-1982",1/28/2019 07:54:49
1,23,2303,2,68,"2303-68",1/23/2019 03:13:55
1,23,2303,2,828,"2303-828",1/24/2019 06:50:28
1,23,2304,2,322,"2304-322",1/9/2019 09:11:10
1,23,2304,2,432,"2304-432",1/21/2019 04:17:53
1,23,2305,2,174,"2305-174",1/20/2019 03:25:24
1,23,2306,1,78,"2306-78",1/11/2019 06:16:13
1,23,2307,1,2316,"2307-2316",1/7/2019 02:51:19
1,23,2308,1,5126,"2308-5126",1/9/2019 03:56:31
1,23,2308,1,88,"2308-88",1/7/2019 03:30:39
1,23,2309,1,1224,"2309-1224",1/18/2019 03:37:53
1,23,2309,2,1574,"2309-1574",1/14/2019 04:15:16
1,23,2309,2,740,"2309-740",1/18/2019 04:00:40
1,23,2310,2,30,"2310-30",1/16/2019 02:58:52
1,23,2310,2,496,"2310-496",1/16/2019 03:43:37
1,23,2311,2,1600,"2311-1600",1/27/2019 04:57:40
1,23,2311,2,516,"2311-516",1/28/2019 01:54:20
1,23,2313,1,382,"2313-382",1/14/2019 04:46:51
1,23,2314,2,354,"2314-354",1/10/2019 09:16:54
1,23,2316,2,1442,"2316-1442",1/21/2019 08:59:15
1,23,2316,2,614,"2316-614",1/25/2019 08:05:13
6,24,2401,1,1664,"2401-1664",1/9/2019 04:13:26
6,24,2401,1,396,"2401-396",1/13/2019 06:09:41
6,24,2401,1,884,"2401-884",1/7/2019 04:20:09
6,24,2403,1,1444,"2403-1444",1/25/2019 03:07:32
6,24,2403,1,7586,"2403-7586",1/23/2019 06:37:10
6,24,2404,1,1342,"2404-1342",1/30/2019 03:55:30
6,24,2405,1,1292,"2405-1292",1/15/2019 05:37:44
6,24,2405,1,134,"2405-134",1/14/2019 05:12:22
6,24,2405,1,152,"2405-152",1/9/2019 05:33:10
6,24,2405,1,588,"2405-588",1/11/2019 06:28:07
6,24,2410,1,2522,"2410-2522",1/11/2019 04:31:57
6,24,2413,1,306,"2413-306",1/21/2019 01:30:16
6,24,2415,1,550,"2415-550",1/29/2019 06:45:39
6,24,2416,1,176,"2416-176",1/27/2019 08:49:30
6,24,2416,1,2028,"2416-2028",1/25/2019 05:17:54
6,24,2418,1,1090,"2418-1090",1/19/2019 03:18:54
6,24,2418,1,1770,"2418-1770",1/15/2019 02:14:51
6,24,2418,1,2276,"2418-2276",1/27/2019 05:08:47
6,24,2418,1,920,"2418-920",1/17/2019 02:40:44
6,24,2419,1,330,"2419-330",1/23/2019 02:13:59
6,24,2419,1,488,"2419-488",1/7/2019 08:10:06
6,24,2420,1,10,"2420-10",1/17/2019 08:55:14
6,24,2420,1,1580,"2420-1580",1/19/2019 06:13:20
6,24,2420,1,300,"2420-300",1/21/2019 04:42:18
1,25,2503,2,1350,"2503-1350",1/9/2019 01:50:30
1,25,2504,2,222,"2504-222",1/17/2019 09:26:31
1,26,2602,2,118,"2602-118",1/19/2019 05:32:05
1,26,2603,1,450,"2603-450",2/1/2019 02:15:08
1,26,2603,1,658,"2603-658",2/4/2019 04:53:31
1,26,2604,2,1652,"2604-1652",1/22/2019 07:48:06
1,26,2608,2,786,"2608-786",1/30/2019 03:06:10
1,26,2609,2,204,"2609-204",1/10/2019 05:47:47
1,26,2611,2,424,"2611-424",1/16/2019 04:16:50
1,26,2613,2,1462,"2613-1462",1/29/2019 03:35:16
1,26,2615,2,2196,"2615-2196",1/17/2019 05:47:52
1,26,2615,2,556,"2615-556",1/15/2019 06:00:50
1,26,2616,2,254,"2616-254",1/27/2019 07:48:08
1,26,2616,2,584,"2616-584",1/24/2019 04:36:54
1,26,2620,2,590,"2620-590",1/12/2019 05:51:16
1,26,2624,2,118,"2624-118",1/7/2019 08:40:23
6,27,2701,1,506,"2701-506",1/24/2019 05:38:30
6,27,2703,1,1076,"2703-1076",1/7/2019 05:55:47
6,27,2703,1,1612,"2703-1612",1/7/2019 08:53:43
6,27,2705,2,568,"2705-568",1/9/2019 06:51:17
6,27,2706,2,362,"2706-362",1/9/2019 08:01:56
6,27,2711,2,1218,"2711-1218",1/23/2019 07:02:26
6,27,2711,1,710,"2711-710",1/17/2019 04:57:53
6,27,2712,2,110,"2712-110",1/15/2019 04:53:49
6,27,2712,2,172,"2712-172",1/15/2019 06:59:10
6,27,2712,2,356,"2712-356",1/17/2019 06:22:25
6,27,2715,2,752,"2715-752",1/13/2019 08:04:23
6,27,2715,2,864,"2715-864",1/13/2019 05:12:58
6,27,2716,2,44,"2716-44",2/1/2019 08:50:56
6,27,2720,1,1048,"2720-1048",1/20/2019 05:01:17
6,27,2720,1,1836,"2720-1836",1/21/2019 06:27:35
6,28,2801,1,760,"2801-760",1/29/2019 02:07:11
6,28,2804,1,340,"2804-340",1/28/2019 07:54:38
6,28,2805,2,498,"2805-498",1/8/2019 03:50:31
6,28,2808,2,1494,"2808-1494",1/10/2019 05:03:34
6,28,2811,2,390,"2811-390",1/26/2019 01:04:59
6,28,2813,2,612,"2813-612",1/15/2019 02:05:49
6,28,2814,1,1876,"2814-1876",1/18/2019 03:19:48
6,28,2814,1,662,"2814-662",1/16/2019 10:52:36
6,28,2815,2,10,"2815-10",1/21/2019 10:06:44
6,28,2816,1,2146,"2816-2146",1/13/2019 05:50:26
6,29,2905,1,1096,"2905-1096",1/15/2019 04:03:13
6,29,2909,2,220,"2909-220",1/24/2019 05:11:08
6,29,2910,1,350,"2910-350",1/12/2019 05:21:19
6,29,2915,1,622,"2915-622",1/9/2019 05:06:04
6,29,2918,1,454,"2918-454",1/7/2019 05:42:41
6,29,2920,2,1628,"2920-1628",1/16/2019 04:16:16
6,29,2928,1,322,"2928-322",1/22/2019 05:04:31
6,29,2930,1,1300,"2930-1300",1/19/2019 04:55:56
6,29,2930,1,530,"2930-530",1/26/2019 06:27:17
6,30,3002,1,1264,"3002-1264",1/7/2019 06:22:05
6,30,3002,1,1310,"3002-1310",1/10/2019 08:16:47
6,30,3005,1,2942,"3005-2942",1/13/2019 04:34:54
6,30,3005,1,3648,"3005-3648",1/20/2019 11:06:16
6,30,3006,1,520,"3006-520",1/14/2019 10:00:55
6,30,3007,1,1624,"3007-1624",1/7/2019 04:40:40
5,3,301,1,1198,"301-1198",1/7/2019 05:51:09
6,30,3011,2,306,"3011-306",1/25/2019 05:18:51
6,30,3012,2,334,"3012-334",1/26/2019 06:25:08
6,30,3013,1,282,"3013-282",1/22/2019 10:29:18
6,30,3015,2,260,"3015-260",1/16/2019 03:25:28
6,30,3016,2,198,"3016-198",1/28/2019 02:07:14
5,3,302,2,302,"302-302",1/28/2019 04:35:13
6,30,3020,2,1092,"3020-1092",1/17/2019 11:14:33
6,30,3021,2,628,"3021-628",1/20/2019 03:45:23
6,30,3023,2,622,"3023-622",1/21/2019 07:23:37
6,30,3026,1,72,"3026-72",1/9/2019 07:21:13
6,30,3028,2,136,"3028-136",1/18/2019 05:25:59
5,3,304,2,10,"304-10",1/11/2019 06:24:43
5,3,304,2,184,"304-184",1/9/2019 07:23:45
5,3,305,2,1164,"305-1164",1/30/2019 04:47:09
5,3,305,2,1542,"305-1542",1/11/2019 03:16:39
5,3,307,1,634,"307-634",1/23/2019 05:43:46
5,3,308,2,102,"308-102",1/25/2019 08:37:25
5,3,309,2,698,"309-698",1/14/2019 03:46:25
1,31,3102,2,14,"3102-14",1/9/2019 08:03:38
1,31,3109,2,1026,"3109-1026",1/17/2019 04:48:54
1,31,3110,2,334,"3110-334",1/22/2019 04:18:33
1,31,3111,2,1128,"3111-1128",1/12/2019 05:46:18
1,31,3112,2,350,"3112-350",1/25/2019 06:18:35
1,31,3113,2,870,"3113-870",1/15/2019 05:36:31
1,31,3116,2,1344,"3116-1344",1/24/2019 04:14:21
1,31,3117,2,1288,"3117-1288",1/21/2019 15:20:52
5,3,312,2,20,"312-20",1/15/2019 05:30:41
5,3,313,2,70,"313-70",1/21/2019 08:07:28
