"zone","state","lga","sector","ea","cluster_id","amenities_cd","c5q1"
5,10,1013,2,88,"1013-88",525,6
5,10,1013,2,88,"1013-88",526,4
5,10,1013,2,88,"1013-88",527,5
5,10,1013,2,88,"1013-88",528,3
5,10,1013,2,88,"1013-88",529,4
5,10,1013,2,88,"1013-88",530,4
5,10,1013,2,88,"1013-88",531,2
5,10,1013,2,88,"1013-88",532,3
5,10,1013,2,88,"1013-88",533,1
5,10,1013,2,88,"1013-88",534,1
5,10,1013,2,948,"1013-948",501,4
5,10,1013,2,948,"1013-948",502,3
5,10,1013,2,948,"1013-948",503,5
5,10,1013,2,948,"1013-948",505,4
5,10,1013,2,948,"1013-948",506,3
5,10,1013,2,948,"1013-948",507,2
5,10,1013,2,948,"1013-948",508,3
5,10,1013,2,948,"1013-948",509,3
5,10,1013,2,948,"1013-948",510,4
5,10,1013,2,948,"1013-948",512,5
5,10,1013,2,948,"1013-948",513,3
5,10,1013,2,948,"1013-948",514,4
5,10,1013,2,948,"1013-948",516,3
5,10,1013,2,948,"1013-948",517,3
5,10,1013,2,948,"1013-948",518,3
5,10,1013,2,948,"1013-948",519,3
5,10,1013,2,948,"1013-948",520,5
5,10,1013,2,948,"1013-948",522,4
5,10,1013,2,948,"1013-948",523,3
5,10,1013,2,948,"1013-948",524,1
5,10,1013,2,948,"1013-948",525,3
5,10,1013,2,948,"1013-948",526,3
5,10,1013,2,948,"1013-948",527,3
5,10,1013,2,948,"1013-948",528,3
5,10,1013,2,948,"1013-948",529,5
5,10,1013,2,948,"1013-948",530,5
5,10,1013,2,948,"1013-948",531,4
5,10,1013,2,948,"1013-948",532,5
5,10,1013,2,948,"1013-948",533,2
5,10,1013,2,948,"1013-948",534,2
5,10,1018,1,634,"1018-634",501,5
5,10,1018,1,634,"1018-634",502,5
5,10,1018,1,634,"1018-634",503,4
5,10,1018,1,634,"1018-634",505,4
5,10,1018,1,634,"1018-634",506,4
5,10,1018,1,634,"1018-634",507,1
5,10,1018,1,634,"1018-634",508,3
5,10,1018,1,634,"1018-634",509,3
5,10,1018,1,634,"1018-634",510,5
5,10,1018,1,634,"1018-634",512,5
5,10,1018,1,634,"1018-634",513,5
5,10,1018,1,634,"1018-634",514,5
5,10,1018,1,634,"1018-634",516,5
5,10,1018,1,634,"1018-634",517,4
5,10,1018,1,634,"1018-634",518,4
5,10,1018,1,634,"1018-634",519,4
5,10,1018,1,634,"1018-634",520,5
5,10,1018,1,634,"1018-634",522,2
5,10,1018,1,634,"1018-634",523,2
5,10,1018,1,634,"1018-634",524,3
5,10,1018,1,634,"1018-634",525,3
5,10,1018,1,634,"1018-634",526,3
5,10,1018,1,634,"1018-634",527,3
5,10,1018,1,634,"1018-634",528,3
5,10,1018,1,634,"1018-634",529,5
5,10,1018,1,634,"1018-634",530,5
5,10,1018,1,634,"1018-634",531,5
5,10,1018,1,634,"1018-634",532,4
5,10,1018,1,634,"1018-634",533,3
5,10,1018,1,634,"1018-634",534,2
4,1,102,1,1690,"102-1690",501,3
4,1,102,1,1690,"102-1690",502,3
4,1,102,1,1690,"102-1690",503,3
4,1,102,1,1690,"102-1690",505,3
4,1,102,1,1690,"102-1690",506,3
4,1,102,1,1690,"102-1690",507,2
4,1,102,1,1690,"102-1690",508,3
4,1,102,1,1690,"102-1690",509,3
4,1,102,1,1690,"102-1690",510,3
4,1,102,1,1690,"102-1690",512,5
4,1,102,1,1690,"102-1690",513,4
4,1,102,1,1690,"102-1690",514,4
4,1,102,1,1690,"102-1690",516,3
4,1,102,1,1690,"102-1690",517,3
4,1,102,1,1690,"102-1690",518,3
4,1,102,1,1690,"102-1690",519,3
4,1,102,1,1690,"102-1690",520,3
4,1,102,1,1690,"102-1690",522,4
4,1,102,1,1690,"102-1690",523,4
4,1,102,1,1690,"102-1690",524,3
4,1,102,1,1690,"102-1690",525,2
4,1,102,1,1690,"102-1690",526,3
4,1,102,1,1690,"102-1690",527,4
4,1,102,1,1690,"102-1690",528,4
4,1,102,1,1690,"102-1690",529,3
4,1,102,1,1690,"102-1690",530,3
4,1,102,1,1690,"102-1690",531,3
4,1,102,1,1690,"102-1690",532,3
4,1,102,1,1690,"102-1690",533,2
4,1,102,1,1690,"102-1690",534,3
4,1,102,1,2486,"102-2486",501,3
4,1,102,1,2486,"102-2486",502,3
4,1,102,1,2486,"102-2486",503,3
4,1,102,1,2486,"102-2486",505,4
4,1,102,1,2486,"102-2486",506,4
4,1,102,1,2486,"102-2486",507,2
4,1,102,1,2486,"102-2486",508,6
4,1,102,1,2486,"102-2486",509,6
4,1,102,1,2486,"102-2486",510,3
4,1,102,1,2486,"102-2486",512,5
4,1,102,1,2486,"102-2486",513,4
4,1,102,1,2486,"102-2486",514,4
4,1,102,1,2486,"102-2486",516,3
4,1,102,1,2486,"102-2486",517,3
4,1,102,1,2486,"102-2486",518,3
4,1,102,1,2486,"102-2486",519,3
4,1,102,1,2486,"102-2486",520,3
4,1,102,1,2486,"102-2486",522,4
4,1,102,1,2486,"102-2486",523,4
4,1,102,1,2486,"102-2486",524,3
4,1,102,1,2486,"102-2486",525,2
4,1,102,1,2486,"102-2486",526,3
4,1,102,1,2486,"102-2486",527,4
4,1,102,1,2486,"102-2486",528,4
4,1,102,1,2486,"102-2486",529,3
4,1,102,1,2486,"102-2486",530,3
4,1,102,1,2486,"102-2486",531,3
4,1,102,1,2486,"102-2486",532,4
4,1,102,1,2486,"102-2486",533,2
4,1,102,1,2486,"102-2486",534,3
4,1,102,1,46,"102-46",501,4
4,1,102,1,46,"102-46",502,4
4,1,102,1,46,"102-46",503,4
4,1,102,1,46,"102-46",505,4
4,1,102,1,46,"102-46",506,4
4,1,102,1,46,"102-46",507,3
4,1,102,1,46,"102-46",508,6
4,1,102,1,46,"102-46",509,6
4,1,102,1,46,"102-46",510,4
4,1,102,1,46,"102-46",512,5
4,1,102,1,46,"102-46",513,5
4,1,102,1,46,"102-46",514,5
4,1,102,1,46,"102-46",516,3
4,1,102,1,46,"102-46",517,3
4,1,102,1,46,"102-46",518,3
4,1,102,1,46,"102-46",519,3
4,1,102,1,46,"102-46",520,3
4,1,102,1,46,"102-46",522,4
4,1,102,1,46,"102-46",523,3
4,1,102,1,46,"102-46",524,3
4,1,102,1,46,"102-46",525,2
4,1,102,1,46,"102-46",526,3
4,1,102,1,46,"102-46",527,3
4,1,102,1,46,"102-46",528,3
4,1,102,1,46,"102-46",529,3
4,1,102,1,46,"102-46",530,3
4,1,102,1,46,"102-46",531,3
4,1,102,1,46,"102-46",532,3
4,1,102,1,46,"102-46",533,2
4,1,102,1,46,"102-46",534,2
4,1,102,1,806,"102-806",501,3
4,1,102,1,806,"102-806",502,3
4,1,102,1,806,"102-806",503,3
4,1,102,1,806,"102-806",505,3
4,1,102,1,806,"102-806",506,5
4,1,102,1,806,"102-806",507,3
4,1,102,1,806,"102-806",508,3
4,1,102,1,806,"102-806",509,3
4,1,102,1,806,"102-806",510,3
