"zone","state","lga","sector","ea","hhid","plotid","cropcode","sa3iq3","sa3iq4","sa3iq4_os","sa3iq4a1","sa3iq4a2","sa3iq4b","sa3iq4c","sa3iq5","sa3iq6i","sa3iq6ii","sa3iq6_4","sa3iq6_2","sa3iq6_conv","sa3iq6a","sa3iq6b","sa3iq6c1","sa3iq6c2","sa3iq6d1","sa3iq6d2","sa3iq6d4","sa3iq6d2a","sa3iq6d_conv","sa3iq6e_1","sa3iq6e_2","sa3iq6e_3","sa3iq6e_4","sa3iq6e_5","sa3iq6e_6","sa3iq6e_7","sa3iq6e_8"
4,1,117,2,560,10075,1,1090,1,,,6,2018,2,,,1,130,10,1,25,7000,1,7,2018,,,,,,1,,,,,,,
4,1,117,2,560,10075,1,1121,1,,,12,2018,2,,,50,211,1,,2.95499992370605,7000,1,12,2018,,,,,,1,,,,,,,
4,1,117,2,560,10075,2,1020,2,9,,,,,,,,,,,,,,,,18,130,10,,25,1,,,,,,,
4,1,117,2,560,10075,2,1040,1,,,12,2018,2,,,1,130,10,,25,5000,2,,,0.5,130,10,,25,1,,,,,,,
4,1,117,2,560,10075,2,1080,1,,,7,2018,2,,,2,130,10,1,9,2500,1,7,2018,,,,,,1,,,,,,,
4,1,117,2,560,10076,1,1020,2,9,,,,,,,,,,,,,,,,15,130,10,,25,1,2,,,,,,
4,1,117,2,560,10076,1,1080,1,,,7,2018,2,,,2,130,10,1,9,2000,1,7,2018,,,,,,1,2,,,,,,
4,1,117,2,560,10076,2,1020,2,9,,,,,,,,,,,,,,,,12,130,10,,25,1,2,,,,,,
4,1,117,2,560,10076,2,1040,2,9,,,,,,,,,,,,,,,,2,130,10,,25,1,2,,,,,,
4,1,117,2,560,10076,2,1080,1,,,7,2018,2,,,1,130,10,1,9,1000,1,7,2018,,,,,,1,2,,,,,,
4,1,117,2,560,10077,1,1020,2,9,,,,,,,,,,,,,,,,3,130,10,,25,2,,,,,,,
4,1,117,2,560,10077,1,1080,1,,,7,2018,2,,,2,130,10,2,25,2000,1,7,2018,,,,,,2,,,,,,,
4,1,117,2,560,10078,1,1020,2,9,,,,,,,,,,,,,,,,3,130,11,,50,4,,,,,,,
4,1,117,2,560,10078,1,1040,2,9,,,,,,,,,,,,,,,,2,130,10,,25,4,,,,,,,
4,1,117,2,560,10078,1,1080,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,117,2,560,10079,1,1020,2,9,,,,,,,,,,,,,,,,15,150,1,,28.0330009460449,1,,,,,,,
4,1,117,2,560,10079,1,1040,2,9,,,,,,,,,,,,,,,,2,150,1,,21.3999996185303,1,,,,,,,
4,1,117,2,560,10079,1,1080,1,,,7,2018,2,,,5,150,1,1,6.99228000640869,2500,1,10,2018,,,,,,1,,,,,,,
4,1,117,2,560,10079,2,1020,2,9,,,,,,,,,,,,,,,,12,150,1,,28.0330009460449,1,,,,,,,
4,1,117,2,560,10079,2,1121,1,,,11,2018,2,,,1,150,1,,34.9799995422363,2500,1,12,2018,,,,,,1,,,,,,,
4,1,117,2,560,10080,1,1020,2,9,,,,,,,,,,,,,,,,12,150,1,,28.0330009460449,1,,,,,,,
4,1,117,2,560,10080,1,1080,1,,,7,2018,2,,,4,150,1,1,6.99228000640869,3200,1,10,2018,,,,,,1,,,,,,,
4,1,117,2,560,10080,2,1020,2,9,,,,,,,,,,,,,,,,15,150,1,,28.0330009460449,1,,,,,,,
4,1,117,2,560,10080,2,1080,1,,,6,2018,2,,,4,150,1,1,6.99228000640869,2100,1,10,2018,,,,,,1,,,,,,,
4,1,105,2,638,10091,1,1020,2,9,,,,,,,,,,,,,,,,18,150,1,,28.0330009460449,2,,,,,,,
4,1,105,2,638,10091,1,1080,1,,,7,2018,2,,,6,130,10,1,9,6000,1,9,2018,,,,,,2,,,,,,,
