"zone","state","lga","sector","ea","hhid","s11eq12","s11eq19"
2,2,213,2,1406,29160,,
2,2,213,2,1406,29161,,
2,2,213,2,1406,29162,100,
2,2,213,2,1406,29163,100,
2,2,213,2,1406,29164,,
2,2,213,2,1406,29165,,150
2,2,213,2,1406,29166,,
2,2,213,2,1406,29167,,
2,2,213,2,1406,29168,,
2,2,215,2,814,29169,,300
2,2,215,2,814,29170,,100
2,2,215,2,814,29171,600,4000
2,2,215,2,814,29172,,600
2,2,215,2,814,29173,,300
2,2,215,2,814,29174,,100
2,2,215,2,814,29175,,100
2,2,215,2,814,29176,300,
2,2,215,2,814,29178,300,300
2,2,215,2,814,29179,,
2,2,218,2,1624,29181,,
2,2,218,2,1624,29183,,900
2,2,218,2,1624,29185,,
2,2,218,2,1624,29186,,100
2,2,218,2,1624,29187,,200
2,2,218,2,1624,29188,,
2,2,218,2,1624,29189,,
2,2,218,2,1624,29191,,
2,2,218,2,1624,29192,,100
2,2,219,2,124,29193,,1200
2,2,219,2,124,29194,,500
2,2,219,2,124,29195,,300
2,2,219,2,124,29196,,
2,2,219,2,124,29198,,
2,2,219,2,124,29199,,
2,2,219,2,124,29200,,500
2,2,219,2,124,29202,,200
2,2,219,2,124,29203,,
2,2,219,2,124,29204,,200
2,2,220,2,112,29212,,
2,2,221,1,750,29217,,
2,2,221,1,750,29218,,300
2,2,221,1,750,29219,,
2,2,221,1,750,29220,,10000
2,2,221,1,750,29223,,
2,2,221,1,750,29224,,300
2,2,221,1,750,29226,,100
2,2,221,1,750,29228,2000,
5,3,316,2,874,30022,,1000
5,3,316,2,874,30023,200,
5,3,316,2,874,30024,,1200
5,3,305,2,0,30028,200,250
5,3,316,2,0,30029,,800
5,3,331,1,0,30041,100,100
5,3,307,1,634,30043,,
5,3,307,1,634,30044,100,100
5,3,307,1,634,30045,,650
5,3,307,1,634,30046,,
5,3,307,1,634,30047,,300
5,3,307,1,634,30048,200,
5,3,307,1,634,30049,,2500
5,3,318,2,1136,30081,,500
5,3,318,2,1136,30084,,
5,3,318,2,1136,30085,200,
5,3,318,2,1136,30086,100,100
5,3,318,2,1136,30087,200,
5,3,318,2,1136,30088,,1000
5,3,318,2,0,30089,,2200
5,3,318,2,1136,30090,,
5,3,313,2,70,30091,,400
5,3,331,1,0,30092,,300
5,3,313,2,70,30093,,2000
5,3,313,2,70,30094,200,
5,3,313,2,70,30097,,100
5,3,313,2,70,30098,,400
5,3,313,2,70,30099,1800,
5,3,313,2,70,30100,500,
5,3,301,1,1198,30101,,100
5,3,301,1,0,30102,,220
5,3,301,1,1198,30104,,1000
5,3,301,1,1198,30105,,500
