"zone","state","lga","sector","ea","hhid","plotid","cropcode","s11fq0","s11fq1","s11fq2a","s11fq3d_1","s11fq3d_2","s11fq3d_2_os","s11fq3d_3","s11fq3b","s11fq3aa","s11fq3c","s11fq3e","s11fq3f","s11fq3_1","s11fq3_2","s11fq4aa","s11fq4","s11fq5aa","s11fq6","s11fq7","s11fq7a","s11fq8aa","s11fq8a","s11fq8b","s11fq8c","s11fq8d","s11fq9","s11fq10","s11fq10_os","s11fq11a","s11fq11b","s11fq11b_os","s11fq11c","s11fq11d","s11fq12a","s11fq12b","s11fq12b_os","s11fq12c","s11fq12d","s11fq13"
4,1,117,2,560,10071,2,1123,1,100,2,150,211,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,200,211,,,,1
4,1,117,2,560,10071,2,2120,1,100,2,1,12,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,4,10,,,,1
4,1,117,2,560,10071,2,2190,1,100,2,5,80,"PIECES",1,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,10,100,,1,,1
4,1,117,2,560,10071,3,1020,1,100,1,3,100,,0,2,,,,,5,2017,,,,,,,1,4,2018,7,2018,2,,,10,150,,1,,8,150,,1,,1
4,1,117,2,560,10072,1,1020,1,100,2,3,100,,1,2,,,,,4,2018,,,,,,,2,,,,,,,,,,,,,12,170,,,,1
4,1,117,2,560,10072,1,1080,1,100,2,1,13,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,10,150,,1,1,1
4,1,117,2,560,10072,1,2190,1,100,2,5,80,"PIECES",1,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,20,100,,1,,1
4,1,117,2,560,10072,2,1020,1,100,2,7,100,,1,2,,,,,5,2018,,,,,,,2,,,,,,,,,,,,,25,170,,,,1
4,1,117,2,560,10072,2,1080,1,100,2,2,13,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,30,150,,1,1,1
4,1,117,2,560,10073,1,1020,1,100,2,5,100,,1,1,1,"ISADAP",2,5,4,2018,,,,,,,2,,,,,,,,,,,,,10,150,,1,,1
4,1,117,2,560,10073,1,1040,1,100,2,30,80,,1,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,40,80,,2,,1
4,1,117,2,560,10073,1,1080,1,100,2,2,13,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,10,140,,1,1,1
4,1,117,2,560,10073,1,1123,1,100,2,15,211,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,20,211,,,,1
4,1,117,2,560,10074,1,1020,1,100,2,1500,210,,,2,,,,,5,2018,,,,,,,2,,,,,,,,,,,,,35,170,,,,1
4,1,117,2,560,10074,1,1080,1,100,2,2,13,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,20,90,,1,1,1
4,1,117,2,560,10074,1,2120,1,100,2,2,12,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,10,10,,,,1
4,1,117,2,560,10074,1,2190,1,100,2,7,80,"PIECES",1,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,20,100,,1,,1
4,1,117,2,560,10075,1,1020,1,100,2,12,100,,1,2,,,,,3,2018,,,,,,,2,,,,,,,,,,,,,30,130,,10,,1
4,1,117,2,560,10075,1,1090,1,50,2,2,13,,,2,,,,,2,2018,,,,,,,,,,,,,,,,,,,,6,150,,1,1,2
4,1,117,2,560,10075,1,1121,1,33,2,25,211,,,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,48,211,,,,1
4,1,117,2,560,10075,2,1020,1,100,2,12,100,,1,2,,,,,3,2018,,,,,,,2,,,,,,,,,,,,,32,130,,10,,2
4,1,117,2,560,10075,2,1040,1,25,2,1,90,,1,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,3,90,,0,,1
4,1,117,2,560,10075,2,1080,1,100,2,5,13,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,5,150,,0,1,1
4,1,117,2,560,10076,1,1020,1,100,2,8,100,,1,2,,,,,3,2018,,,,,,,2,,,,,,,,,,,,,12,130,,10,,1
4,1,117,2,560,10076,1,1080,1,100,2,4,13,,,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,5,150,,0,1,1
4,1,117,2,560,10076,2,1020,1,100,2,7,100,,1,2,,,,,4,2018,,,,,,,2,,,,,,,,,,,,,12,130,,10,,1
4,1,117,2,560,10076,2,1040,1,25,2,1,10,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,3,140,,0,,1
4,1,117,2,560,10076,2,1080,1,100,2,4,13,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,5,150,,0,1,1
4,1,117,2,560,10077,1,1020,1,100,2,8,100,,0,2,,,,,4,2018,,,,,,,2,,,,,,,,,,,,,13,150,,1,,1
4,1,117,2,560,10077,1,1080,1,100,2,5,13,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,7,150,,1,1,1
4,1,117,2,560,10078,1,1020,1,100,2,8,100,,1,2,,,,,3,2018,,,,,,,2,,,,,,,,,,,,,18,130,,10,,2
4,1,117,2,560,10078,1,1040,1,25,2,0.5,10,,,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,2,10,,,,2
4,1,117,2,560,10078,1,1080,1,100,2,3,13,,,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,5,10,,,1,2
4,1,117,2,560,10079,1,1020,1,100,2,8,100,,1,2,,,,,3,2018,,,,,,,2,,,,,,,,,,,,,15,130,,10,,2
4,1,117,2,560,10079,1,1040,1,25,2,1,10,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,3,10,,,,1
4,1,117,2,560,10079,1,1080,1,100,2,4,13,,,2,,,,,3,2018,,,,,,,,,,,,,,,,,,,,4,150,,0,1,2
4,1,117,2,560,10079,2,1020,1,100,2,5,100,,1,2,,,,,3,2018,,,,,,,2,,,,,,,,,,,,,10,130,,10,,2
4,1,117,2,560,10079,2,1121,1,25,2,20,211,,,2,,,,,3,2017,,,,,,,,,,,,,,,,,,,,38,211,,,,2
4,1,117,2,560,10080,1,1020,1,100,2,5,100,,2,2,,,,,4,2018,,,,,,,2,,,,,,,,,,,,,12,150,,2,,1
4,1,117,2,560,10080,1,1080,1,100,2,4,13,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,9,150,,1,1,1
4,1,117,2,560,10080,2,1020,1,100,2,7,100,,1,2,,,,,4,2018,,,,,,,2,,,,,,,,,,,,,15,150,,2,,1
4,1,117,2,560,10080,2,1080,1,100,2,5,13,,,2,,,,,4,2018,,,,,,,,,,,,,,,,,,,,10,150,,1,1,1
