"zone","state","lga","sector","ea","hhid","livestock_cd","s11jq1a","s11jq2_1","s11jq2_2","s11jq2_3","s11jq2_4","s11jq2_5","s11jq2_6","s11jq2_7","s11jq2_8","s11jq2_9","s11jq2_10","s11jq2_11","s11jq2_os","s11jq3","s11jq4","s11jq5_1","s11jq5_2","s11jq5_3","s11jq5_4","s11jq5_5","s11jq5_6","s11jq5_7","s11jq5_8","s11jq5_9","s11jq5_10","s11jq5_11","s11jq5_os","s11jq6","s11jq7","s11jq8","s11jq11","s11jq11_os","s11jq12","s11jq13","s11jq14","s11jq15_1","s11jq15_2","s11jq15_3","s11jq15_4","s11jq15_5","s11jq15_6","s11jq15_7","s11jq15_8","s11jq15_9","s11jq15_10","s11jq16","s11jq17","s11jq18","s11jq19","s11jq20","s11jq21","s11jq22","s11jq23"
4,1,109,2,1792,19104,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,109,2,1792,19105,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,109,2,1792,19107,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,109,2,1996,19110,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,7,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,109,2,1996,19112,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,109,2,1996,19115,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,109,2,1996,19115,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,109,2,1996,19116,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,109,2,1996,19117,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,109,2,1996,19119,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,109,2,1996,19120,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,1,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,110,2,338,19121,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,110,2,338,19122,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,110,2,338,19127,3,1,0,0,0,0,1,0,0,0,0,0,0,,2,2,,,,,,,,,,,,,,2,,5,,2,,3,1,,,,,,,,,,2,,2,,2,,2,
4,1,110,2,338,19127,5,1,1,0,0,0,0,0,0,0,0,0,0,,3,2,,,,,,,,,,,,,,2,,5,,2,,3,1,,,,,,,,,,2,,2,,2,,2,
4,1,111,2,118,19133,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,111,2,118,19135,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,111,2,118,19144,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,7,,2,,2,2,,,,,,,,,,2,,2,,2,,2,
4,1,112,2,556,19159,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,,2,,3,1,2,3,4,,,,,,,2,,2,,2,,2,
4,1,113,2,6,19169,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,,2,,2,1,2,4,,,,,,,,1,4000,2,,2,,2,
4,1,113,2,6,19170,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,3,1,3,4,,,,,,,,2,,2,,2,,2,
4,1,113,2,6,19177,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,113,2,6,19178,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,113,2,44,19181,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,113,2,44,19182,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,113,2,44,19183,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,113,2,44,19186,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,4,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,113,2,44,19191,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,113,2,284,19202,5,2,,,,,,,,,,,,,,1,1,0,0,0,0,0,0,0,0,0,0,,6500,1,6000,3,,1,1500,4,1,2,,,,,,,,,1,35000,2,,2,,2,
4,1,113,2,284,19204,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,3,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,115,1,176,19206,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,,2,,4,2,,,,,,,,,,2,,2,,2,,2,
4,1,115,1,176,19213,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,115,1,176,19215,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,117,2,800,19230,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,,2,,4,2,,,,,,,,,,1,6500,2,,2,,2,
4,1,117,2,800,19231,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,4,,2,,4,1,,,,,,,,,,2,,2,,2,,2,
4,1,117,2,800,19231,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,4,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,117,2,800,19232,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,1,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,107,2,1322,19254,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,1,,2,,1,,,,,,,,,,,,,2,,2,,2,
4,1,113,2,6,19269,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,1,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,2,209,2,1040,20001,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,1,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,2,209,2,1040,20002,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,2,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,34,3401,2,0,20003,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,7,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,34,3401,2,0,20003,5,1,1,0,0,0,0,0,0,0,0,0,0,,0,1,1,0,0,0,0,0,0,0,0,0,0,,200,2,,6,,2,,4,2,,,,,,,,,,2,,2,,2,,2,
2,2,209,2,1040,20007,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,7,,2,,2,6,,,,,,,,,,1,10000,2,,2,,2,
2,2,209,2,1040,20007,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,7,,2,,2,6,,,,,,,,,,2,,2,,2,,2,
2,2,209,2,1040,20008,3,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,7,,2,,2,6,,,,,,,,,,2,,2,,2,,2,
2,2,209,2,1040,20008,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,7,,2,,2,6,,,,,,,,,,2,,2,,2,,2,
2,34,209,2,0,20009,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,5,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,2,209,2,1040,20010,5,2,,,,,,,,,,,,,,2,,,,,,,,,,,,,,2,,7,,2,,4,3,4,6,,,,,,,,2,,2,,2,,2,
2,2,203,2,1224,20043,1,2,,,,,,,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,,500,1,850,7,,2,,1,,,,,,,,,,,,,2,,2,,2,
2,2,203,2,1224,20044,1,2,,,,,,,,,,,,,,1,0,0,1,0,0,0,0,0,0,0,0,,1500,1,1000,7,,2,,1,,,,,,,,,,,,,2,,2,,2,
