"zone","state","lga","sector","ea","cluster_id","item_cd","c7q1","c7q1_os","c7q2","c7q2_os","c7q3","c7q4__1","c7q4__2","c7q4__3","c7q4__4","c7q4__5","c7q4__6","c7q4__7","c7q4__8","c7q4__9","c7q4__10","c7q4_os"
5,10,1013,2,1054,"1013-1054",701,2,,,,,,,,,,,,,,,
5,10,1013,2,1054,"1013-1054",702,1,,10,,2,,,,,,,,,,,
5,10,1013,2,1054,"1013-1054",703,2,,,,,,,,,,,,,,,
5,10,1013,2,1054,"1013-1054",704,2,,,,,,,,,,,,,,,
5,10,1013,2,1054,"1013-1054",705,2,,,,,,,,,,,,,,,
5,10,1013,2,1054,"1013-1054",706,2,,,,,,,,,,,,,,,
5,10,1013,2,1054,"1013-1054",707,2,,,,,,,,,,,,,,,
5,10,1013,2,1054,"1013-1054",708,2,,,,,,,,,,,,,,,
5,10,1013,2,1054,"1013-1054",709,2,,,,,,,,,,,,,,,
5,10,1013,2,1054,"1013-1054",710,2,,,,,,,,,,,,,,,
5,10,1013,2,1054,"1013-1054",711,2,,,,,,,,,,,,,,,
5,10,1013,2,1054,"1013-1054",712,2,,,,,,,,,,,,,,,
5,10,1013,2,1054,"1013-1054",713,2,,,,,,,,,,,,,,,
5,10,1013,2,1054,"1013-1054",714,2,,,,,,,,,,,,,,,
5,10,1013,2,1054,"1013-1054",715,2,,,,,,,,,,,,,,,
5,10,1013,2,410,"1013-410",701,2,,,,,,,,,,,,,,,
5,10,1013,2,410,"1013-410",702,2,,,,,,,,,,,,,,,
5,10,1013,2,410,"1013-410",703,2,,,,,,,,,,,,,,,
5,10,1013,2,410,"1013-410",704,2,,,,,,,,,,,,,,,
5,10,1013,2,410,"1013-410",705,2,,,,,,,,,,,,,,,
5,10,1013,2,410,"1013-410",706,1,,1,,1,1,1,0,0,0,0,0,0,1,0,
5,10,1013,2,410,"1013-410",707,2,,,,,,,,,,,,,,,
5,10,1013,2,410,"1013-410",708,2,,,,,,,,,,,,,,,
5,10,1013,2,410,"1013-410",709,2,,,,,,,,,,,,,,,
5,10,1013,2,410,"1013-410",710,2,,,,,,,,,,,,,,,
5,10,1013,2,410,"1013-410",711,2,,,,,,,,,,,,,,,
5,10,1013,2,410,"1013-410",712,2,,,,,,,,,,,,,,,
5,10,1013,2,410,"1013-410",713,2,,,,,,,,,,,,,,,
5,10,1013,2,410,"1013-410",714,2,,,,,,,,,,,,,,,
5,10,1013,2,410,"1013-410",715,2,,,,,,,,,,,,,,,
5,10,1013,2,88,"1013-88",701,2,,,,,,,,,,,,,,,
5,10,1013,2,88,"1013-88",702,2,,,,,,,,,,,,,,,
5,10,1013,2,88,"1013-88",703,2,,,,,,,,,,,,,,,
5,10,1013,2,88,"1013-88",704,2,,,,,,,,,,,,,,,
5,10,1013,2,88,"1013-88",705,2,,,,,,,,,,,,,,,
5,10,1013,2,88,"1013-88",706,2,,,,,,,,,,,,,,,
5,10,1013,2,88,"1013-88",707,2,,,,,,,,,,,,,,,
5,10,1013,2,88,"1013-88",708,2,,,,,,,,,,,,,,,
5,10,1013,2,88,"1013-88",709,2,,,,,,,,,,,,,,,
5,10,1013,2,88,"1013-88",710,2,,,,,,,,,,,,,,,
5,10,1013,2,88,"1013-88",711,2,,,,,,,,,,,,,,,
5,10,1013,2,88,"1013-88",712,2,,,,,,,,,,,,,,,
5,10,1013,2,88,"1013-88",713,2,,,,,,,,,,,,,,,
5,10,1013,2,88,"1013-88",714,2,,,,,,,,,,,,,,,
5,10,1013,2,88,"1013-88",715,2,,,,,,,,,,,,,,,
5,10,1013,2,948,"1013-948",701,1,,10,,2,,,,,,,,,,,
5,10,1013,2,948,"1013-948",702,2,,,,,,,,,,,,,,,
5,10,1013,2,948,"1013-948",703,2,,,,,,,,,,,,,,,
5,10,1013,2,948,"1013-948",704,2,,,,,,,,,,,,,,,
5,10,1013,2,948,"1013-948",705,2,,,,,,,,,,,,,,,
5,10,1013,2,948,"1013-948",706,2,,,,,,,,,,,,,,,
5,10,1013,2,948,"1013-948",707,2,,,,,,,,,,,,,,,
5,10,1013,2,948,"1013-948",708,2,,,,,,,,,,,,,,,
5,10,1013,2,948,"1013-948",709,2,,,,,,,,,,,,,,,
5,10,1013,2,948,"1013-948",710,2,,,,,,,,,,,,,,,
5,10,1013,2,948,"1013-948",711,2,,,,,,,,,,,,,,,
5,10,1013,2,948,"1013-948",712,2,,,,,,,,,,,,,,,
5,10,1013,2,948,"1013-948",713,2,,,,,,,,,,,,,,,
5,10,1013,2,948,"1013-948",714,2,,,,,,,,,,,,,,,
5,10,1013,2,948,"1013-948",715,2,,,,,,,,,,,,,,,
5,10,1018,1,634,"1018-634",701,2,,,,,,,,,,,,,,,
5,10,1018,1,634,"1018-634",702,2,,,,,,,,,,,,,,,
5,10,1018,1,634,"1018-634",703,2,,,,,,,,,,,,,,,
5,10,1018,1,634,"1018-634",704,2,,,,,,,,,,,,,,,
5,10,1018,1,634,"1018-634",705,2,,,,,,,,,,,,,,,
5,10,1018,1,634,"1018-634",706,2,,,,,,,,,,,,,,,
5,10,1018,1,634,"1018-634",707,2,,,,,,,,,,,,,,,
5,10,1018,1,634,"1018-634",708,2,,,,,,,,,,,,,,,
5,10,1018,1,634,"1018-634",709,2,,,,,,,,,,,,,,,
5,10,1018,1,634,"1018-634",710,2,,,,,,,,,,,,,,,
5,10,1018,1,634,"1018-634",711,2,,,,,,,,,,,,,,,
5,10,1018,1,634,"1018-634",712,2,,,,,,,,,,,,,,,
5,10,1018,1,634,"1018-634",713,2,,,,,,,,,,,,,,,
