"zone","state","lga","sector","ea","hhid","s9q29a_1","s9q29a_2","s9q29a_3","s9q29a_os","s9q29_1","s9q29_2","s9q29_3","s9q29_os","s9q30a","s9q30_1","s9q30_2","s9q30_3","s9q30_os"
4,1,113,2,44,19191,,,,,,,,,2,,,,
4,1,113,2,44,19192,,,,,,,,,2,,,,
4,1,113,2,284,19193,4,,,,8,,,,,,,,
4,1,113,2,284,19194,4,96,10,"CAPITAL",10,1,7,,,,,,
4,1,113,2,284,19195,,,,,,,,,2,,,,
4,1,113,2,284,19196,4,,,,8,,,,,,,,
4,1,113,2,284,19197,,,,,,,,,2,,,,
4,1,113,2,284,19198,,,,,,,,,2,,,,
4,1,113,2,284,19199,,,,,,,,,2,,,,
4,1,113,2,284,19201,,,,,,,,,2,,,,
4,1,113,2,284,19202,,,,,,,,,1,1,4,8,
4,1,113,2,284,19204,,,,,,,,,2,,,,
4,1,115,1,176,19205,3,7,,,4,8,3,,,,,,
4,1,115,1,176,19206,7,8,,,8,7,3,,,,,,
4,1,115,1,176,19207,,,,,,,,,1,4,,,
4,1,115,1,176,19208,11,13,,,11,10,,,,,,,
4,1,115,1,176,19209,4,5,,,4,5,,,,,,,
4,1,115,1,176,19211,4,5,,,5,8,7,,,,,,
4,1,115,1,176,19213,,,,,,,,,2,,,,
4,1,115,1,176,19214,1,4,7,,4,6,8,,,,,,
4,1,115,1,176,19215,,,,,,,,,1,4,,,
4,1,115,1,550,19217,,,,,,,,,2,,,,
4,1,115,1,550,19218,1,,,,4,1,,,,,,,
4,1,115,1,550,19222,4,6,7,,4,6,8,,,,,,
4,1,115,1,550,19224,,,,,,,,,2,,,,
4,1,115,1,550,19225,7,8,3,,8,3,5,,,,,,
4,1,115,1,550,19226,,,,,,,,,1,4,6,7,
4,1,115,1,550,19227,4,5,,,5,7,8,,,,,,
4,1,115,1,550,19228,,,,,,,,,2,,,,
4,1,117,2,800,19230,1,3,12,,1,12,11,,,,,,
4,1,117,2,800,19231,,,,,,,,,2,,,,
4,1,117,2,800,19232,,,,,,,,,2,,,,
4,1,117,2,800,19234,,,,,,,,,2,,,,
4,1,117,2,800,19235,,,,,,,,,1,4,,,
4,1,117,2,800,19236,4,,,,4,,,,,,,,
4,1,117,2,800,19238,,,,,,,,,2,,,,
4,1,117,2,800,19239,,,,,,,,,2,,,,
4,1,102,1,46,19242,4,96,,"CAPITAL",10,4,,,,,,,
