"zone","state","lga","sector","ea","cluster_id","farmer_id","activity_cd","crop_code","c9q5","c9q6","c9q7","c9q8","c9q9","c9q10"
5,10,1022,1,386,"1022-386",1,5,1020,1,1200,1,1200,2,
5,10,1022,1,386,"1022-386",1,6,1020,1,1500,1,1500,2,
5,10,1022,1,386,"1022-386",1,7,1020,2,,1,1200,2,
5,10,1022,1,386,"1022-386",2,1,,1,1500,1,1500,2,
5,10,1022,1,386,"1022-386",2,2,,1,1500,1,1500,2,
5,10,1022,1,386,"1022-386",2,4,,1,1500,1,1500,2,
5,10,1022,1,386,"1022-386",2,5,1020,1,1200,1,1200,2,
5,10,1022,1,386,"1022-386",2,6,1020,1,1500,1,1500,2,
5,10,1022,1,386,"1022-386",2,7,1020,2,,1,1200,2,
5,10,1023,2,346,"1023-346",1,1,,1,1500,1,1500,2,
5,10,1023,2,346,"1023-346",1,2,,1,1500,1,1500,2,
5,10,1023,2,346,"1023-346",1,4,,1,1500,1,1500,2,
5,10,1023,2,346,"1023-346",1,5,2170,1,1000,1,1000,2,
5,10,1023,2,346,"1023-346",1,6,2170,1,1000,1,1000,2,
5,10,1023,2,346,"1023-346",2,1,,1,1500,1,1500,2,
5,10,1023,2,346,"1023-346",2,2,,1,1500,1,1500,2,
5,10,1023,2,346,"1023-346",2,4,,1,1500,1,1500,2,
5,10,1023,2,346,"1023-346",2,5,2170,1,1000,1,1000,2,
5,10,1023,2,346,"1023-346",2,6,2170,1,1000,1,1000,2,
5,10,1025,2,1774,"1025-1774",1,1,,1,2000,1,2000,2,
5,10,1025,2,1774,"1025-1774",1,2,,1,2000,1,2000,2,
5,10,1025,2,1774,"1025-1774",1,4,,1,2000,1,2000,2,
5,10,1025,2,1774,"1025-1774",1,5,1020,1,1500,1,1500,2,
5,10,1025,2,1774,"1025-1774",1,6,1020,1,2000,1,2000,2,
5,10,1025,2,1774,"1025-1774",1,7,1020,1,1500,1,1500,2,
5,10,1025,2,1774,"1025-1774",2,1,,1,2000,1,2000,2,
5,10,1025,2,1774,"1025-1774",2,2,,1,2000,1,2000,2,
5,10,1025,2,1774,"1025-1774",2,4,,1,2000,1,2000,2,
5,10,1025,2,1774,"1025-1774",2,5,1020,1,1500,1,1500,2,
5,10,1025,2,1774,"1025-1774",2,6,1020,1,2000,1,2000,2,
5,10,1025,2,1774,"1025-1774",2,7,1020,2,,1,1500,2,
4,1,104,2,1020,"104-1020",1,1,,1,1500,2,,2,
4,1,104,2,1020,"104-1020",1,2,,1,2000,2,,1,1500
4,1,104,2,1020,"104-1020",1,4,,1,1800,1,2000,2,
4,1,104,2,1020,"104-1020",2,1,,1,2000,2,,2,
4,1,104,2,1020,"104-1020",2,2,,1,1800,2,,1,1200
4,1,104,2,1020,"104-1020",2,4,,1,1800,1,2000,2,
4,1,104,2,412,"104-412",1,1,,1,1500,1,1000,2,
4,1,104,2,412,"104-412",1,2,,1,2000,1,1800,1,1000
4,1,104,2,412,"104-412",1,4,,1,1000,1,1500,2,
4,1,104,2,412,"104-412",1,6,1020,1,1200,1,1300,2,
4,1,104,2,412,"104-412",2,1,,1,1000,1,1000,2,
