"zone","state","lga","sector","ea","hhid","lid","s4cq2b","s4cq2b_os","s4cq18_1","s4cq18_2","s4cq18_3","s4cq4","s4cq4_os","s4cq19","s4cq20","s4cq21a","s4cq21b","s4cq22","s4cq23_1","s4cq23_2","s4cq23_3","s4cq23_os","s4cq24","s4cq25a","s4cq25b","s4cq26","s4cq7","s4cq8","s4cq8b","s4cq9","s4cq27a","s4cq27b","s4cq10","s4cq10b","s4cq11"
5,3,323,2,488,39127,1,3,,2,,,5,,100000,1,5,1,2,,,,,1,2,2,100000,1,1,2018,1,7,2018,,,124200
5,3,327,2,196,39146,1,3,,1,,,3,,500000,4,6,3,1,2,3,1,,,,,,,,,,,,,,
5,3,327,2,196,39152,1,6,,2,,,10,,30000,1,2,1,2,,,,,1,0,,30000,1,9,2017,2,,,12,2018,30000
5,3,327,2,196,39154,1,6,,2,,,6,,40000,3,,,2,,,,,2,,,,,,,,,,,,
5,3,327,2,246,39162,1,6,,2,,,5,,15000,1,1,2,2,,,,,1,0,,15000,2,6,2018,2,,,12,2018,27000
5,3,327,2,246,39166,1,2,,1,,,5,,50000,3,,,2,,,,,2,,,,,,,,,,,,
5,3,329,2,608,39168,1,6,,2,,,5,,30000,1,0,,2,,,,,1,2,1,30000,2,1,2018,1,4,2018,,,31000
5,3,329,2,608,39169,1,3,,1,,,5,,50000,1,3,2,2,,,,,1,3,2,50000,2,11,2017,1,6,2018,,,75000
5,3,329,2,608,39170,1,3,,1,,,2,,2000000,3,,,2,,,,,2,,,,,,,,,,,,
4,4,421,1,800,40171,1,6,,2,,,5,,100000,1,4,1,2,,,,,1,0,,100000,2,6,2018,2,,,8,2018,125000
4,4,421,1,800,40175,1,7,,3,,,5,,80000,4,3,2,1,1,,,,,,,,,,,,,,,,
4,4,402,2,1080,40203,1,5,,1,,,5,,100000,1,0,,2,,,,,1,0,,100000,1,7,2017,2,,,7,2019,150000
4,4,402,2,874,49004,1,4,,1,,,2,,30000,4,1,3,1,4,,,,,,,,,,,,,,,,
4,4,402,2,874,49007,1,7,,1,,,13,"FOR AGRICULTURE",15000,1,2,1,2,,,,,1,2,1,15000,1,7,2017,1,10,2017,,,25000
4,4,405,2,716,49018,1,5,,2,,,13,"INPUT FOR FARM LABOURERS",40000,1,0,,2,,,,,1,1,3,40000,1,5,2018,2,,,10,2018,50000
4,4,412,1,1562,49038,1,6,,1,,,2,,10000,1,0,,2,,,,,1,0,,10000,1,7,2017,1,9,2017,,,13000
4,4,412,1,1562,49039,1,6,,1,,,2,,2000,1,0,,2,,,,,1,0,,2000,1,6,2018,2,,,9,2018,2300
4,4,412,1,1562,49043,1,6,,1,,,3,,150000,1,1,3,2,,,,,1,1,3,150000,1,1,2018,1,5,2018,,,152000
4,4,417,1,114,49077,1,1,,1,,,8,,1000000,1,3,3,2,,,,,1,3,3,1000000,1,9,2017,2,,,5,2019,1100000
4,4,419,1,1006,49088,1,3,,1,,,12,,400000,1,2,2,2,,,,,1,2,2,400000,1,7,2017,1,7,2018,,,550000
4,4,419,1,1006,49094,1,3,,1,,,4,,400000,1,5,1,2,,,,,1,5,1,400000,2,7,2018,2,,,5,2019,436000
4,4,405,2,716,49111,1,5,,5,,,13,"TO REPAY DEBT OWED BY SON",84000,1,0,,2,,,,,1,0,,84000,1,5,2018,2,,,9,2018,100800
4,4,417,1,114,49122,1,9,"IS A CHURCH, SHE WENT TO SEEK FINACIAL HELP",2,,,12,,30000,4,0,,1,6,,,,,,,,,,,,,,,,
4,4,407,1,680,49132,1,6,,3,,,2,,30000,1,0,,2,,,,,1,0,,30000,2,3,2018,2,,,9,2018,45000
4,4,407,1,680,49132,2,1,,1,,,2,,15000,4,0,,1,7,,,"THE TIME HE WENT FOR LOAN WAS LATE",,,,,,,,,,,,,
4,4,407,1,680,49134,1,6,,2,,,3,,50000,1,0,,2,,,,,1,0,,50000,1,2,2018,2,,,12,2018,100000
4,4,407,1,680,49135,1,6,,2,,,11,,3000,1,0,,2,,,,,1,0,,3000,2,8,2018,2,,,9,2018,3000
4,4,407,1,680,49137,1,2,,2,,,2,,10000,1,1,1,2,,,,,1,0,,10000,1,10,2017,2,,,10,2018,15000
2,5,502,2,3878,50032,1,6,,1,,,12,,10000,1,0,,2,,,,,1,0,,10000,1,7,2017,1,8,2017,,,10000
2,5,502,2,0,50037,1,9,"STATE GOVERNMENT",2,10,,2,,200000,3,,,2,,,,,2,,,,,,,,,,,,
2,5,513,2,348,50053,1,6,,1,,,2,,20000,1,0,,2,,,,,1,0,,20000,1,5,2018,2,,,2,2019,20000
2,5,513,2,348,50057,1,6,,1,,,1,,65000,1,0,,2,,,,,1,0,,65000,2,2,2018,1,7,2018,,,65000
2,5,513,2,348,50058,1,6,,1,,,7,,40000,1,0,,2,,,,,1,2,2,40000,1,4,2018,1,5,2018,,,40000
2,5,513,2,348,50058,2,6,,1,,,11,,30000,1,0,,2,,,,,1,0,,30000,1,6,2018,2,,,1,2019,30000
2,5,513,2,348,50058,3,6,,1,,,2,,20000,1,0,,2,,,,,1,3,1,20000,2,7,2018,2,,,8,2018,20000
2,5,513,2,348,50060,1,6,,3,,,12,,10000,1,0,,2,,,,,1,0,,10000,1,7,2018,2,,,8,2018,10000
2,5,513,2,348,50060,2,6,,3,,,12,,10000,1,0,,2,,,,,1,0,,10000,1,7,2018,2,,,8,2018,10000
2,5,508,2,984,50094,1,6,,1,,,2,,10000,1,0,,2,,,,,1,0,,10000,1,6,2018,2,,,12,2018,10000
2,5,508,2,984,50099,1,6,,1,,,2,,20000,4,0,,1,7,,,"HE DOES NOT HAVE MONEY TOO",,,,,,,,,,,,,
