"zone","state","lga","sector","ea","hhid","s12q8a","s12q8b","s12q8c","s12q8d","s12q8e","s12q8f","s12q8g","s12q8h","s12q8i","s12q8j","s12q2a","s12q2b1","s12q2b","s12q5","s12q6__1","s12q6__2","s12q6__3","s12q6__4","s12q6__5","s12q6__6","s12q6__7","s12q6__8","s12q6__9","s12q6__10","s12q6__11","s12q6__12","s12q6__13","s12q6__14","s12q6__15","s12q7_1","s12q7_2","s12q7_3","s12q7_os","Sec12_resp"
4,1,108,2,904,10104,1,1,1,1,1,1,1,2,1,1,3,,,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,12,,,,1
4,1,108,2,904,10105,2,2,2,2,2,2,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,108,2,904,10106,2,2,2,2,2,2,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,108,2,904,10107,2,2,2,2,2,2,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,108,2,904,10108,1,1,1,1,1,1,1,2,1,2,3,4,,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,,,,4
4,1,108,2,904,10109,2,2,2,2,2,2,2,2,2,2,3,3,,2,,,,,,,,,,,,,,,,,,,,1
4,1,108,2,904,10110,1,1,1,1,1,1,2,2,1,2,3,4,,2,,,,,,,,,,,,,,,,,,,,1
4,1,102,1,46,19001,1,1,1,2,1,2,2,2,2,2,3,,3,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,5,12,,,1
4,1,102,1,46,19002,2,2,2,2,2,2,2,2,2,2,3,3,,2,,,,,,,,,,,,,,,,,,,,1
4,1,102,1,46,19005,2,2,2,2,2,2,2,2,2,2,3,3,,2,,,,,,,,,,,,,,,,,,,,2
4,1,102,1,46,19006,1,1,1,1,1,1,2,2,2,2,3,3,3,2,,,,,,,,,,,,,,,,,,,,2
4,1,102,1,46,19007,2,2,1,2,1,2,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,102,1,46,19008,1,1,1,1,1,1,1,2,1,2,3,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,102,1,46,19009,1,1,1,2,1,2,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,2
4,1,102,1,46,19010,1,1,1,1,1,1,1,2,1,2,2,3,,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,5,12,,,1
4,1,102,1,46,19012,1,1,1,1,1,1,2,2,1,2,3,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,,,,1
4,1,102,1,806,19014,2,2,2,2,2,2,2,2,2,2,3,,,2,,,,,,,,,,,,,,,,,,,,1
4,1,102,1,806,19015,1,1,1,1,1,1,1,1,1,1,2,3,3,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,12,,,,1
