"zone","state","lga","sector","ea","hhid","inputid","s11c3q2","s11c3q3_1","s11c3q3_2","s11c3q3_3","s11c3q4a","s11c3q4b","s11c3q4_conv","s11c3q5","s11c3q6","s11c3q6b","s11c3q6b_os","s11c3q7","s11c3q8a","s11c3q8b","s11c2q29","s11c3q10"
4,1,109,2,1214,19088,3,1,1,,,4,12,50,28000,4,6,,4,,,,
4,1,109,2,1214,19088,5,1,1,,,2,3,1,3000,2,6,,4,,,,
4,1,109,2,1214,19088,6,1,1,,,10,3,1,15000,10,6,,4,,,,
4,1,109,2,1214,19089,3,1,1,,,4,12,50,36000,4,6,,4,,,,
4,1,109,2,1214,19089,5,1,1,,,600,2,0.00100000004749745,750,600,6,,4,,,,
4,1,109,2,1214,19091,2,1,1,,,4,12,50,36000,4,6,,4,,,,
4,1,109,2,1214,19091,3,1,1,,,1,12,50,7500,1,6,,4,,,,
4,1,109,2,1214,19092,2,1,2,,,1,12,50,9000,1,6,,5,,,,
4,1,109,2,1214,19093,2,1,1,,,5,12,50,45000,5,6,,4,,,,
4,1,109,2,1214,19093,3,1,1,,,5,12,50,35000,5,6,,4,,,,
4,1,109,2,1214,19094,2,1,1,2,,6,12,50,56000,6,6,,5,,,,
4,1,109,2,1214,19095,2,1,2,,,2,12,50,17000,2,6,,3,,,,
4,1,109,2,1214,19095,3,1,2,,,2,12,50,16000,2,6,,3,,,,
4,1,109,2,1214,19095,5,1,2,,,1,3,1,2000,1,6,,3,,,,
4,1,109,2,1214,19096,2,1,1,,,2.5,12,50,22500,2.5,6,,4,,,,
4,1,109,2,1792,19097,1,2,,,,,,,,,,,,75,1,,
4,1,109,2,1792,19097,2,1,1,,,2,12,50,16000,2,6,,4,,,,
4,1,109,2,1792,19098,2,1,1,,,2,12,50,16000,2,6,,5,,,,
4,1,109,2,1792,19100,2,1,1,2,,0.5,12,50,4500,0.5,6,,4,,,,
4,1,109,2,1792,19100,3,1,1,,,0.5,12,50,4000,0.5,6,,4,,,,
4,1,109,2,1792,19101,1,1,1,,,2,10,10,800,2,2,,3,0,,,
4,1,109,2,1792,19101,3,1,1,,,2,12,50,15000,2,6,,4,,,,
4,1,109,2,1792,19101,5,1,1,,,400,2,0.00100000004749745,600,400,6,,4,,,,
4,1,109,2,1792,19103,1,1,2,,,2,12,50,2500,2,6,,2,0,,,
4,1,109,2,1792,19103,2,1,2,,,3,12,50,27000,3,6,,2,,,,
4,1,109,2,1792,19104,1,1,1,,,5,12,50,6750,5,6,,5,0,,,
4,1,109,2,1792,19104,2,1,1,,,6,12,50,54000,6,6,,5,,,,
4,1,109,2,1792,19105,1,1,1,,,6,12,50,9000,6,6,,4,0,,,
4,1,109,2,1792,19105,3,1,1,,,6,12,50,42000,6,6,,4,,,,
4,1,109,2,1792,19106,2,1,7,,,1,12,50,8000,1,6,,4,,,,
4,1,109,2,1792,19107,1,2,,,,,,,,,,,,0,,,
4,1,109,2,1792,19107,3,1,1,,,1,12,50,7000,1,6,,4,,,,
4,1,109,2,1996,19110,3,1,1,,,2,12,50,15000,2,6,,6,,,,
4,1,109,2,1996,19111,3,1,1,,,2,12,50,15000,2,6,,2,,,,
4,1,109,2,1996,19112,2,1,1,,,2,12,50,16000,2,6,,6,,,,
4,1,109,2,1996,19112,3,1,1,,,1,11,25,3250,1,6,,6,,,,
4,1,109,2,1996,19112,5,1,1,,,1.5,3,1,2250,1.5,6,,6,,,,
4,1,109,2,1996,19113,3,1,1,,,2,12,50,13000,2,6,,6,,,,
4,1,109,2,1996,19115,2,1,1,,,2,12,50,20000,2,6,,1,,,,
4,1,109,2,1996,19116,1,1,2,,,2,12,50,1600,2,6,,2,0,,,
4,1,109,2,1996,19116,2,1,2,,,4.5,12,50,40500,4.5,6,,2,,,,
4,1,109,2,1996,19117,1,1,1,,,5,12,50,5000,4,4,,0,4,12,,
4,1,109,2,1996,19117,2,1,1,,,4.5,12,50,37500,4.5,6,,6,,,,
4,1,109,2,1996,19117,3,1,1,,,3.5,12,50,21000,3.5,6,,6,,,,
4,1,109,2,1996,19117,5,1,1,,,0.5,3,1,750,0.5,1,,1,,,,
4,1,109,2,1996,19118,2,1,1,,,2,12,50,16000,2,6,,6,,,,
4,1,109,2,1996,19118,3,1,1,,,2,11,25,6500,2,6,,6,,,,
4,1,109,2,1996,19119,2,1,1,2,,4.5,12,50,40500,4.5,6,,6,,,,
4,1,109,2,1996,19119,3,1,1,2,,4.5,12,50,33750,4.5,6,,6,,,,
4,1,109,2,1996,19119,5,1,1,2,,1,3,1,1800,1,6,,6,,,,
4,1,110,2,338,19129,6,1,2,,,3,3,1,5000,3,6,,0,,,,
4,1,111,2,118,19133,2,1,1,,,3,12,50,27000,0,6,,0,,,,
4,1,111,2,118,19135,2,1,1,,,2,12,50,14000,2,3,,0,,,,
4,1,111,2,118,19135,6,1,1,,,0.5,3,1,1200,0.5,4,,0,,,,
4,1,111,2,118,19136,2,1,2,,,1.5,11,25,4850,1.5,6,,0,,,,
4,1,111,2,118,19137,1,1,1,,,1,11,25,1500,1,6,,15,0,,,
4,1,111,2,118,19137,2,1,1,,,1,11,25,3500,1,6,,20,,,,
