"zone","state","lga","sector","ea","hhid","item_cd","s7aq1","s7aq2"
4,1,111,1,1146,10038,6,2,
4,1,111,1,1146,10038,7,1,300
4,1,111,1,1146,10038,8,2,
4,1,111,1,1146,10038,9,2,
4,1,111,1,1146,10040,1,2,
4,1,111,1,1146,10040,2,1,2100
4,1,111,1,1146,10040,3,2,
4,1,111,1,1146,10040,4,2,
4,1,111,1,1146,10040,5,1,1500
4,1,111,1,1146,10040,6,2,
4,1,111,1,1146,10040,7,1,300
4,1,111,1,1146,10040,8,2,
4,1,111,1,1146,10040,9,2,
4,1,102,1,1690,10051,1,2,
4,1,102,1,1690,10051,2,1,1250
4,1,102,1,1690,10051,3,2,
4,1,102,1,1690,10051,4,2,
4,1,102,1,1690,10051,5,1,300
4,1,102,1,1690,10051,6,2,
4,1,102,1,1690,10051,7,2,
4,1,102,1,1690,10051,8,2,
4,1,102,1,1690,10051,9,1,500
4,1,102,1,1690,10053,1,2,
4,1,102,1,1690,10053,2,1,2400
4,1,102,1,1690,10053,3,2,
4,1,102,1,1690,10053,4,2,
4,1,102,1,1690,10053,5,1,400
4,1,102,1,1690,10053,6,1,350
4,1,102,1,1690,10053,7,1,250
4,1,102,1,1690,10053,8,1,240
4,1,102,1,1690,10053,9,2,
4,1,102,1,1690,10054,1,2,
4,1,102,1,1690,10054,2,2,
4,1,102,1,1690,10054,3,2,
4,1,102,1,1690,10054,4,2,
4,1,102,1,1690,10054,5,1,300
4,1,102,1,1690,10054,6,2,
4,1,102,1,1690,10054,7,1,400
4,1,102,1,1690,10054,8,1,160
4,1,102,1,1690,10054,9,2,
4,1,102,1,0,10055,1,2,
4,1,102,1,0,10055,2,1,200
4,1,102,1,0,10055,3,2,
4,1,102,1,0,10055,4,2,
4,1,102,1,0,10055,5,1,100
4,1,102,1,0,10055,6,2,
4,1,102,1,0,10055,7,2,
4,1,102,1,0,10055,8,2,
4,1,102,1,0,10055,9,2,
4,1,102,1,1690,10056,1,2,
4,1,102,1,1690,10056,2,2,
4,1,102,1,1690,10056,3,2,
4,1,102,1,1690,10056,4,2,
4,1,102,1,1690,10056,5,2,
4,1,102,1,1690,10056,6,2,
4,1,102,1,1690,10056,7,1,300
4,1,102,1,1690,10056,8,1,200
4,1,102,1,1690,10056,9,2,
4,1,102,1,1690,10057,1,2,
4,1,102,1,1690,10057,2,1,1200
4,1,102,1,1690,10057,3,2,
4,1,102,1,1690,10057,4,2,
4,1,102,1,1690,10057,5,1,300
4,1,102,1,1690,10057,6,2,
4,1,102,1,1690,10057,7,2,
4,1,102,1,1690,10057,8,1,240
4,1,102,1,1690,10057,9,2,
4,1,102,1,1690,10058,1,2,
4,1,102,1,1690,10058,2,2,
4,1,102,1,1690,10058,3,2,
