"zone","state","lga","sector","ea","hhid","livestock_cd","animal_cd","s11k3q1","s11k3q2","s11k3q2a","s11k3q3","s11k3q4","s11k3q4a","s11k3q5","s11k3q6","s11k3q7_1","s11k3q7_2","s11k3q7_3","s11k3q8"
5,3,313,2,70,30098,5,114,2,,,,,,,,,,,
5,3,301,1,1198,30105,5,114,1,2,1,4,4,,2,,,,,
5,3,301,1,1198,30106,5,114,1,2,1,5,4,20,2,,,,,
5,3,305,2,1542,30121,5,114,1,2,1,5,2,12,2,,,,,
5,3,305,2,1542,30122,5,114,1,1,1,7,0,,,,,,,
5,3,305,2,1542,30123,5,114,1,2,1,7,2,10,2,,,,,
5,3,305,2,1542,30127,5,114,1,3,3,5,3,45,1,16,6,,,800
5,3,305,2,1542,30128,5,114,1,2,3,6,2,14,2,,,,,
5,3,311,2,20,30133,5,114,1,1,2,3,1,3,2,,,,,
5,3,311,2,20,30140,5,114,1,1,1,5,1,10,2,,,,,
5,3,302,2,302,39003,5,114,2,,,,,,,,,,,
5,3,305,2,1164,39013,5,114,1,3,3,12,2,17,2,,,,,
5,3,308,2,102,39023,5,114,2,,,,,,,,,,,
5,3,308,2,102,39028,5,114,1,2,2,5,2,18,2,,,,,
5,3,309,2,698,39037,5,114,1,4,1,6,6,20,2,,,,,
5,3,309,2,698,39045,5,114,1,5,2,6,2,6,2,,,,,
5,3,318,2,56,39079,5,114,1,1,2,8,1,8,2,,,,,
5,3,318,2,56,39081,5,114,1,3,3,50,2,35,1,20,2,,,1000
5,3,304,2,10,39089,5,114,1,2,3,5,1,18,2,,,,,
5,3,304,2,10,39090,5,114,1,4,2,12,4,48,1,15,1,,,1050
5,3,304,2,184,39101,5,114,1,3,2,5,0,,,,,,,
5,3,304,2,184,39103,5,114,1,4,2,7,3,46,1,13,1,,,1040
5,3,320,2,266,39108,5,114,1,2,1,5,2,17,2,,,,,
5,3,320,2,266,39116,5,114,1,3,3,4,2,6,1,4,1,,,200
5,3,323,2,488,39125,5,114,1,2,3,2,1,10,2,,,,,
5,3,323,2,488,39127,5,114,1,2,2,5,1,10,2,,,,,
5,3,326,2,502,39137,5,114,1,3,1,3,4,18,2,,,,,
5,3,326,2,502,39140,5,114,1,3,2,5,4,20,2,,,,,
5,3,327,2,196,39151,5,114,1,2,2,2,1,9,2,,,,,
5,3,327,2,196,39152,5,114,1,3,2,4,1,13,1,6,2,,,240
5,3,327,2,196,39153,5,114,1,3,2,4,2,24,1,10,1,,,400
5,3,327,2,196,39154,5,114,2,,,,,,,,,,,
5,3,327,2,246,39156,5,114,1,2,1,5,3,20,2,,,,,
5,3,327,2,246,39157,5,114,1,2,1,5,2,12,2,,,,,
5,3,327,2,246,39159,5,114,1,1,2,5,2,16,2,,,,,
5,3,327,2,246,39161,5,114,1,1,3,6,2,12,2,,,,,
5,3,327,2,246,39162,5,114,2,,,,,,,,,,,
5,3,327,2,246,39165,5,114,2,,,,,,,,,,,
5,3,329,2,608,39171,5,114,2,,,,,,,,,,,
5,3,329,2,608,39174,5,114,1,4,2,6,3,,2,,,,,
5,3,329,2,608,39177,5,114,2,,,,,,,,,,,
5,3,316,2,910,39186,5,114,1,2,1,5,2,15,2,,,,,
4,4,421,1,800,40172,5,114,1,3,1,10,2,10,2,,,,,
4,4,421,1,800,40175,5,114,1,3,2,10,2,10,2,,,,,
4,4,421,1,800,40177,5,114,2,,,,,,,,,,,
4,4,421,1,800,40178,5,114,1,4,1,5,1,9,2,,,,,
4,4,402,2,1080,40202,5,114,2,,,,,,,,,,,
4,4,402,2,1080,40203,5,114,1,1,2,6,1,6,2,,,,,
