"zone","state","lga","sector","ea","hhid","cropcode","indiv","phl_q01b","phl_q01c","phl_q01d__1","phl_q01d__2","phl_q01d__3","phl_q01d__4"
2,2,203,2,1224,20048,1110,1,1,3,1,0,0,0
2,2,203,2,1224,20048,1110,5,1,3,1,0,0,0
2,2,203,2,1224,20049,1080,15,4,4,1,0,0,0
2,2,203,2,1224,20049,1121,15,5,5,1,0,0,0
2,2,203,2,1224,20050,1070,2,3,8,1,0,0,0
2,2,203,2,1224,20050,1070,1,3,6,1,0,0,1
2,2,210,2,1300,20061,1070,5,5,3,1,0,0,0
2,2,210,2,1300,20061,1070,1,5,2,1,0,0,0
2,2,210,2,1300,20061,1070,2,5,3,1,0,0,0
2,2,210,2,1300,20061,1070,4,5,3,1,0,0,0
2,2,210,2,1300,20061,1080,2,9,3,1,0,0,0
2,2,210,2,1300,20061,1080,4,6,3,1,0,0,0
2,2,210,2,1300,20061,1080,5,6,3,1,0,0,0
2,2,210,2,1300,20061,1080,6,6,3,1,0,0,0
2,2,210,2,1300,20061,1080,1,9,3,1,0,0,0
2,2,210,2,1300,20062,1060,1,5,3,1,0,0,0
2,2,210,2,1300,20062,1060,2,5,3,1,0,0,0
2,2,210,2,1300,20062,1070,1,10,3,1,0,0,0
2,2,210,2,1300,20062,1070,2,12,3,1,0,0,0
2,2,210,2,1300,20062,1080,2,7,4,1,0,0,0
2,2,210,2,1300,20062,1080,1,7,4,1,0,0,0
2,2,210,2,1300,20062,1110,2,6,3,1,0,0,0
2,2,210,2,1300,20062,1110,1,6,2,1,0,0,0
2,2,210,2,1300,20063,1060,1,10,3,1,0,0,0
2,2,210,2,1300,20063,1070,1,5,4,1,0,0,0
2,2,210,2,1300,20063,1080,1,6,2,1,0,0,0
2,2,210,2,1300,20064,1010,1,4,3,1,0,0,0
2,2,210,2,1300,20064,1070,1,3,2,1,0,0,0
2,2,210,2,1300,20064,1080,1,3,4,1,0,0,0
2,2,210,2,1300,20065,1060,2,4,5,1,0,0,0
2,2,210,2,1300,20065,1060,4,4,5,1,0,0,0
2,2,210,2,1300,20065,1070,2,1,5,1,0,0,0
2,2,210,2,1300,20065,1070,1,1,5,1,0,0,0
2,2,210,2,1300,20065,1070,4,1,5,1,0,0,0
2,2,210,2,1300,20065,1080,2,1,3,1,0,0,0
2,2,210,2,1300,20065,1080,4,1,3,1,0,0,0
2,2,210,2,1300,20065,1080,1,1,3,1,0,0,0
2,2,210,2,1300,20068,1060,2,12,5,1,0,0,0
2,2,210,2,1300,20068,1060,5,10,5,1,0,0,0
2,2,210,2,1300,20068,1060,3,12,5,1,0,0,0
2,2,210,2,1300,20068,1070,3,5,6,1,0,0,0
2,2,210,2,1300,20068,1070,2,6,5,1,0,1,0
2,2,210,2,1300,20068,1070,5,5,6,1,0,0,0
2,2,210,2,1300,20068,1080,5,1,4,1,0,0,0
2,2,210,2,1300,20068,1080,3,3,4,1,0,1,0
2,2,210,2,1300,20068,1080,2,3,3,1,0,1,0
2,2,210,2,1300,20069,1060,4,12,6,1,0,0,0
2,2,210,2,1300,20069,1060,2,15,6,1,0,0,0
2,2,210,2,1300,20069,1060,5,10,4,1,0,0,0
2,2,210,2,1300,20069,1060,3,15,6,1,0,0,0
