"zone","state","lga","sector","ea","hhid","fishid","sa9aq1","sa9aq2","sa9aq3a","sa9aq3b","sa9aq4","sa9aq5","sa9aq6a","sa9aq6b","sa9aq7","sa9aq8a","sa9aq8b"
3,17,1701,2,10,179001,1,1,9,6,141,1,5,1,141,12000,7,92
3,17,1701,2,10,179001,2,2,,,,,,,,,,
3,17,1701,2,10,179002,1,1,5,10,92,1,3,2,92,200,2,92
3,17,1701,2,10,179002,2,2,,,,,,,,,,
3,17,1701,2,10,179006,1,1,30,7,151,1,30,7,151,5000,3,91
3,17,1701,2,10,179006,2,2,,,,,,,,,,
3,18,1805,2,674,189039,1,1,52,15,140,1,49,12,140,4000,3,140
3,18,1805,2,674,189039,2,2,,,,,,,,,,
3,18,1805,2,674,189042,1,2,,,,,,,,,,
3,18,1805,2,674,189042,2,1,,103,81,1,,80,81,,20,81
3,18,1805,2,674,189043,1,1,50,15,81,1,50,10,81,100,5,81
3,18,1805,2,674,189043,2,2,,,,,,,,,,
3,18,1805,2,674,189047,1,1,10,50,1,1,10,40,1,35000,10,1
3,18,1805,2,674,189047,2,2,,,,,,,,,,
3,18,1805,2,674,189048,1,1,20,2,4,1,20,2,4,10000,1,1
3,18,1805,2,674,189048,2,2,,,,,,,,,,
3,18,1813,2,522,189126,1,1,40,40,81,1,40,32,81,200,8,80
3,18,1813,2,522,189126,2,2,,,,,,,,,,
3,18,1813,2,522,189128,1,1,6,3,1,1,6,2,1,500,3,1
3,18,1813,2,522,189128,2,2,,,,,,,,,,
3,18,1818,2,76,189173,1,1,40,3,150,1,38,2,150,8000,1,150
3,18,1818,2,76,189173,2,2,,,,,,,,,,
3,18,1812,2,42,189236,1,1,4,52,81,1,3,32,81,32000,20,81
3,18,1812,2,42,189236,2,1,,42,81,1,,42,81,,42,81
3,19,1929,2,108,199051,1,1,35,5,91,1,36,5,91,1500,1,91
3,19,1929,2,108,199051,2,1,,120,91,1,,80,91,,30,91
3,19,1929,2,108,199054,1,1,32,45,91,1,35,20,91,2000,10,91
3,19,1929,2,108,199054,2,2,,,,,,,,,,
3,20,2025,2,760,200106,1,1,3,6,82,2,,,,,3,81
3,20,2025,2,760,200106,2,1,,8,152,1,,5,152,,5,152
3,20,2009,2,144,209019,1,2,,,,,,,,,,
3,20,2009,2,144,209019,2,1,,5,142,2,,,,,5,152
3,20,2009,2,144,209021,1,2,,,,,,,,,,
3,20,2009,2,144,209021,2,1,,3,141,2,,,,,3,151
3,20,2025,2,2222,209086,1,1,2,2,150,2,,,,,1,150
3,20,2025,2,2222,209086,2,2,,,,,,,,,,
3,20,2025,2,2222,209096,1,2,,,,,,,,,,81
3,20,2025,2,2222,209096,2,2,,,,,,,,,,
3,20,2032,2,50,209111,1,1,24,1,142,1,24,1,142,10000,0,
3,20,2032,2,50,209111,2,2,,,,,,,,,,
3,21,2105,2,1606,219022,1,1,14,7,141,1,12,6,141,3800,1,141
3,21,2105,2,1606,219022,2,2,,,,,,,,,,
3,21,2115,2,548,219049,1,1,32,3,141,1,32,2,141,6800,3,141
3,21,2115,2,548,219049,2,2,,,,,,,,,,
3,21,2115,2,548,219051,1,1,31,89,141,1,29,3,141,7000,3,141
3,21,2115,2,548,219051,2,2,,,,,,,,,,
3,21,2115,2,548,219052,1,1,48,288,3,1,48,5,3,9500,1,3
3,21,2115,2,548,219052,2,1,,200,1,1,,200,1,,0,
3,21,2115,2,548,219055,1,1,20,40,141,1,10,35,141,6000,3,141
3,21,2115,2,548,219055,2,2,,,,,,,,,,
3,21,2115,2,548,219057,1,1,34,102,141,1,34,3,141,7000,7,141
3,21,2115,2,548,219057,2,2,,,,,,,,,,
3,21,2115,2,548,219058,1,1,31,96,141,1,31,96,81,7000,3,141
3,21,2115,2,548,219058,2,2,,,,,,,,,,
3,21,2115,2,548,219059,1,1,48,20,142,1,48,4,142,25000,5,142
3,21,2115,2,548,219059,2,1,,23,4,1,,23,4,,0,
3,21,2115,2,548,219060,1,1,48,144,151,1,48,3,151,4000,0,
3,21,2115,2,548,219060,2,1,,267,1,1,,267,1,,0,
1,23,2316,2,614,239168,1,1,10,100,81,1,10,85,81,400,15,81
1,23,2316,2,614,239168,2,2,,,,,,,,,,
1,23,2316,2,614,239169,1,1,12,210,81,1,12,200,81,400,10,81
1,23,2316,2,614,239169,2,2,,,,,,,,,,
1,23,2316,2,614,239170,1,1,12,180,81,1,12,175,81,400,5,81
1,23,2316,2,614,239170,2,2,,,,,,,,,,
1,23,2316,2,614,239177,1,1,10,150,81,1,10,140,81,400,10,81
1,23,2316,2,614,239177,2,2,,,,,,,,,,
1,23,2316,2,1442,239188,1,1,16,10,81,1,8,6,81,500,4,81
1,23,2316,2,1442,239188,2,2,,,,,,,,,,
1,26,2609,2,204,269044,1,1,42,3,141,1,30,2,141,6000,1,141
1,26,2609,2,204,269044,2,2,,,,,,,,,,
1,26,2602,2,118,269096,1,1,35,3,3,1,35,2,3,35000,1,2
1,26,2602,2,118,269096,2,2,,,,,,,,,,
1,26,2602,2,118,269097,1,1,38,4,152,1,30,3,150,25000,3,1
1,26,2602,2,118,269097,2,2,,,,,,,,,,
1,26,2602,2,118,269098,1,1,30,5,150,1,24,4,150,26000,4,1
1,26,2602,2,118,269098,2,2,,,,,,,,,,
1,26,2602,2,118,269099,1,1,30,4,150,1,3,3,150,24000,4,1
1,26,2602,2,118,269099,2,2,,,,,,,,,,
1,26,2602,2,118,269100,1,1,37,4,150,1,30,3,150,25000,4,1
1,26,2602,2,118,269100,2,2,,,,,,,,,,
1,26,2602,2,118,269101,1,1,37,4,150,1,28,3,150,24000,3,1
1,26,2602,2,118,269101,2,2,,,,,,,,,,
1,26,2602,2,118,269102,1,1,45,3,141,1,40,2,141,10000,1,141
1,26,2602,2,118,269102,2,2,,,,,,,,,,
1,26,2602,2,118,269104,1,1,49,2,140,1,45,1,141,7000,1,140
1,26,2602,2,118,269104,2,2,,,,,,,,,,
1,26,2602,2,118,269105,1,1,49,3,141,1,45,1,141,15000,1,141
1,26,2602,2,118,269105,2,2,,,,,,,,,,
1,26,2602,2,118,269106,1,1,49,3,141,1,49,2,141,6000,1,141
1,26,2602,2,118,269106,2,2,,,,,,,,,,
6,29,2920,2,1628,290177,1,1,50,12,81,2,,,,,12,81
