"zone","state","lga","sector","ea","cluster_id","tenure_cd","c4q1","c4q2","c4q3"
4,11,1104,2,1610,"1104-1610",5,1,1,1
4,11,1104,2,1610,"1104-1610",6,1,1,2
4,11,1104,2,1610,"1104-1610",7,1,3,2
4,11,1104,1,2028,"1104-2028",1,1,1,1
4,11,1104,1,2028,"1104-2028",2,1,1,1
4,11,1104,1,2028,"1104-2028",3,1,3,2
4,11,1104,1,2028,"1104-2028",4,0,,
4,11,1104,1,2028,"1104-2028",5,1,3,1
4,11,1104,1,2028,"1104-2028",6,1,1,2
4,11,1104,1,2028,"1104-2028",7,1,3,2
4,11,1104,2,434,"1104-434",1,1,3,2
4,11,1104,2,434,"1104-434",2,1,3,2
4,11,1104,2,434,"1104-434",3,0,,
4,11,1104,2,434,"1104-434",4,0,,
4,11,1104,2,434,"1104-434",5,1,3,2
4,11,1104,2,434,"1104-434",6,1,1,2
4,11,1104,2,434,"1104-434",7,1,3,2
4,11,1104,2,914,"1104-914",1,1,3,1
4,11,1104,2,914,"1104-914",2,1,1,1
4,11,1104,2,914,"1104-914",3,1,1,1
4,11,1104,2,914,"1104-914",4,0,,
4,11,1104,2,914,"1104-914",5,1,1,1
4,11,1104,2,914,"1104-914",6,1,1,1
4,11,1104,2,914,"1104-914",7,1,1,2
4,11,1105,2,1092,"1105-1092",1,1,1,2
4,11,1105,2,1092,"1105-1092",2,1,3,1
4,11,1105,2,1092,"1105-1092",3,0,,
4,11,1105,2,1092,"1105-1092",4,0,,
4,11,1105,2,1092,"1105-1092",5,1,3,2
4,11,1105,2,1092,"1105-1092",6,1,1,2
4,11,1105,2,1092,"1105-1092",7,1,3,2
4,11,1106,2,1366,"1106-1366",1,1,3,1
4,11,1106,2,1366,"1106-1366",2,1,1,1
4,11,1106,2,1366,"1106-1366",3,1,1,2
4,11,1106,2,1366,"1106-1366",4,0,,
4,11,1106,2,1366,"1106-1366",5,1,3,1
4,11,1106,2,1366,"1106-1366",6,1,1,2
4,11,1106,2,1366,"1106-1366",7,1,1,2
4,11,1109,2,1556,"1109-1556",1,1,3,1
