"zone","state","lga","sector","ea","hhid","livestock_cd","animal_cd","s11k2q1","s11k2q4","s11k2q2","s11k2q3","s11k2q5","s11k2q6_1","s11k2q6_2","s11k2q6_3","s11k2q6_4","s11k2q7_1","s11k2q7_2","s11k2q7_3","s11k2q7_4","s11k2q7_99","s11k2q8","s11k2q10","s11k2q11","s11k2q12","s11k2q13","s11k2q14"
5,3,305,2,1164,39013,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,305,2,1164,39018,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,305,2,1164,39022,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,308,2,102,39023,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,309,2,698,39040,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,309,2,698,39044,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,317,2,586,39059,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,318,2,56,39071,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,318,2,56,39072,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,318,2,56,39074,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,318,2,56,39081,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,304,2,10,39088,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,304,2,184,39103,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,320,2,266,39110,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,320,2,266,39114,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,320,2,266,39116,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,320,2,266,39118,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,323,2,488,39125,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,323,2,488,39127,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,326,2,502,39133,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,326,2,502,39140,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,326,2,502,39140,3,111,2,,,,,,,,,,,,,,,,,,,
5,3,326,2,502,39141,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,326,2,502,39142,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,326,2,502,39142,3,111,2,,,,,,,,,,,,,,,,,,,
5,3,327,2,196,39146,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,327,2,196,39146,3,111,2,,,,,,,,,,,,,,,,,,,
5,3,327,2,196,39151,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,327,2,196,39153,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,327,2,246,39155,3,111,2,,,,,,,,,,,,,,,,,,,
5,3,327,2,246,39156,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,327,2,246,39157,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,327,2,246,39159,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,327,2,246,39160,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,327,2,246,39161,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,327,2,246,39162,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,327,2,246,39165,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,327,2,246,39166,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,329,2,608,39170,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,329,2,608,39171,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,329,2,608,39174,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,316,2,910,39186,3,110,2,,,,,,,,,,,,,,,,,,,
5,3,316,2,910,39186,3,111,2,,,,,,,,,,,,,,,,,,,
4,4,421,1,800,40171,3,110,2,,,,,,,,,,,,,,,,,,,
4,4,421,1,0,40173,3,110,2,,,,,,,,,,,,,,,,,,,
4,4,421,1,800,40178,3,110,2,,,,,,,,,,,,,,,,,,,
4,4,402,2,874,49004,3,110,2,,,,,,,,,,,,,,,,,,,
4,4,405,2,716,49019,3,110,2,,,,,,,,,,,,,,,,,,,
4,4,405,2,716,49023,3,111,2,,,,,,,,,,,,,,,,,,,
4,4,408,2,630,49026,3,110,2,,,,,,,,,,,,,,,,,,,
4,4,408,2,630,49035,3,110,2,,,,,,,,,,,,,,,,,,,
4,4,412,1,1562,49038,3,110,2,,,,,,,,,,,,,,,,,,,
4,4,412,1,1562,49039,3,110,2,,,,,,,,,,,,,,,,,,,
4,4,412,1,1562,49040,3,110,2,,,,,,,,,,,,,,,,,,,
4,4,412,1,1562,49041,3,110,2,,,,,,,,,,,,,,,,,,,
4,4,412,1,1562,49042,3,110,2,,,,,,,,,,,,,,,,,,,
4,4,412,1,1562,49043,3,110,2,,,,,,,,,,,,,,,,,,,
4,4,412,1,1562,49044,3,110,2,,,,,,,,,,,,,,,,,,,
4,4,412,1,1562,49045,3,110,2,,,,,,,,,,,,,,,,,,,
4,4,412,1,1562,49046,3,110,2,,,,,,,,,,,,,,,,,,,
4,4,419,1,1006,49086,3,110,2,,,,,,,,,,,,,,,,,,,
4,4,419,1,1006,49086,3,111,2,,,,,,,,,,,,,,,,,,,
4,4,419,1,1006,49093,3,110,2,,,,,,,,,,,,,,,,,,,
