"zone","state","lga","sector","ea","cluster_id","resource_cd","c4q1","c4q1_os","c4q2","c4q3","c4q4a","c4q4b","c4q4c","c4q4_os","c4q5a","c4q5b","c4q5c","c4q5_os"
5,10,1022,1,386,"1022-386",403,2,,,,,,,,,,,
5,10,1022,1,386,"1022-386",405,2,,,,,,,,,,,
5,10,1022,1,386,"1022-386",406,2,,,,,,,,,,,
5,10,1022,1,386,"1022-386",407,1,,2,1,4,,,,8,,,
5,10,1022,1,386,"1022-386",408,1,,2,1,4,,,,8,,,
5,10,1023,2,346,"1023-346",401,1,,2,1,4,,,,8,,,
5,10,1023,2,346,"1023-346",402,1,,2,1,4,,,,8,,,
5,10,1023,2,346,"1023-346",403,1,,2,1,4,,,,8,,,
5,10,1023,2,346,"1023-346",405,2,,,,,,,,,,,
5,10,1023,2,346,"1023-346",406,2,,,,,,,,,,,
5,10,1023,2,346,"1023-346",407,1,,2,1,4,,,,8,,,
5,10,1023,2,346,"1023-346",408,1,,2,1,4,,,,8,,,
5,10,1025,2,1774,"1025-1774",401,1,,1,1,3,2,1,,1,2,,
5,10,1025,2,1774,"1025-1774",402,1,,2,1,4,,,,8,,,
5,10,1025,2,1774,"1025-1774",403,2,,,,,,,,,,,
5,10,1025,2,1774,"1025-1774",405,2,,,,,,,,,,,
5,10,1025,2,1774,"1025-1774",406,2,,,,,,,,,,,
5,10,1025,2,1774,"1025-1774",407,1,,2,1,4,,,,8,,,
5,10,1025,2,1774,"1025-1774",408,1,,2,1,4,,,,8,,,
4,1,104,2,1020,"104-1020",401,2,,,,,,,,,,,
4,1,104,2,1020,"104-1020",402,1,,1,1,1,,,,1,6,,
4,1,104,2,1020,"104-1020",403,2,,,,,,,,,,,
4,1,104,2,1020,"104-1020",405,2,,,,,,,,,,,
4,1,104,2,1020,"104-1020",406,2,,,,,,,,,,,
4,1,104,2,1020,"104-1020",407,1,,1,1,4,,,,1,,,
4,1,104,2,1020,"104-1020",408,2,,,,,,,,,,,
4,1,104,2,412,"104-412",401,2,,,,,,,,,,,
4,1,104,2,412,"104-412",402,1,,1,1,4,,,,1,,,
4,1,104,2,412,"104-412",403,1,,1,1,4,,,,6,1,,
4,1,104,2,412,"104-412",405,2,,,,,,,,,,,
4,1,104,2,412,"104-412",406,2,,,,,,,,,,,
