"zone","state","lga","sector","ea","hhid","sec11_resp","s11q1b","s11q1b_os","s11q1","s11q2","s11q3a","s11q3b","s11q4a","s11q4b","s11q5a","s11q5a_os","s11q5b","s11q5c_1","s11q5c_2","s11q5c_3","s11q5c_4","s11q5c_5","s11q5c_6","s11q5c_7","s11q5c_8","s11q5c_9","s11q5","s11q6","s11q6_os","s11q7","s11q7b","s11q8","s11q8b","s11q9","s11q40","s11q40_os","s11q41","s11q41_os","s11q42","s11q43_1","s11q43_2","s11q43_os","s11q44_1","s11q44_2","s11q45","s11q46_1","s11q46_2","s11q46_3","s11q46_os","s11q47","s11q48__1","s11q48__2","s11q48__3","s11q48__4","s11q48__5","s11q48__6","s11q48__7","s11q48_os","s11q49","s11q50","s11q51","s11q52","s11q53","s11q54","s11q33b","s11q33b_os","s11q55","s11q55_os","s11q56","s11q57a","s11q57b","s11q58","s11q59","s11q60","s11q60_os","s11q61","s11q62","s11q63a","s11q63b","s11q64","s11q65","s11q66","s11q67__1","s11q67__2","s11q67__3","s11q67__4","s11q67__5","s11q67__6","s11q67__7","s11q67_os","s11q68","s11q68_os","s11q69","s11q36","s11q36_os","s11q70","s11q71","s11q71_os","s11q72","s11q73","s11q74","s11q38","s11q38b","s11q75a","s11q75b"
4,1,107,2,1044,10061,2,1,,1,500000,,,,,3,,2,,,,,,,,,,9999,5,,2,,3,,4,1,,5,,,4,,,600,,2,,,,,1,1,0,1,0,0,0,0,,1,1.5,0,5,9,2,5,,7,"PRIVATE INDIVIDUAL OWNS AND SELLS THE WATER",3,11,1,15,2,,,,,,,,2,2,,,,,,,,,5,,200,8,,2,,,3,1,1,5,,,
4,1,107,2,1044,10062,1,1,,1,4200000,,,,,6,,,,,,,,,,,,2010,5,,2,,6,"SMOOTHED MUD AND SMOOTH CEMENT",6,1,,5,,,4,,,1000,,2,,,,,1,1,0,1,0,0,0,0,,1,2,2,12,7,2,5,,5,,3,10,1,9,2,,,,,,,,2,2,,,,,,,,,5,,250,8,,2,,,2,2,,5,,,
4,1,107,2,1044,10063,6,5,,1,50000,,,,,6,,,,,,,,,,,,2008,5,,10,"ZINC",3,,2,2,,3,,2,4,,,5000,,2,,,,,1,1,0,0,0,0,0,0,,1,1,0,7,48,2,5,,4,,3,10,1,30,1,5,,4,3,10,1,30,2,2,,,,,,,,,10,,1000,12,,,,,1,,,5,,,
4,1,107,2,1044,10064,4,10,,1,50000,,,,,3,,1,1,2,4,5,6,,,,,9999,5,,10,"ZINC ROOF",3,,3,3,,3,,2,4,,,1000,,2,,,,,2,,,,,,,,,,,,,,,5,,5,,3,30,1,5,2,,,,,,,,1,2,,,,,,,,,5,,1000,8,,2,,,3,2,,5,,,
4,1,102,1,0,10065,7,4,,5,,,,4000,1,4,,1,2,,,,,,,,,9999,5,,2,,7,,2,6,,3,,2,1,,,,,2,,,,,1,0,0,1,0,0,0,0,,3,3,2,,,2,5,,5,,3,10,1,24,2,,,,,,,,1,2,,,,,,,,,10,,960,2,,3,,,2,1,1,5,,,
4,1,107,2,1044,10066,2,1,,1,5000000,,,,,8,,1,6,,,,,,,,,2003,5,,2,,3,,6,6,,3,,1,1,,,,,2,,,,,1,1,0,0,0,0,0,0,,1,3,2,25,12,2,5,,5,,3,0.3,1,8,2,,,,,,,,2,2,,,,,,,,,5,,0,7,,2,,,2,2,,4,,,
4,1,107,2,1044,10067,1,1,,1,1000000,,,,,3,,1,1,,,,,,,,,2011,5,,2,,3,,5,2,,3,,1,4,,,600,,2,,,,,1,1,0,0,0,0,0,0,,1,15,2,18,7,2,5,,5,,3,30,1,5,2,,,,,,,,2,2,,,,,,,,,5,,1600,7,,2,,,3,2,,4,,,
4,1,107,2,1044,10068,3,1,,1,2000000,,,,,6,,,,,,,,,,,,2003,5,,2,,3,,5,1,,3,,2,4,,,0,,2,,,,,1,1,0,0,0,0,0,0,,1,2,1,5,2,1,5,,5,,3,15,1,21,2,,,,,,,,1,1,1,0,0,0,0,0,0,,10,,420,7,,2,,,2,2,,5,,,
4,1,107,2,1044,10069,13,1,,1,300000,,,,,6,,,,,,,,,,,,9999,5,,2,,3,,2,1,,3,,2,4,,,1500,,2,,,,,1,1,0,0,0,0,0,0,,1,3,2,3,10,2,5,,5,,2,,,,2,,,,,,,,2,2,,,,,,,,,5,,0,7,,2,,,2,1,4,4,,,
4,1,107,2,0,10070,2,1,,1,250000,,,,,6,,,,,,,,,,,,2013,5,,2,,3,,5,3,,3,,1,4,,,0,,2,,,,,1,1,0,0,0,0,0,0,,1,3,2,9,12,2,5,,5,,3,30,1,11,2,,,,,,,,2,2,,,,,,,,,5,,1500,7,,2,,,2,2,,4,,,
4,1,117,2,560,10071,6,10,,1,1000000,,,,,6,,,,,,,,,,,,1992,5,,2,,3,,4,3,,3,,2,4,,,1000,,2,,,,,2,,,,,,,,,,,,,,,13,,,,3,5,1,5,2,,,,,,,,2,2,,,,,,,,,10,,200,7,,2,,,3,2,,4,,,
4,1,117,2,560,10072,1,2,,1,2500000,,,,,6,,,,,,,,,,,,1989,5,,2,,3,,3,1,,3,,2,4,,,1000,,2,,,,,1,0,0,1,0,0,0,0,,3,3,4,,,2,13,,,,3,30,1,6,2,,,,,,,,2,2,,,,,,,,,10,,300,7,,2,,,2,2,,5,,,
4,1,117,2,560,10073,1,1,,1,2000000,,,,,6,,,,,,,,,,,,2018,5,,2,,3,,3,2,,3,,2,4,,,1500,,2,,,,,1,0,0,1,0,0,0,0,,3,3,4,,,2,10,,,,1,,,,1,13,,,3,5,1,5,2,2,,,,,,,,,10,,300,3,,2,,,2,2,,4,,,
4,1,117,2,560,10074,1,4,,1,3000000,,,,,6,,,,,,,,,,,,1985,5,,2,,3,,5,3,,3,,2,4,,,800,,2,,,,,1,0,0,1,0,0,0,0,,3,3,4,,,2,13,,,,3,30,1,5,2,,,,,,,,2,2,,,,,,,,,10,,500,3,,2,,,2,2,,4,,,
4,1,117,2,560,10075,1,4,,1,1000000,,,,,6,,,,,,,,,,,,9999,5,,2,,3,,3,2,,2,,2,4,,,800,,2,,,,,1,1,0,1,0,0,0,0,,1,0,0,0,0,2,13,,,,3,15,1,3,2,,,,,,,,2,2,,,,,,,,,13,,0,7,,2,,,3,2,,5,,,
4,1,117,2,560,10076,2,4,,1,300000,,,,,6,,,,,,,,,,,,9999,5,,2,,3,,1,2,,2,,2,4,,,500,,2,,,,,1,1,0,0,0,0,0,0,,1,0,0,0,0,1,13,,,,3,25,1,4,2,,,,,,,,2,2,,,,,,,,,13,,0,7,,1,3,,3,2,,5,,,
4,1,117,2,560,10077,2,1,,1,500000,,,,,6,,,,,,,,,,,,9999,5,,6,,3,,1,2,,3,,2,4,,,0,,2,,,,,2,,,,,,,,,,,,,,,9,,,,3,18,1,2,2,,,,,,,,2,2,,,,,,,,,9,,0,7,,2,,,3,2,,5,,,
4,1,117,2,560,10078,4,4,,1,800000,,,,,6,,,,,,,,,,,,9999,5,,2,,3,,2,2,,2,,2,4,,,800,,2,,,,,1,1,0,0,0,0,0,0,,1,0,0,0,0,2,13,,,,3,25,1,3,2,,,,,,,,2,2,,,,,,,,,13,,0,8,,1,3,,3,2,,5,,,
4,1,117,2,560,10079,2,2,,1,2000000,,,,,6,,,,,,,,,,,,9999,6,,1,,5,,4,2,,2,,2,4,,,800,,2,,,,,1,1,0,1,0,0,0,0,,1,0,0,0,0,2,13,,,,3,20,1,3,2,,,,,,,,2,2,,,,,,,,,5,,0,7,,1,4,,3,1,5,5,,,
4,1,117,2,560,10080,1,1,,1,500000,,,,,6,,,,,,,,,,,,9999,5,,6,,3,,2,2,,5,,,4,,,0,,2,,,,,1,1,0,1,0,0,0,0,,1,0,0,0,0,2,9,,,,3,15,1,3,1,9,,,3,15,1,3,2,2,,,,,,,,,9,,0,7,,2,,,3,1,99,5,,,
