"zone","state","lga","sector","ea","hhid","ent_id","indiv","s9q13b__0","s9q13b__1","s9q13b__2","s9q13b__3","s9q13b__4","s9q13b__5","s9q13b__6","s9q13b__7","s9q13b__8","s9q13b__9","s9q13b__10","s9q13b__11","s9q13b__12","s9q13b__13","s9q13b__14","s9q13b__15","s9q13b__16","s9q13c","s9q13d"
4,1,104,2,412,19044,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,0,,,24,3
4,1,104,2,412,19045,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,7
4,1,104,2,412,19047,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30,8
4,1,104,2,412,19047,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,30,6
4,1,104,2,412,19047,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,4,9
4,1,104,2,412,19048,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,8,3
4,1,104,2,1020,19049,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,12,10
4,1,104,2,1020,19050,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,12,8
4,1,104,2,1020,19055,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,3,2
4,1,104,2,1020,19058,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,12
4,1,104,2,1020,19060,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,5,1
4,1,104,2,1020,19060,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,24,10
4,1,107,2,10,19061,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,7
4,1,107,2,10,19062,1,4,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,,,22,6
4,1,107,2,10,19069,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,,,3,6
4,1,107,2,10,19070,1,1,0,1,1,1,1,1,0,0,0,0,1,1,1,0,0,,,15,8
4,1,107,2,10,19071,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,,,4,6
4,1,107,2,10,19072,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,16,8
4,1,107,2,1322,19073,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,12,4
4,1,107,2,1322,19075,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,20,8
4,1,107,2,1322,19077,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,20,6
4,1,107,2,1322,19080,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,0,,,20,9
4,1,107,2,1322,19081,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,26,5
