"zone","state","lga","sector","ea","hhid","plotid","s11c1q2a","s11c1q2","s11c1q3","s11c1q3a","s11c1q4","s11c1q4a_1","s11c1q4a_2","s11c1q4a_3","s11c1q4a_4","s11c1q4a_5","s11c1q5a","s11c1q5","s11c1q6","s11c1q6a","s11c1q7","s11c1q7a_1","s11c1q7a_2","s11c1q7a_3","s11c1q7a_4","s11c1q7a_5","s11c1q8a","s11c1q8","s11c1q9","s11c1q9a","s11c1q10","s11c1q10a_1","s11c1q10a_2","s11c1q10a_3","s11c1q10a_4","s11c1q10a_5","s11c1q13a","s11c1q14a","s11c1q15a","s11c1q16a","s11c1q17a_1","s11c1q17a_2","s11c1q17a_3","s11c1q17a_4","s11c1q17a_5","s11c1q13b","s11c1q14b","s11c1q15b","s11c1q16b","s11c1q17b_1","s11c1q17b_2","s11c1q17b_3","s11c1q17b_4","s11c1q17b_5","s11c1q13c","s11c1q14c","s11c1q15c","s11c1q16c","s11c1q17c_1","s11c1q17c_2","s11c1q17c_3","s11c1q17c_4","s11c1q17c_5"
5,3,322,2,0,10093,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,4,1,0,0,0,0,1,2,2,3,0,0,1,0,0,2,,,,,,,,
5,3,322,2,0,10093,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,4,1,0,0,0,0,1,2,2,4,0,0,1,0,0,2,,,,,,,,
5,3,322,2,0,10093,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,4,1,0,0,0,0,1,2,2,3,0,0,1,0,0,2,,,,,,,,
5,3,322,2,0,10093,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,3,1,0,0,0,0,1,1,2,3,0,0,1,0,0,2,,,,,,,,
4,1,105,2,638,10094,1,1,2,25,8,1000,1,0,0,0,0,1,3,18,8,700,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10094,2,1,2,5,8,1000,1,0,0,1,0,1,2,6,8,800,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10096,1,1,2,32,8,1000,1,1,0,1,0,1,2,28,7,1000,0,0,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10096,2,1,2,32,8,1000,1,1,0,0,0,1,2,36,7,1000,0,1,1,0,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10097,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,2,,,,,,,,,1,2,7,6,1,1,0,0,0
4,1,105,2,638,10099,1,1,2,3,6,1000,1,0,0,1,0,1,3,4,6,1000,0,1,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10100,1,1,2,22,8,1200,0,1,0,0,0,1,2,22,7,1200,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10100,2,1,4,32,7,1200,0,1,0,0,0,1,2,2,8,1200,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,105,2,638,10100,3,1,2,2,6,1200,0,1,0,0,0,1,2,2,7,1200,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10102,1,1,15,5,8,1500,1,0,0,1,0,1,18,3,7,1200,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10102,2,1,10,6,7,1500,1,0,0,1,0,1,12,6,8,1200,0,0,1,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10103,1,1,3,28,6,2000,1,1,0,1,1,1,4,28,6,1500,0,0,1,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10103,2,1,4,22,6,2000,1,1,0,0,0,1,4,30,6,1500,0,0,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,108,2,904,10104,1,1,3,28,6,2000,1,1,0,1,0,1,3,32,6,1500,0,0,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
