"zone","state","lga","sector","ea","hhid","s9q0","s9q1c__1","s9q1c__2","s9q1c__3","s9q1c__4","s9q1c__5","s9q1c__6","s9q1c__7","s9q1c__8","s9q1d"
4,1,117,2,800,19230,2,0,0,0,0,1,0,0,0,1
4,1,117,2,800,19231,1,0,0,0,0,0,0,0,0,2
4,1,117,2,800,19232,1,0,0,0,0,0,0,0,0,2
4,1,117,2,800,19234,1,0,0,0,0,0,0,0,0,2
4,1,117,2,800,19235,2,0,0,0,0,0,0,0,0,2
4,1,117,2,800,19236,3,0,0,0,0,0,0,0,1,1
4,1,117,2,800,19238,1,0,0,0,0,0,0,0,0,2
4,1,117,2,800,19239,1,0,0,0,0,0,0,0,0,2
4,1,102,1,46,19242,2,0,0,1,0,0,0,0,0,1
4,1,102,1,806,19244,1,1,0,0,0,0,0,0,0,1
4,1,102,1,2486,19245,2,0,0,0,0,0,0,0,1,1
4,1,104,2,1020,19250,3,0,0,0,0,0,0,0,0,2
4,1,107,2,1322,19254,1,1,0,0,0,0,0,0,0,1
4,1,112,2,266,19266,2,1,0,0,0,0,0,0,0,1
4,1,113,2,6,19269,2,0,0,1,0,0,0,0,0,1
4,1,115,1,550,19277,1,0,0,0,0,0,0,0,0,2
4,1,115,1,550,19278,1,0,0,0,0,0,1,0,0,1
4,1,117,2,800,19279,2,0,0,0,0,1,0,0,0,1
4,1,117,2,800,19280,2,0,0,0,0,0,0,0,0,2
4,1,102,1,806,19284,2,0,0,0,0,0,1,0,0,1
2,2,209,2,1040,20001,4,0,0,0,0,0,0,0,0,2
2,2,209,2,1040,20002,4,0,0,0,0,0,0,0,0,2
2,34,3401,2,0,20003,6,0,1,0,0,0,0,0,0,1
2,2,209,2,1040,20005,4,0,0,0,0,0,0,0,0,2
2,2,209,2,1040,20006,4,0,0,0,0,0,0,0,0,2
2,2,209,2,1040,20007,1,0,0,1,0,0,0,0,0,1
2,2,209,2,1040,20008,1,0,0,0,0,0,0,0,0,2
2,34,209,2,0,20009,12,0,0,0,0,0,0,0,0,2
2,2,209,2,1040,20010,3,0,0,0,0,0,0,0,1,1
2,2,203,2,1224,20041,2,0,0,0,0,0,0,0,0,2
2,2,203,2,1224,20042,1,0,0,0,0,0,0,0,0,2
2,2,203,2,1224,20043,1,0,0,,0,0,0,0,0,2
2,2,203,2,1224,20044,6,0,0,0,0,0,1,0,0,1
2,2,203,2,1224,20045,1,0,0,1,0,0,0,0,0,1
2,2,203,2,1224,20046,1,0,1,1,0,0,0,0,0,1
2,2,203,2,1224,20047,1,0,0,1,0,0,0,0,0,1
2,2,203,2,1224,20048,1,0,0,1,0,0,0,0,0,1
2,2,203,2,1224,20049,15,0,0,0,0,1,0,0,0,1
2,2,203,2,1224,20050,1,0,0,0,1,0,0,0,0,1
2,2,210,2,1300,20061,1,0,0,0,0,0,1,0,0,1
2,2,210,2,1300,20062,1,0,0,0,1,0,0,0,0,1
2,2,210,2,1300,20063,1,0,0,0,0,0,0,0,0,2
2,2,210,2,1300,20064,1,0,0,0,0,0,0,0,0,2
2,2,210,2,1300,20065,1,0,0,0,0,0,0,0,0,2
2,2,210,2,1300,20066,1,0,0,0,0,0,0,0,0,2
2,2,210,2,1300,20068,2,0,0,0,0,0,0,1,0,1
2,2,210,2,1300,20069,1,0,0,1,0,0,0,0,0,1
2,2,210,2,1300,20070,11,0,0,0,0,0,0,0,0,2
2,2,207,2,1302,20091,1,0,0,0,0,0,0,0,0,2
2,2,207,2,1302,20092,1,0,0,0,0,0,0,0,0,2
2,2,207,2,1302,20093,2,0,0,0,0,0,0,0,0,2
2,2,207,2,1302,20094,1,0,0,0,0,0,0,0,0,2
2,2,207,2,1302,20095,1,0,0,0,0,0,0,0,0,2
2,2,207,2,1302,20096,1,0,0,,0,0,0,0,0,2
2,2,207,2,1302,20097,1,0,0,0,0,0,0,0,0,2
2,2,207,2,1302,20098,1,0,0,0,0,0,0,0,0,2
2,2,207,2,1302,20099,3,0,0,0,0,0,0,0,0,2
2,2,207,2,1302,20100,1,0,0,0,0,0,0,0,0,2
2,2,205,2,712,20101,1,0,0,0,0,0,0,0,0,2
2,2,205,2,712,20102,1,0,0,0,0,0,0,0,0,2
2,2,205,2,712,20103,5,0,0,0,0,,0,0,0,2
2,2,205,2,712,20104,2,0,0,0,0,0,0,0,0,2
2,2,205,2,712,20105,2,0,0,0,0,0,0,0,0,2
2,2,205,2,712,20106,4,1,0,0,0,0,0,0,0,1
2,2,205,2,712,20107,1,0,0,0,0,0,0,0,0,2
2,2,205,2,712,20108,1,0,0,0,0,0,0,0,0,2
2,2,205,2,712,20110,1,1,0,0,0,0,0,0,0,1
2,2,204,2,144,29001,1,0,1,0,0,0,0,0,0,1
2,2,204,2,144,29002,1,0,0,0,0,0,0,0,0,2
2,2,204,2,144,29003,1,1,0,0,0,0,0,0,0,1
2,2,204,2,144,29004,1,0,1,0,1,0,0,0,0,1
2,2,204,2,144,29005,1,0,0,0,0,0,0,0,0,2
2,2,204,2,144,29006,1,0,0,1,0,0,0,0,0,1
2,2,204,2,144,29007,1,0,0,0,0,0,1,0,0,1
2,2,204,2,144,29008,1,1,0,0,0,0,0,0,1,1
2,2,204,2,144,29009,1,0,0,0,0,0,0,0,0,2
2,2,204,2,144,29010,1,1,0,0,0,0,0,0,0,1
2,2,205,2,206,29013,1,0,0,0,0,0,0,0,0,2
2,2,205,2,206,29014,1,0,0,0,0,0,0,0,0,2
2,2,205,2,206,29017,1,0,0,0,0,0,0,0,0,2
2,2,205,2,206,29018,2,0,0,0,0,0,0,0,0,2
2,2,205,2,206,29019,1,0,0,0,0,0,0,0,0,2
2,2,205,2,206,29020,1,0,0,0,0,0,0,0,0,2
2,2,205,2,206,29021,1,0,0,0,0,0,0,0,0,2
2,2,205,2,206,29022,1,0,0,0,0,0,0,0,0,2
2,2,205,2,206,29023,1,0,1,0,0,0,0,0,0,1
2,2,205,2,206,29024,1,0,0,0,0,0,0,0,0,2
2,2,207,2,158,29025,1,0,0,0,0,0,0,0,0,2
2,2,207,2,0,29026,1,0,0,1,0,1,0,0,0,1
2,2,207,2,158,29028,1,0,0,0,0,0,0,0,0,2
2,2,207,2,158,29029,1,0,0,0,0,0,0,0,0,2
2,2,207,2,158,29031,1,0,0,0,0,0,0,0,0,2
2,2,207,2,158,29032,1,0,0,0,0,0,0,0,0,2
2,2,207,2,158,29033,4,0,0,0,0,0,0,0,0,2
2,2,207,2,158,29034,2,0,0,0,0,0,0,0,0,2
2,2,207,2,158,29035,6,0,0,1,0,0,0,0,0,1
2,2,207,2,158,29036,1,0,0,1,0,0,0,0,0,1
2,2,208,2,300,29037,1,0,1,0,0,0,0,0,0,1
2,2,208,2,300,29038,1,0,0,1,0,0,0,0,0,1
2,2,208,2,300,29039,1,0,0,0,0,0,0,0,0,2
2,2,208,2,300,29041,1,1,0,0,0,0,0,0,0,1
2,2,208,2,300,29042,1,0,0,0,0,0,0,,0,2
2,2,208,2,300,29044,3,0,0,0,0,0,0,0,0,2
2,2,208,2,300,29045,10,0,0,0,0,0,0,0,1,1
2,2,208,2,300,29046,1,0,0,0,0,0,0,0,0,2
2,2,208,2,300,29047,1,1,0,0,0,0,1,0,0,1
2,2,208,2,300,29048,1,0,0,0,0,0,1,0,0,1
2,2,209,2,10,29050,1,0,0,0,0,0,0,0,0,2
2,2,209,2,10,29051,1,0,0,0,0,0,0,0,0,2
2,2,209,2,10,29052,1,0,0,0,0,0,0,0,0,2
2,2,209,2,10,29053,1,0,0,0,0,0,0,0,0,2
2,2,209,2,10,29054,1,0,0,1,0,0,0,0,0,1
2,2,209,2,10,29055,1,1,0,0,0,0,0,0,0,1
2,2,209,2,10,29056,1,0,0,0,0,0,0,0,1,1
2,2,209,2,10,29057,1,0,0,0,0,0,0,0,1,1
2,2,209,2,10,29058,1,0,0,0,0,0,0,0,0,2
2,2,209,2,10,29060,1,0,0,0,0,0,1,0,0,1
2,2,210,2,924,29061,2,0,0,0,0,0,0,0,0,2
2,2,210,2,924,29062,1,0,0,0,0,0,0,0,0,2
2,2,210,2,924,29063,1,0,0,0,0,0,0,0,0,2
2,2,210,2,924,29064,1,0,0,0,0,0,0,0,0,2
2,2,210,2,924,29065,1,0,0,0,0,,0,0,0,2
2,2,210,2,924,29066,1,0,0,0,0,0,,0,0,2
2,2,210,2,924,29068,1,0,0,0,0,0,0,0,0,2
2,2,210,2,924,29070,1,0,0,0,0,0,0,0,0,2
2,2,210,2,924,29071,2,0,0,0,0,0,0,0,0,2
2,2,210,2,924,29072,1,0,0,0,0,0,0,0,0,2
2,2,211,2,344,29073,1,0,0,0,0,0,0,0,0,2
2,2,211,2,344,29074,1,0,0,0,0,0,0,0,0,2
2,2,211,2,344,29076,1,0,0,0,0,0,0,0,0,2
2,2,211,2,344,29077,1,0,0,0,0,0,0,0,0,2
2,2,211,2,344,29078,1,0,0,0,0,,0,0,0,2
2,2,211,2,344,29079,1,0,0,0,0,0,0,0,0,2
2,2,211,2,344,29080,1,0,0,0,0,0,0,0,0,2
2,2,211,2,344,29082,1,0,0,0,0,0,0,0,0,2
2,2,211,2,344,29083,1,0,0,0,0,0,0,0,0,2
2,2,211,2,344,29084,1,0,0,0,0,0,0,0,0,2
2,2,211,2,532,29085,1,0,0,0,0,0,0,0,0,2
2,2,211,2,532,29086,1,0,0,0,0,0,1,0,0,1
2,2,211,2,532,29087,1,0,0,0,0,0,0,0,0,2
2,2,211,2,532,29089,1,0,0,0,0,0,0,0,0,2
2,2,211,2,532,29090,1,0,0,0,0,0,0,0,0,2
2,2,211,2,532,29091,1,0,0,0,0,0,0,0,0,2
2,2,211,2,532,29092,1,0,0,0,0,0,0,0,0,2
2,2,211,2,532,29094,1,0,0,0,0,0,0,0,0,2
2,2,211,2,532,29095,1,0,0,0,0,0,0,0,0,2
2,2,211,2,532,29096,1,0,0,0,0,0,0,0,0,2
2,2,211,2,668,29097,1,0,0,0,0,0,0,0,0,2
2,2,211,2,668,29099,1,0,0,0,0,0,0,0,0,2
2,2,211,2,668,29100,1,0,0,0,0,0,0,0,0,2
2,2,211,2,668,29101,1,0,0,0,0,0,0,0,0,2
2,2,211,2,668,29102,1,0,0,0,0,0,0,0,0,2
2,2,211,2,668,29103,1,0,0,0,0,0,0,0,0,2
2,2,211,2,668,29104,1,0,0,0,0,0,0,0,0,2
2,2,211,2,668,29105,1,0,0,0,0,0,0,0,0,2
2,2,211,2,668,29107,1,0,0,0,0,0,0,0,0,2
2,2,211,2,668,29108,1,0,0,0,0,0,0,0,0,2
2,2,212,2,100,29109,1,0,0,0,0,0,0,0,0,2
2,2,212,2,100,29110,1,0,0,0,0,0,0,0,0,2
2,2,212,2,100,29111,1,0,0,0,0,0,0,0,0,2
2,2,212,2,100,29112,1,0,0,0,0,0,0,0,0,2
2,2,212,2,100,29113,1,0,0,0,0,0,0,0,0,2
2,2,212,2,100,29115,1,0,0,1,0,0,0,0,0,1
2,2,212,2,100,29116,1,0,0,0,0,0,0,0,1,1
2,2,212,2,100,29118,1,0,0,0,0,0,0,0,1,1
2,2,212,2,100,29119,2,0,0,1,0,0,0,0,0,1
2,2,212,2,100,29120,1,0,0,,0,0,0,0,0,2
2,2,212,2,1254,29121,1,0,0,0,0,0,0,0,0,2
2,2,212,2,1254,29122,1,0,0,0,0,0,0,0,0,2
