"version","interview__key","zone","state","lga","sector","ea","cluster_id","InterviewDate"
"3","48-00-93-97",2,2,218,2,1624,"218-1624","2018-07-23T07:48:40"
"3","71-91-99-26",6,24,2415,1,550,"2415-550","2018-08-07T11:12:01"
"3","38-07-19-38",1,7,705,1,3834,"705-3834","2018-07-23T03:31:51"
"3","88-37-47-37",4,11,1113,2,954,"1113-954","2018-07-25T09:14:14"
"3","30-45-12-98",2,15,1506,1,148,"1506-148","2018-07-20T07:16:43"
"3","23-83-02-90",2,15,1506,1,1328,"1506-1328","2018-07-27T06:31:24"
"3","88-94-31-78",1,7,718,2,1640,"718-1640","2018-07-23T08:04:41"
"3","89-16-44-98",6,24,2418,1,920,"2418-920","2018-07-29T06:10:50"
"3","39-14-38-21",6,28,2805,2,498,"2805-498","2018-07-20T12:10:30"
"3","13-87-81-09",2,15,1511,2,1498,"1511-1498","2018-08-03T05:24:52"
"3","46-46-54-73",2,5,503,2,246,"503-246","2018-07-30T08:45:04"
"2","99-48-42-12",6,24,2401,1,884,"2401-884","2018-07-18T04:13:01"
"3","53-50-73-96",3,20,2010,2,946,"2010-946","2018-07-20T06:11:41"
"3","97-56-55-62",6,27,2703,1,1076,"2703-1076","2018-07-23T08:09:46"
"3","46-04-30-38",3,20,2021,1,2556,"2021-2556","2018-08-03T07:03:23"
"3","34-23-07-38",6,30,3006,1,520,"3006-520","2018-07-21T06:06:24"
"3","31-47-83-23",2,2,219,2,124,"219-124","2018-07-30T10:02:31"
"3","90-86-44-28",4,14,1403,1,1418,"1403-1418","2018-07-23T04:19:14"
"3","35-29-69-38",5,12,1208,2,76,"1208-76","2018-07-22T07:31:40"
"2","58-69-70-52",4,11,1104,2,434,"1104-434","2018-07-18T08:15:49"
"3","53-26-09-35",6,24,2420,1,1580,"2420-1580","2018-07-29T08:13:43"
"3","75-53-10-63",2,2,204,2,144,"204-144","2018-07-28T04:51:40"
"3","78-78-96-24",6,29,2918,1,454,"2918-454","2018-07-24T04:53:26"
"2","89-27-74-45",1,23,2308,1,88,"2308-88","2018-07-18T05:20:10"
"3","79-48-09-85",2,8,827,2,804,"827-804","2018-08-08T05:40:25"
"3","28-48-23-92",4,14,1417,2,36,"1417-36","2018-08-11T02:52:35"
"3","43-30-63-36",6,13,1307,1,1002,"1307-1002","2018-08-03T10:11:28"
"3","90-57-79-76",6,30,3005,1,2942,"3005-2942","2018-07-28T05:27:17"
"2","14-67-12-77",6,24,2405,1,152,"2405-152","2018-07-18T06:20:12"
"3","99-01-70-24",2,15,1509,2,388,"1509-388","2018-08-05T08:29:22"
"3","62-79-70-91",2,15,1503,2,634,"1503-634","2018-08-08T04:52:13"
"3","26-23-64-59",4,11,1101,2,154,"1101-154","2018-08-16T04:07:56"
"3","35-06-16-92",6,13,1311,1,1134,"1311-1134","2018-08-27T08:09:43"
"2","83-56-10-40",5,9,915,1,1390,"915-1390","2018-07-19T09:33:01"
"3","74-46-53-99",6,24,2418,1,1770,"2418-1770","2018-07-30T05:58:59"
"3","14-56-53-03",1,7,713,2,304,"713-304","2018-08-11T09:22:51"
"3","07-70-62-14",6,29,2930,1,530,"2930-530","2018-07-21T08:44:35"
"3","65-66-98-97",4,1,109,2,1792,"109-1792","2018-08-01T06:03:13"
"3","81-53-59-91",6,24,2420,1,300,"2420-300","2018-07-30T06:58:42"
"3","24-45-40-33",2,5,508,2,984,"508-984","2018-07-27T07:58:15"
"3","65-94-79-58",3,18,1821,2,24,"1821-24","2018-08-02T10:35:31"
"3","84-20-96-30",2,15,1511,2,1938,"1511-1938","2018-08-01T09:20:45"
"3","49-58-97-02",2,5,514,2,1964,"514-1964","2018-08-13T12:28:37"
"3","06-57-79-41",1,7,713,1,694,"713-694","2018-08-06T11:22:10"
"3","15-91-90-06",2,2,210,2,924,"210-924","2018-07-21T07:21:35"
"3","03-20-84-17",6,28,2811,2,390,"2811-390","2018-07-27T11:39:39"
"3","61-67-57-25",3,17,1717,2,378,"1717-378","2018-07-20T07:46:12"
"3","04-09-20-27",1,7,701,2,104,"701-104","2018-07-22T09:31:03"
"3","71-35-86-32",4,4,405,2,716,"405-716","2018-08-01T05:27:36"
"3","84-36-67-01",3,20,2021,1,2086,"2021-2086","2018-08-01T07:36:52"
"3","49-35-20-39",4,4,416,1,730,"416-730","2018-08-05T12:01:05"
"3","12-86-01-03",5,10,1018,1,634,"1018-634","2018-08-06T12:10:15"
"3","13-83-64-16",5,3,308,2,102,"308-102","2018-08-07T05:23:26"
"3","10-68-85-33",3,17,1715,2,3064,"1715-3064","2018-08-01T07:01:48"
"3","71-23-66-93",1,7,723,2,1088,"723-1088","2018-07-26T02:32:26"
"3","40-42-81-31",6,13,1301,1,688,"1301-688","2018-07-26T11:12:01"
"3","60-36-48-80",6,28,2808,2,1494,"2808-1494","2018-08-04T07:07:56"
"3","19-82-49-75",5,9,910,2,370,"910-370","2018-08-01T11:15:50"
"3","26-84-38-95",5,6,601,2,16,"601-16","2018-08-10T04:58:18"
"3","67-44-13-43",5,10,1025,2,1774,"1025-1774","2018-08-04T05:42:24"
"3","71-42-50-76",4,4,421,1,800,"421-800","2018-08-10T03:57:43"
"3","02-13-70-37",5,12,1218,1,196,"1218-196","2018-08-12T05:56:22"
"2","78-44-07-15",3,18,1817,2,880,"1817-880","2018-07-18T07:03:32"
"3","07-39-04-69",4,4,412,1,1562,"412-1562","2018-07-30T06:03:25"
"3","37-33-09-51",5,9,905,2,2128,"905-2128","2018-07-24T03:05:40"
"3","60-13-71-95",5,10,1006,2,474,"1006-474","2018-08-06T06:57:43"
"3","08-60-23-73",4,14,1416,2,2314,"1416-2314","2018-07-27T05:22:51"
"3","53-71-82-71",2,2,208,2,300,"208-300","2018-08-04T04:40:44"
"3","36-36-02-22",3,19,1921,1,842,"1921-842","2018-07-20T06:10:54"
"3","74-82-65-89",1,23,2310,2,496,"2310-496","2018-07-27T04:27:55"
"3","74-66-19-50",5,10,1022,1,386,"1022-386","2018-07-27T07:10:24"
"3","84-47-76-33",6,13,1312,1,24,"1312-24","2018-08-13T09:31:23"
"3","17-34-67-34",6,24,2405,1,588,"2405-588","2018-07-22T06:13:52"
"3","51-05-90-22",1,22,2203,2,266,"2203-266","2018-08-05T04:36:25"
