"zone","state","lga","sector","ea","hhid","s11c3q12"
2,2,221,1,750,29217,500
2,2,221,1,750,29218,500
2,2,221,1,750,29219,700
2,2,221,1,750,29220,450
2,2,221,1,750,29221,
2,2,221,1,750,29223,500
2,2,221,1,750,29224,5000
2,2,221,1,750,29226,300
2,2,221,1,750,29227,
2,2,221,1,750,29228,500
5,3,316,2,874,30021,
5,3,316,2,874,30022,
5,3,316,2,874,30023,
5,3,316,2,874,30024,300
5,3,316,2,874,30025,
5,3,316,2,874,30026,
5,3,316,2,874,30027,
5,3,305,2,0,30028,
5,3,316,2,0,30029,
5,3,316,2,874,30030,
5,3,331,1,0,30041,
5,3,307,1,634,30042,
5,3,307,1,634,30043,
5,3,307,1,634,30044,
5,3,307,1,634,30045,
5,3,307,1,634,30046,
5,3,307,1,634,30047,
5,3,307,1,634,30048,
5,3,307,1,634,30049,200
5,12,1202,1,0,30050,
5,3,318,2,1136,30081,
5,3,318,2,1136,30084,
5,3,318,2,1136,30085,
5,3,318,2,1136,30086,
5,3,318,2,1136,30087,
5,3,318,2,1136,30088,
5,3,318,2,0,30089,
5,3,318,2,1136,30090,
5,3,313,2,70,30091,
5,3,331,1,0,30092,
5,3,313,2,70,30093,
5,3,313,2,70,30094,
5,3,313,2,70,30097,
5,3,313,2,70,30098,
5,3,313,2,70,30099,
5,3,313,2,70,30100,
5,3,301,1,1198,30101,
5,3,301,1,0,30102,100
5,3,301,1,1198,30103,
5,3,301,1,1198,30104,
5,3,301,1,1198,30105,1800
5,3,301,1,1198,30106,
5,3,301,1,1198,30107,
5,3,301,1,1198,30108,800
5,3,301,1,1198,30109,2000
5,3,301,1,1198,30110,
5,3,305,2,1542,30121,
5,3,305,2,1542,30122,1000
5,3,305,2,1542,30123,1000
5,3,305,2,1542,30124,
5,3,305,2,1542,30125,
5,3,305,2,1542,30126,
5,3,305,2,1542,30127,
5,3,305,2,1542,30128,0
5,3,305,2,1542,30129,
5,3,305,2,1542,30130,
5,3,312,2,20,30131,
5,3,312,2,20,30132,
5,3,312,2,20,30133,
5,3,312,2,20,30134,
5,3,312,2,20,30135,
5,3,312,2,20,30137,0
5,3,312,2,20,30138,
5,3,312,2,20,30139,
5,3,312,2,20,30140,
5,3,302,2,302,39001,
5,3,302,2,302,39002,
5,3,302,2,302,39003,
5,3,302,2,302,39004,
5,3,302,2,302,39005,
5,3,302,2,302,39006,
5,3,302,2,302,39007,
5,3,302,2,302,39008,
5,3,302,2,302,39009,
5,3,302,2,302,39010,
5,3,305,2,1164,39012,
5,3,305,2,1164,39013,
5,3,305,2,1164,39014,
5,3,305,2,1164,39015,
5,3,305,2,1164,39016,150
5,3,305,2,1164,39017,
5,3,305,2,1164,39018,
5,3,305,2,1164,39020,300
5,3,305,2,1164,39021,
5,3,305,2,1164,39022,
5,3,308,2,102,39023,
5,3,308,2,102,39024,
5,3,308,2,102,39025,
5,3,308,2,102,39026,
5,3,308,2,102,39028,
5,3,308,2,102,39029,
5,3,308,2,102,39030,
5,3,308,2,102,39031,
5,3,308,2,102,39032,
5,3,308,2,102,39033,
5,3,309,2,698,39036,
5,3,309,2,698,39037,
5,3,309,2,698,39039,
5,3,309,2,698,39040,0
5,3,309,2,698,39041,100
5,3,309,2,698,39042,
5,3,309,2,698,39043,
5,3,309,2,698,39044,
5,3,309,2,698,39045,
5,3,316,2,910,39048,400
5,3,316,2,910,39051,
5,3,316,2,910,39052,
5,3,316,2,910,39053,
5,3,316,2,910,39054,
5,3,316,2,910,39056,
5,3,316,2,910,39057,
5,3,316,2,910,39058,
5,3,317,2,586,39059,
5,3,317,2,586,39061,
5,3,317,2,586,39062,
5,3,317,2,586,39064,
5,3,317,2,586,39066,
5,3,323,,0,39068,
5,3,317,2,586,39069,
5,3,317,2,586,39070,
5,3,318,2,56,39071,
5,3,318,2,56,39072,
5,3,318,2,56,39074,
5,3,318,2,56,39077,
5,3,318,2,56,39078,
5,3,318,2,56,39079,
5,3,318,2,56,39080,
5,3,318,2,56,39081,
5,3,318,2,56,39082,
5,3,304,2,10,39083,
5,3,304,2,10,39084,
5,3,304,2,10,39087,
5,3,304,2,10,39088,
5,3,304,2,10,39089,
5,3,304,2,10,39090,
5,3,304,2,10,39091,
5,3,304,2,10,39092,
5,3,304,2,10,39093,
5,3,304,2,10,39094,
5,3,304,2,184,39096,
5,3,304,2,184,39098,
5,3,304,2,184,39100,
5,3,304,2,184,39101,
5,3,304,2,184,39102,
5,3,304,2,184,39103,
5,3,304,2,184,39104,
5,3,304,2,184,39105,
5,3,304,2,184,39106,
5,3,320,2,266,39107,
5,3,320,2,266,39108,
5,3,320,2,266,39110,
5,3,320,2,266,39111,
5,3,320,2,266,39112,
5,3,320,2,266,39114,
5,3,320,2,266,39115,
5,3,320,2,266,39116,0
5,3,320,2,266,39117,
5,3,320,2,266,39118,
5,3,323,2,488,39119,
5,3,323,2,488,39120,
5,3,323,2,488,39121,
5,3,323,2,488,39123,
5,3,323,2,488,39125,
5,3,323,2,488,39126,
5,3,323,2,488,39127,
5,3,323,2,488,39128,3500
5,3,323,2,488,39130,
5,3,326,2,502,39132,
5,3,326,2,502,39133,
5,3,326,2,502,39135,
5,3,326,2,502,39136,
5,3,326,2,502,39137,
5,3,326,2,502,39138,
5,3,326,2,502,39139,
5,3,326,2,502,39140,450
5,3,326,2,502,39141,
5,3,326,2,502,39142,
5,3,320,,0,39143,
5,3,327,2,196,39144,
5,3,327,2,196,39146,
5,3,327,2,196,39147,
5,3,327,2,196,39149,
5,3,327,2,196,39150,
5,3,327,2,196,39151,
5,3,327,2,196,39152,
5,3,327,2,196,39153,
5,3,327,2,196,39154,
5,3,327,2,246,39155,
5,3,327,2,246,39156,
5,3,327,2,246,39157,
5,3,327,2,246,39158,
5,3,327,2,246,39159,
5,3,327,2,246,39160,
5,3,327,2,246,39161,
5,3,327,2,246,39162,
5,3,327,2,246,39165,
5,3,327,2,246,39166,
5,3,329,2,608,39167,
5,3,329,2,608,39168,
5,3,329,2,608,39169,
5,3,329,2,608,39170,
5,3,329,2,608,39171,
5,3,329,2,608,39174,
5,3,329,2,608,39175,
5,3,329,2,608,39176,
5,3,329,2,608,39177,
5,3,329,2,608,39178,
5,3,316,2,910,39185,
5,3,316,2,910,39186,
5,3,317,2,586,39187,
5,3,317,2,586,39188,
5,3,318,2,56,39190,
5,3,304,2,184,39193,0
5,3,323,2,488,39198,
4,4,417,1,678,40011,
4,4,417,1,678,40012,
5,12,1209,2,0,40013,
4,4,417,1,678,40015,
4,4,417,1,678,40017,
4,4,417,1,678,40018,
4,4,417,1,678,40019,
4,4,417,1,678,40020,
4,4,421,1,800,40171,
4,4,421,1,800,40172,
4,4,421,1,0,40173,400
4,4,421,1,800,40174,0
