"zone","state","lga","sector","ea","hhid","plotid","sa2bq2a","sa2bq2","sa2bq3","sa2bq3a","sa2bq4","sa2bq4a__1","sa2bq4a__2","sa2bq4a__3","sa2bq4a__4","sa2bq4a__5","sa2bq5a","sa2bq5","sa2bq6","sa2bq6a","sa2bq7","sa2bq7a__1","sa2bq7a__2","sa2bq7a__3","sa2bq7a__4","sa2bq7a__5","sa2bq8a","sa2bq8","sa2bq9","sa2bq9a","sa2bq10","sa2bq10a__1","sa2bq10a__2","sa2bq10a__3","sa2bq10a__4","sa2bq10a__5","sa2bq13a","sa2bq14a","sa2bq15a","sa2bq16a","sa2bq17a__1","sa2bq17a__2","sa2bq17a__3","sa2bq17a__4","sa2bq17a__5","sa2bq13b","sa2bq14b","sa2bq15b","sa2bq16b","sa2bq17b__1","sa2bq17b__2","sa2bq17b__3","sa2bq17b__4","sa2bq17b__5","sa2bq13c","sa2bq14c","sa2bq15c","sa2bq16c","sa2bq17c__1","sa2bq17c__2","sa2bq17c__3","sa2bq17c__4","sa2bq17c__5"
4,1,107,2,10,19068,1,1,2,1,6,1200,1,0,0,0,1,1,2,1,6,1000,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,10,19068,2,1,1,1,6,1200,1,0,1,0,1,1,1,1,6,1000,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,10,19069,1,1,1,3,6,1000,0,0,1,0,1,1,1,3,6,1000,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,10,19069,2,1,1,3,5,1000,0,0,1,0,1,0,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,10,19070,1,0,,,,,,,,,,1,5,3,6,1500,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,10,19070,3,0,,,,,,,,,,1,6,2,6,1500,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,10,19070,4,0,,,,,,,,,,1,3,2,6,1500,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,10,19071,1,0,,,,,,,,,,1,3,3,6,1000,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,10,19071,2,0,,,,,,,,,,1,4,2,6,1000,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,10,19071,3,0,,,,,,,,,,1,2,3,6,1000,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,10,19072,1,0,,,,,,,,,,1,10,2,6,1500,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,10,19072,2,0,,,,,,,,,,1,9,2,6,1500,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,10,19072,3,0,,,,,,,,,,1,8,2,6,1500,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,10,19072,4,0,,,,,,,,,,1,6,3,6,1500,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,10,19072,5,0,,,,,,,,,,1,5,2,6,1500,0,0,1,0,1,1,3,2,6,1000,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,10,19072,7,0,,,,,,,,,,1,4,3,6,1500,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1322,19073,1,1,1,2,6,1500,0,0,1,0,0,1,3,3,4,1000,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1322,19073,3,1,2,3,6,1500,0,0,1,0,0,1,4,3,4,1000,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1322,19073,4,0,,,,,,,,,,1,3,3,4,1000,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1322,19075,1,0,,,,,,,,,,1,10,2,6,1000,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1,107,2,1322,19075,2,0,,,,,,,,,,1,12,2,6,1000,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
