"zone","state","lga","sector","ea","hhid","plotid","indiv","sa2aq1b","sa2aq1c","sa2aq1d__1","sa2aq1d__2","sa2aq1d__3","sa2aq1d__4","sa2aq1d__5","sa2aq1d__6"
4,1,108,2,904,10109,1,1,8,2,0,0,1,0,1,0
4,1,108,2,904,10109,2,1,4,2,0,0,1,0,1,0
4,1,108,2,904,10110,1,1,8,5,0,0,1,0,1,0
4,1,108,2,904,10110,2,1,8,5,0,0,1,0,1,0
4,1,102,1,46,19008,1,1,15,6,0,0,1,0,1,0
4,1,102,1,46,19008,2,1,12,3,0,0,1,0,1,0
4,1,104,2,412,19038,1,1,5,2,0,0,1,0,0,0
4,1,104,2,412,19039,1,2,5,6,0,0,1,0,1,0
4,1,104,2,412,19039,2,2,2,5,0,0,1,0,1,0
4,1,104,2,412,19041,1,1,8,6,0,0,1,0,1,0
4,1,104,2,412,19041,2,1,7,3,0,0,1,0,1,0
4,1,104,2,412,19044,1,1,2,3,0,0,1,0,1,0
4,1,104,2,412,19044,2,1,2,4,0,0,1,0,1,0
4,1,104,2,412,19045,1,1,25,5,0,0,1,0,1,0
4,1,104,2,412,19045,1,2,9,6,0,0,1,0,1,0
4,1,104,2,412,19045,2,1,12,5,0,0,1,0,1,0
4,1,104,2,412,19045,2,2,10,6,0,0,1,0,1,1
4,1,104,2,412,19047,1,1,5,4,0,0,1,0,1,0
4,1,104,2,412,19047,2,2,20,5,0,0,1,0,1,0
4,1,104,2,412,19048,1,1,3,3,0,0,1,0,1,0
4,1,104,2,412,19048,2,1,7,3,0,0,0,0,1,0
4,1,104,2,412,19048,3,1,32,4,0,0,1,0,1,0
4,1,104,2,1020,19049,1,2,4,4,0,0,1,0,0,0
4,1,104,2,1020,19049,2,2,3,4,0,0,1,0,0,0
4,1,104,2,1020,19051,2,1,15,6,0,0,1,0,1,0
4,1,104,2,1020,19051,3,1,15,6,0,0,1,0,0,0
4,1,104,2,1020,19051,3,2,12,4,0,0,1,0,0,0
4,1,104,2,1020,19052,1,1,20,5,0,0,1,0,1,0
4,1,104,2,1020,19052,1,2,15,3,0,0,1,0,1,0
4,1,104,2,1020,19052,2,1,18,6,0,0,1,0,1,0
4,1,104,2,1020,19052,2,2,15,5,0,0,1,0,1,0
4,1,104,2,1020,19054,3,1,15,3,0,0,1,0,1,0
4,1,104,2,1020,19054,4,1,20,3,0,0,1,0,1,0
4,1,104,2,1020,19055,1,1,30,3,0,0,1,0,0,0
4,1,104,2,1020,19055,2,1,20,2,0,0,1,0,0,0
4,1,104,2,1020,19056,1,1,2,6,0,1,0,0,1,0
4,1,104,2,1020,19058,1,1,23,6,0,0,1,0,1,0
4,1,104,2,1020,19058,1,2,25,5,0,0,1,0,1,0
4,1,104,2,1020,19058,2,1,15,5,0,0,1,0,1,0
4,1,104,2,1020,19058,2,2,18,5,0,0,0,0,1,1
4,1,104,2,1020,19060,1,1,1,1,0,0,1,0,1,0
4,1,104,2,1020,19060,1,2,1,1,0,0,1,0,1,0
4,1,104,2,1020,19060,2,1,4,3,0,0,1,0,1,0
4,1,107,2,10,19061,1,1,10,5,0,0,1,0,1,1
4,1,107,2,10,19062,1,1,15,4,0,0,1,0,1,1
4,1,107,2,10,19062,1,3,12,2,0,0,1,0,0,0
4,1,107,2,10,19062,1,4,10,2,0,0,1,0,1,0
