"zone","state","lga","sector","ea","hhid","plotid","cropcode","sa3iiiq7","sa3iiiq8a","sa3iiiq8b","sa3iiiq9","sa3iiiq10","sa3iiiq10_os","sa3iiiq11","sa3iiiq12a","sa3iiiq12b","sa3iiiq13a","sa3iiiq13c","sa3iiiq13c_os","sa3iiiq13d","sa3iiiq13b","sa3iiiq13_conv","sa3iiiq14"
4,4,405,2,716,49112,3,3160,2,,,,,,,,,,,,,,,
4,4,405,2,716,49112,3,3221,1,4,2018,2,,,1,9,2018,1,150,,1,,,5000
4,4,408,2,630,49113,2,3180,1,6,2018,2,,,2,,,8,100,,1,,25,4800
4,4,408,2,630,49114,3,2170,2,,,,,,,,,,,,,,,
4,4,419,1,1006,49124,2,3180,1,8,2018,2,,,2,,,20,100,,1,,25,6000
4,4,407,1,680,49129,3,3180,1,8,2018,2,,,2,,,15,100,,1,,25,9000
4,4,407,1,680,49136,4,3180,1,9,2018,2,,,2,,,8,100,,1,,25,5600
4,4,407,1,680,49137,2,3050,1,1,2018,2,,,2,,,50,80,,2,,0.824999988079071,5600
4,4,407,1,680,49137,3,2030,1,1,2018,2,,,1,1,2019,10,110,,2,,21.6200008392334,20000
5,6,602,2,0,60004,2,2030,2,,,,,,,,,,,,,,,
5,6,602,2,0,60004,2,2170,1,12,2018,1,2,,1,1,2019,2,110,,0,,3.50999999046326,1000
5,6,602,2,1356,60009,2,2170,1,3,2018,1,3,,2,,,120,110,,1,,5.1399998664856,108000
5,6,607,2,1892,60035,3,2170,2,,,,,,,,,,,,,,,
5,6,607,2,1892,60039,3,2170,1,10,2018,1,3,,2,,,21,110,,1,,5.1399998664856,21000
5,6,607,2,1892,60039,3,3210,2,,,,,,,,,,,,,,,
5,6,607,2,1892,60040,1,2170,1,11,2018,1,3,,2,,,12,80,,2,,0.340000003576279,16000
5,6,607,2,1892,60040,2,2170,1,12,2018,1,3,,2,,,20,80,,2,,0.340000003576279,30000
5,6,601,2,640,60041,2,3160,2,,,,,,,,,,,,,,,
5,6,601,2,640,60041,2,3220,2,,,,,,,,,,,,,,,
5,6,605,2,162,60051,1,2030,1,11,2018,2,,,1,12,2018,4,110,,1,,7.1399998664856,2800
5,6,605,2,162,60051,1,2170,1,10,2018,2,,,2,,,10,110,,1,,5.1399998664856,10000
5,6,605,2,162,60052,1,2030,1,10,2018,1,5,,1,12,2018,10,110,,2,,21.6200008392334,8000
5,6,605,2,162,60052,1,2160,1,12,2018,2,,,1,12,2018,16,80,,1,,2.73499989509583,4800
5,6,605,2,162,60052,1,2170,1,10,2018,2,,,1,12,2018,25,110,,2,,7.96500015258789,25000
5,6,605,2,162,60052,1,3050,1,9,2018,2,,,2,,,20,80,,1,,0.5,4000
5,6,605,2,162,60052,1,3090,1,9,2018,1,8,,1,11,2018,1,10,,,,,1500
5,6,605,2,162,60052,1,3160,2,,,,,,,,,,,,,,,
5,6,605,2,162,60052,1,3170,1,11,2018,1,5,,1,12,2018,2,130,,11,,50,14000
5,6,605,2,162,60052,1,3180,2,,,,,,,,,,,,,,,
5,6,605,2,162,60052,1,3210,1,10,2018,1,5,,2,,,18,80,,1,,1.61500000953674,3600
5,6,605,2,162,60052,1,3220,1,11,2018,1,7,,1,12,2018,1,140,,0,,,1200
5,6,605,2,162,60052,1,3221,1,10,2018,1,7,,1,12,2018,2,10,,,,3.81500005722046,25000
5,6,605,2,0,60057,1,2170,1,8,2018,1,7,,2,,,8,110,,1,,5.1399998664856,9600
5,6,605,2,0,60057,2,2170,1,11,2018,2,,,2,,,5,110,,1,,5.1399998664856,6000
5,6,605,2,0,60058,1,2030,1,1,2019,1,3,,2,,,7,110,,1,,7.1399998664856,10500
5,6,605,2,0,60058,1,2170,1,12,2018,1,3,,2,,,25,110,,1,,5.1399998664856,25000
5,6,605,2,162,60059,1,2160,1,9,2018,2,,,1,12,2018,5,80,,0,,1.56500005722046,750
5,6,605,2,162,60059,1,2170,2,,,,,,,,,,,,,,,
5,6,605,2,162,60059,1,3090,1,5,2018,2,,,1,12,2018,80,80,,1,,,4000
5,6,606,2,790,69026,1,2170,2,,,,,,,,,,,,,,,
5,6,606,2,790,69027,1,2170,1,8,2018,1,3,,1,1,2019,4,110,,2,,7.96500015258789,4800
5,6,606,2,790,69029,2,2170,2,,,,,,,,,,,,,,,
5,6,606,2,790,69030,2,2170,1,10,2018,1,3,,2,,,80,110,,1,,5.1399998664856,80000
5,6,606,2,790,69031,1,2170,1,11,2018,1,3,,2,,,30,110,,1,,5.1399998664856,30000
5,6,606,2,790,69033,2,2170,1,3,2018,1,11,"FLOOD",1,9,2018,70,110,,1,,5.1399998664856,70000
5,6,606,2,790,69034,1,2170,1,4,2018,1,11,"FLOOD",1,9,2018,66,110,,1,,5.1399998664856,50000
5,6,606,2,790,69034,2,2170,1,7,2018,1,11,"FLOOD",1,8,2018,18,110,,1,,5.1399998664856,16000
5,6,608,2,1288,69037,1,2170,1,11,2018,1,3,,2,,,24,110,,1,,5.1399998664856,19200
5,6,608,2,1288,69037,2,2170,2,,,,,,,,,,,,,,,
