"zone","state","lga","sector","ea","hhid","item_cd","s10cq8"
4,1,102,1,1690,10059,5,3
4,1,102,1,1690,10059,6,0
4,1,102,1,1690,10059,7,2
4,1,102,1,1690,10059,8,4
4,1,102,1,1690,10059,9,3
4,1,102,1,1690,10059,10,3
4,1,102,1,1690,10059,11,3
4,1,102,1,1690,10060,1,3
4,1,102,1,1690,10060,2,6
4,1,102,1,1690,10060,3,3
4,1,102,1,1690,10060,4,4
4,1,102,1,1690,10060,5,3
4,1,102,1,1690,10060,6,0
4,1,102,1,1690,10060,7,3
4,1,102,1,1690,10060,8,4
4,1,102,1,1690,10060,9,5
4,1,102,1,1690,10060,10,3
4,1,102,1,1690,10060,11,5
4,1,107,2,1044,10061,1,4
4,1,107,2,1044,10061,2,6
4,1,107,2,1044,10061,3,3
4,1,107,2,1044,10061,4,2
4,1,107,2,1044,10061,5,3
4,1,107,2,1044,10061,6,0
4,1,107,2,1044,10061,7,2
4,1,107,2,1044,10061,8,3
4,1,107,2,1044,10061,9,2
4,1,107,2,1044,10061,10,2
4,1,107,2,1044,10061,11,6
4,1,107,2,1044,10062,1,5
4,1,107,2,1044,10062,2,3
4,1,107,2,1044,10062,3,3
4,1,107,2,1044,10062,4,3
4,1,107,2,1044,10062,5,3
4,1,107,2,1044,10062,6,1
4,1,107,2,1044,10062,7,4
4,1,107,2,1044,10062,8,3
4,1,107,2,1044,10062,9,4
4,1,107,2,1044,10062,10,2
4,1,107,2,1044,10062,11,3
4,1,107,2,1044,10063,1,3
4,1,107,2,1044,10063,2,2
4,1,107,2,1044,10063,3,2
4,1,107,2,1044,10063,4,2
4,1,107,2,1044,10063,5,3
4,1,107,2,1044,10063,6,0
4,1,107,2,1044,10063,7,3
4,1,107,2,1044,10063,8,0
4,1,107,2,1044,10063,9,3
4,1,107,2,1044,10063,10,3
4,1,107,2,1044,10063,11,2
4,1,107,2,1044,10064,1,3
4,1,107,2,1044,10064,2,2
4,1,107,2,1044,10064,3,1
4,1,107,2,1044,10064,4,2
4,1,107,2,1044,10064,5,2
4,1,107,2,1044,10064,6,0
4,1,107,2,1044,10064,7,4
4,1,107,2,1044,10064,8,3
4,1,107,2,1044,10064,9,4
